hedge,sentence,usage_a,usage_b,gold,hedge_gold
"espero","Te pregunte también otras dos cosas a las que no respondiste y <strong>espero</strong> que lo hagas:","Espero que todo salga bien. (posibilidad)","Espero tu respuesta antes del Lunes. (orden)",FALSE,FALSE
"necesariamente","Pero no vale quedarse en ese margen tan estrecho de definición en lo tocante a las categorías cinematográficas, pues la idea de apariencia (lo cual implica una refencia alotética <strong>necesariamente</strong>) en el cine queda matizada en función de la apariencia que se nos ofrece de operaciones o cursos de operaciones contínuas por parte de los personajes, ya que las operaciones de los actores sí son reales, sólo que recompuestas en otros esquemas y cursos operatorios que cancelan la recursividad sobre su entorno, o sea que aunque se dan en el presente, sin embargo, yo no puedo responder operatoriamente ante dichas acciones dramáticas, oh paradoja.","No necesariamente lloverá esta tarde. (no se sabe con certidumbre)","La política está necesariamente conectada a la economía. (inevitablemente)",FALSE,FALSE
"encuentro","La pelicula se desarrolla en distintos planos; un primer plano marcado por el <strong>encuentro</strong>, después de varios años sin verse, de dos amigos de la infancia y el segundo plano conformado por la trama de La visita, película autobiográfica sobre un relato del primero y dirigida por el segundo.","Lo encuentro un poco cuestionable. (juicio)","Me encuentro en casa de María. (ubicación)",FALSE,FALSE
"podrias","Además...No <strong>podrias</strong> fusilar a nadie, ya que tendrías que hacerlo infinitas veces.","Podrías considerar otra solución. (posibilidad)","Tú podrías imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"se ve","Una vez más <strong>se ve</strong> que el materialismo filosófico corre serios peligros en manos de las llamadas ""oleadas"".","Se ve como una propuesta interesante. (juicio)","Su casa se ve desde la colina. (ver con los ojos)",FALSE,FALSE
"multiples","En definitiva, <strong>multiples</strong> maneras tiene el cine de relacionarse con las demás artes.","Tenemos múltiples servicios disponibles.","Otro",FALSE,FALSE
"sin duda","¡No será ética!, pero es moral, <strong>sin duda</strong>.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material.",FALSE,FALSE
"basicamente","La forma de gobierno, <strong>basicamente</strong>, es la misma que en la aristocracia (Asamblea, Consejo, Magistraturas), cambian, sobre todo (no podemos entrar aquí más a fondo en esto), los elementos que lo forman.","La película es básicamente una parodia.","Otro",FALSE,FALSE
"varios","Con sólo 7 pelados mensajes (y <strong>varios</strong> no tratan de nada) usted no tiene ningún especial derecho a suponer que otros no pretendamos hacer de este un ""lugar de discusión y análisis razonados"".","Tenemos varios servicios disponibles.","Otro",FALSE,FALSE
"casi","Es persona porque no es ni animal ni cosa (Gustavo Bueno), porque es mujer ( mulier, mollities, dulzura, como si dijéramos mollier ) o la mullida hembra del hombre, aunque hoy la mujer es ya <strong>casi</strong> un completo, virago, -virum agere-, pues realiza los mismos trabajos que el hombre y aguanta con un vigor masculino como si de una virilizada amazona se tratase; eso cuando no te da dos sopapos y te apabulla.","Casi no hay librerías en el pueblo. (se desconoce la situación)","Casi llego tarde a la junta. (se conoce la situación)",FALSE,FALSE
"diria","Un hegeliano, o sea un materialista <strong>diria</strong> que no hay más cera que la que arde.","Yo diría que hay que esperar. (juicio)","Mi padre diría que eso está mal. (acción)",FALSE,FALSE
"imagino","Como me <strong>imagino</strong> que Santiago habrá estudiado el bachillerato antiguo y no la ESO y por tanto sabrá leer, le agradecería que leyese lo que entre lío y lío he afirmado.","Imagino que hay que actuar cuanto antes. (juicio)","Imagino un mundo sin violencia. (capacidad)",FALSE,FALSE
"sugiero","Si entendemos que el presente es en parte función del pasado histórico, pero no sólo es función de las reliquias y relatos del pasado...Y lo que <strong>sugiero</strong> es que habría que echar mano de criterios comola eutaxia, las relaciones entre las capas del poder ena el proceso del curso del cuerpo político de la sociedad política mexicana, y según su definición de lo que es el Estado.Aquí el problema es entonces ver si hay una ecualización o no, en las distintas izquierdas y por supuesto, en los planes de éstas y los de la derecha mexicana...es esto lo que podemos inferir que en cierto modo, no claro y distinto, pero sí de un modo sutil, podemos ver en el artículo de Sergio Zermeño...sutileza que es muy probablemnte un producto de lo poco beneficioso que podría resultar, estratégicamente, hablar abiertamente de ecualización(operación que se hace a partir de clases diferentes e inclso disyuntas pero quye puede dar como resultado una nueva clase que las envuelve a todas ellas) entre la derecha y las izquierdas...en el sentido en que se habla de ello en , de Gustavo Bueno.","Sugiero que esperemos un momento. (juicio)","Sugiero y evoco recuerdos de la infancia al tocar el piano. (indirectamente)",FALSE,FALSE
"alguien","Veras, cuando se fusila a uno por las razones que has expuesto, solo se fusila a uno y corre el riesgo el Estado de que <strong>alguien</strong> se revele aunque solo sea un poco, a lo que tendria que responder con muchos fusilamientos.","Alguien tendrá que limpiar este desastre. (no se sabe quién)","Carlos es alguien en quien confiar. (se sabe quién)",FALSE,FALSE
"medio","Del mismo modo, la esclavitud es una relación circular porque la mercancía denominada esclavo es un <strong>medio</strong> de trabajo o de intercambio entre dos personas.","Juan está medio loco. (poco específico)","Mi asiento es el de en medio. (centro)",FALSE,FALSE
"alguien","3) Pero aún <strong>alguien</strong> podría decir: ¿por qué no concebimos la materia y todo lo existente como un inmenso ciclo cerrado sobre sí mismo, sin comienzo ni fin, que en tanto que cambia siempre no cambia nunca?","Alguien tendrá que limpiar este desastre. (no se sabe quién)","Carlos es alguien en quien confiar. (se sabe quién)",FALSE,FALSE
"de repente","Cualquier cosa que Vera pudiera decir de Rubalcaba -quien, por otra parte, llegó al Gobierno de González bastantes años después del apogeo de los GAL- sería mucho menos inconveniente para el actual titular de Interior que verse, <strong>de repente</strong>, con la que tiene encima entre ETA y los cayucos, identificado como protector de un individuo así.","De repente sentí muchas ganas de jugar futbol.","Otro",FALSE,FALSE
"bastante","El herrero amara su saber sobre el hierro y la forja y es porque está ocupado, pero el amante de la sabiduría está lo <strong>bastante</strong> desocupado para permitirse el lujo de pensar en el saber del herrero: el herrero es un sabio en hierros, el philosopho en saberes.","Hay bastante trabajo por hacer.","Otro",FALSE,FALSE
"relativamente","¿Estarías dispuesto a analizar también por qué los americanos han reaccionado de forma tan previsora y <strong>relativamente</strong> eficiente (dada la magnitud de lo que viene encima) ante el Rita?","Esto debería de ser relativamente sencillo.","Otro",FALSE,FALSE
"propongo","Como ya el próximo domingo 15 de agosto de este 2004 se celebra en Venezuela el referendum sobre el mandato del presidente Hugo Chávez, <strong>propongo</strong> la lectura de un artículo que me parece de interés ya que aporta algunos datos que pueden ayudar a criticar este tema y hacerse una mejor idea de cómo están las cosas en Venezuela a unos días del referendum.El asunto es bastante complejo, pues el fallido golpe contra Chávez y los datos y dudas consiguientes sobre una interveción de EEUU y acaso de otros países contra Chávez en tal golpe, hacen que resulte de gran interés lo que se desarrolle en Venezuela el domingo.","Propongo que esperemos unos momentos. (juicio)","Propongo una reforma energética a nivel nacional. / Le propongo matrimonio a mi novia esta tarde. (afirmando una acción)",FALSE,FALSE
"sin duda","Aquí lo que verdaderamente se ha movido han sido las ideas en la cabeza de Bueno..., y nada más (y que de la 7ª <strong>sin duda</strong> nada ha dicho).","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material.",FALSE,FALSE
"considero","Cuando <strong>considero</strong> al enemigo como fieras, el asunto es una cacería y no una batalla.","Yo considero que sería mejor esperar. (juicio)","Considero a Manuel como mi mejor amigo.",FALSE,FALSE
"se ve","Y digo todo esto porque personalmente he dicho estos argumentos a varios profesores/teólogos de la facultad, con respuestas como «Dios es infinito porque es el Fundamento autofundamentante, como <strong>se ve</strong> en la zarza que arde del Antiguo testamento, pues es un fuego que se autoabastece», «que Dios sea infinito no sigifica que el Mundo sea un contenido suyo» (sin especificar por qué, esto es, volviendo a repetir la contradicción que yo precisamente discutía), «en el caso del Absoluto, el frágil intelecto humano no puede pretender esclarecer sus misterios, Dios no es una cosa, y no puede ser tratada con la racionalidad científica» (clara tontería que niega la Teología natural del catolicismo en favor de un fideísmo ad hoc para inmunizarse de los argumentos ateos, y que encima dice que Ideas ontológicas como finitud, infinitud, conciencia, etc., son modos de «racionalidad científica»).","Se ve como una propuesta interesante. (juicio)","Su casa se ve desde la colina. (ver con los ojos)",FALSE,FALSE
"pienso","Felipe, estoy agotado y por tanto bástete leerme bien: Ciertamente no hay ni puede haber soberanía sin Estado, eso <strong>pienso</strong>; pero sí puede haber Estados sin soberanía (entendiéndola muy parcamente) como por ejemplo les ocurre a Alabama, Tejas, Virginia, Andorra, etc. Estos Estados (como a los Lands alemanes) siguen siendo Estados y siguen teniendo cierta soberanía para según qué asuntos, pero no son Soberanos frente al Exterior...Etc.","Pienso que hay que esperar. (juicio)","Yo pienso en ti todas las tardes. (acción de pensar)",FALSE,FALSE
"asumo","¡Claro que <strong>asumo</strong> las posiciones de El animal divino!","Yo asumo que me darán un aumento. (posibilidad)","Yo asumo la posición de director. (acción)",FALSE,FALSE
"multiples","Yo pienso que aunque el peligro secesionista esté, ¡¡momentáneamente!!, conjurado, España sigue amenazada, por <strong>multiples</strong> enemigos internos y externos y por lo tanto, esa Fundación podría jugar algún papel... pero ¿qué papel?","Tenemos múltiples servicios disponibles.","Otro",FALSE,FALSE
"medio","En el cine eso ya es casi imposible, cae de suyo por ser un arte en el cual los políticos vieron nada más empezar un <strong>medio</strong> idóneo para dominar a las masas, a sus respectivos pueblos.","Juan está medio loco. (poco específico)","Mi asiento es el de en medio. (centro)",FALSE,FALSE
"por decir algo","¡¡Clamo al moderador para que dilucide quién insulta y provoca aquí y no nos meta a todos en el mismo saco!! Aquí te llaman chequista <strong>por decir algo</strong> tan obvio como que la Revolución tiene enemigos y ¿encima hay que callarse?","Podrías salir a comer, por decir algo. (sugerencia)","Castigaron a Manuel por decir algo ofensivo. (acción)",FALSE,FALSE
"multiples","En realidad no hay un Derecho humano, lo que hay son <strong>multiples</strong> códigos nacionales, múltiples Derechos positivos...y yo prefiero ser español y americano antes que morito.","Tenemos múltiples servicios disponibles.","Otro",FALSE,FALSE
"espero","Disculpad mi obsesión por la película y, <strong>espero</strong>, que mi ""rollo"" no os haya resultado del todo inútil.","Espero que todo salga bien. (posibilidad)","Espero tu respuesta antes del Lunes. (orden)",FALSE,FALSE
"casi","En dos materias se ha conseguido un acuerdo en el que están involucrados <strong>casi</strong> todos los habitantes de este país.","Casi no hay librerías en el pueblo. (se desconoce la situación)","Casi llego tarde a la junta. (se conoce la situación)",FALSE,FALSE
"entiendo","Por enésima vez, no <strong>entiendo</strong> nada.","Como yo lo entiendo, me quedaré en tu casa mañana. (juicio)","Yo entiendo la tarea de matemáticas. (comprensión)",FALSE,FALSE
"un poco","Vosotros podéis esperar al pueblo español sentados... Yo me guío por los movimientos de grupos y clases (caciques) y el pueblo español me da <strong>un poco</strong> de asco... Al fin y al cabo el pueblo no ha hecho nunca ni una sola revolución.","Es un poco atrevido hablarle de esa manera. (juicio)","Preparé un poco de caldo para la comida. (cantidad concreta)",FALSE,FALSE
"parcialmente","Es más: con el nuevo gobierno, el régimen autonómico de 1978 ha seguido desarrollándose a marcha vertiginosa, frenada <strong>parcialmente</strong> durante los ocho años anteriores del gobierno del PP, como señala Esquinas.","Lo que dices es parcialmente verdadero.","Otro",FALSE,FALSE
"a veces","Los que desconectan a los enfermos en coma lo hacen por motivos económicos, y son los gerentes de los hospitales los que toman esas decisiones (<strong>a veces</strong> se conservan los enfermos comatosos para que se pueda experimentar con ellos).","A veces puedo ser un poco molesto.","Otro",FALSE,FALSE
"seguramente","En cuanto a lo de decir ya, ni más ni menos, que en el Ejército Español (sic) &lt;&lt;sólo haya fanáticos fascistas, inmigrantes y gente con un cociente intelectual inferior a un cacahuete&gt;&gt;, en fin, si contara aquí lo que opino que merece ese que lo ha dicho, <strong>seguramente</strong> hasta sería yo el expulsado de estos foros, pero como ese sabe -¡oh sí, mejor que nadie!","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente.",FALSE,FALSE
"necesariamente","He de señalar que mis comentarios en Minuto Digital comenzarán con las siete preguntas formuladas por Gustavo Bueno en España no es un mito, y que la sección está pensada para que otros muchos puedan colaborar en ella, y no <strong>necesariamente</strong> sobre el problema de España, sino sobre otros muchos problemas filosóficos.","No necesariamente lloverá esta tarde. (no se sabe con certidumbre)","La política está necesariamente conectada a la economía. (inevitablemente)",FALSE,FALSE
"encuentro","La mayor dificultad la <strong>encuentro</strong> en la idea del Bien.","Lo encuentro un poco cuestionable. (juicio)","Me encuentro en casa de María. (ubicación)",FALSE,FALSE
"hay quien","Pues hete aquí que el diario mexicano La Jornada tiene a bien ofrecerme la traducción al español de dos artículos de un señor que analiza lo que sucede con las relaciones entre el petróleo, su comercialización, su consumo y todo esto con un asunto que sucede que es un fenómeno llamado globalización y con otro llamado guerra...y me interesa saber qué causas hay detrás de esa guerra y esa globalización,porque se, por experiencia, que afecta todo esto a los empresarios, desde el más pequeño hasta el más grande consorcio...y por eso,como vivo de los impuestos que obtiene el Estado y puedo ir a un hospital cuando me hace falta, porque ese Estado que se sostiene con los recursos que se llaman presupuestos depende para su eutaxia de la buena marcha de la capa basal,por ejemplo, me preocupa este problema...si <strong>hay quien</strong> piensa que no es problema y que los poetas y filósofos deberían dedicarse a sabe dios que menesteres, pues allá su santa manera de ver y entender el ""sentido de la vida"" de esos dos ""gremios""...","Hay quien dice que murió ahogado.","Otro",FALSE,FALSE
"deberia","Finalmente (y como ya ha remarcado Lino) cada política obedece a un periodo histórico, y aun más, es producto de aquél, y quien se apoya en la artrosis del keynesianismo frente a la estanflación de los 70 <strong>deberia</strong> recordar la artrosis de las tesis clásicas ante la crisis de los 30.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas.",FALSE,FALSE
"principalmente","Como han salido nuevas encuestas que ponen al PP por delante del PSOE (muy <strong>principalmente</strong> la de EL Mundo) supongo que J.M piensa que Pedro Jota está financiado por Polanco, porque, manejando la dialéctica de clases tan bien como la maneja, según él, el PSOE, no se explica que la valoración del imbécil de ZP caiga trece puntos, más que suponiendo que el diario El Mundo también hace campaña a favor del PSOE.","El orégano se usa principalmente como condimento.","Otro",FALSE,FALSE
"ocasionalmente","Y ello por mucho de que pueda ser <strong>ocasionalmente</strong> útil su promoción para un reclutamiento a la desesperada, cosa que yo no niego, vuelvo a insistir.","Ocasionalmente visito a mis tíos en España.","Otro",FALSE,FALSE
"ocasionalmente","La razón de Estado es la norma que <strong>ocasionalmente</strong> se usa para guiar al Estado por el camino que conduce a una mayor eutaxia.","Ocasionalmente visito a mis tíos en España.","Otro",FALSE,FALSE
"usualmente","exclamó Epigmenio Ibarra, el director de Argos, cuya compañía con algún respaldo del Partido de la Revolución Democrática, desplegó 24 CÁMARAS para cubrir (a los acá arreados de: nota del traductor) la marcha del silencio  ([iAun más difícil que la toma, comentó el señor Ibarra es resolver cómo distribuir y mostrar el material, el cual <strong>usualmente</strong> termina en pantallas universitarias."")(jajajajaj)","Usualmente no salgo los jueves por la tarde.","Otro",FALSE,FALSE
"aparentemente","Para poder llevar eso a cabo sería necesario elevar una idea factible y bien construida a movimiento de masas, esto es, elevar a movimiento político la voluntad y la idea de un grupo dominante y capaz y que domina sobre esas masas llevándolas a la realización inconsciente de su idea y voluntad de grupo y cuyos fines las mismas masas desconocen casi siempre... En realidad eso ya ocurre: es elevado a la realización inconsciente la voluntad de grupo aquello que consiste en la tolerancia a ultranza, para así socavar las tradiciones y costumbres del Estado decimonónico y poder penetrar con más facilidad y con las políticas ofensivas del neoliberalismo <strong>aparentemente</strong> apátrida, la cáscara estatalista o proteccionista aún vigente.","Aparentemente habrá un concierto esta tarde. (parece que)","Otro",FALSE,FALSE
"bastantes","en los que participan, si no me equivoco, <strong>bastantes</strong> militares.","Hay bastantes cosas por hacer.","Otro",FALSE,FALSE
"deberias","¿O te refieres a tu subjetivista criterio?, pues si es esto último, por mi puedes considerarte Napoleón, aunque ya te dije lo que pienso: que <strong>deberias</strong> dejar eso del anarquismo, pues eso no vale para nada.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia.",FALSE,FALSE
"puede","Despotismo dialéctico (no diré ilustrado, porque el socialismo embruteció al vulgo) que hace todo lo que <strong>puede</strong> por el pueblo pero sin contar con él.","Esta ruta puede ser peligrosa. (posibilidad)","José puede entrar gratuitamente con su credencial de estudiante. (capacidad)",FALSE,FALSE
"bastantes","Pero sobre todo, De la Vega ha calificado de irresponsable a gran parte de la opinión pública española, entre ellos <strong>bastantes</strong> socialistas.","Hay bastantes cosas por hacer.","Otro",FALSE,FALSE
"gran parte","En definitiva, Martin, una cosa es que EEUU controle <strong>gran parte</strong> del planeta y ejerza su influencia imperial por medio de sus ideólogos, y otra muy distinta que no pueda criticarse la propaganda ""metafísica"" (y tb perniciosa, porque desde un foro se alimenta el odio contra el Estado, y en nuestro caso contra España), y aun menos que pueda llegar a considerarse como ""positiva"" (en el sentido benefactor del término) dicha propaganda.","Una gran parte de ustedes me conoce.","Otro",FALSE,FALSE
"diria","Pero si lo que quisiese, cosa que dudo, (pues su pregunta no me parece ingenua sino, como todas, pre-juiciosa) es saber qué es el materialismo, yo le <strong>diria</strong> que consultase los diversos diccionarios y enciclopedias incluidos en la pagina web del PFE : Lalande, Ferrater Mora, Abagnano, etc. Hay así mismo en la red diversos diccionarios de filosofía en diversas lenguas on line.","Yo diría que hay que esperar. (juicio)","Mi padre diría que eso está mal. (acción)",FALSE,FALSE
"seguido","Es más: con el nuevo gobierno, el régimen autonómico de 1978 ha <strong>seguido</strong> desarrollándose a marcha vertiginosa, frenada parcialmente durante los ocho años anteriores del gobierno del PP, como señala Esquinas.","Mis padres me visitan muy seguido.","Otro",FALSE,FALSE
"supongo","Aunque en otros foros ya se ha discutido acerca de la tesis de Alvargonzález, creo que es este el lugar más indicado para señalar no sólo la tesis del propio Alvargonzález, <strong>supongo</strong> que ya conocida por todos, sino sobre todo el texto de Tresguerres, pues a mi entender su crítica es acertada al problema planteado por Alvargonzález, pero al ofrecer sus tesis sobre las relaciones del hombre con los animales en el presente y sobre el futuro de la religión, más que resolver la cuestión acaba planteando más puntos oscuros de los que había.","Supongo que hay que esperar. (juicio)","Yo no supongo nada para la comunidad. (aportación)",FALSE,FALSE
"basicamente","Creo que <strong>basicamente</strong> por la desidia, la miopía o la incapacidad de la derecha para la lucha ideológica, como la llaman los comunistas.","La película es básicamente una parodia.","Otro",FALSE,FALSE
"bastante","Pero Rubén no se olvida de lo otro y vuelve sobre ello de una manera que, lo reconozco, me resulta más bien insidiosa; no sólo por percibir un exceso de puntillosidad rayana en tergiversación, sino porque ya tenemos <strong>bastante</strong> con lo demás.","Hay bastante trabajo por hacer.","Otro",FALSE,FALSE
"quiza","Se le podría <strong>quiza</strong> acusar de demasiado frio al análisis del critico desde este punto de vista, por su proceder pretendidamente objetivo; quizá se debiese esto a que entre las partes formales átomas en las que se podría dividir una película no figurará el elemento catárquico (este envolvería el todo atributivo de esas partes formales y afectaría más bien, a mi entender, al gusto subjetivo de cada uno, que a la calidad objetiva, si cabe hablar de ella, de la película).","Quizá sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"frecuentemente","Si la violencia se entiende <strong>frecuentemente</strong> como fuerza contra el orden, esto se debe a que se olvida que ese orden, a su vez, es el resultado de una violencia.","Mis padres me visitan frecuentemente.","Otro",FALSE,FALSE
"por decir algo","Nadie me ha contado nada y me da igual qué pueden contarme del camino o sobre el camino... La cuestión es que el camino es otro siendo a la vez el mismo <strong>por decir algo</strong> heracliteano-.","Podrías salir a comer, por decir algo. (sugerencia)","Castigaron a Manuel por decir algo ofensivo. (acción)",FALSE,FALSE
"alguna","¿Saco <strong>alguna</strong> conclusión?","Alguna pluma habrá caído por la abertura.","Otro",FALSE,FALSE
"alguna","Para saciar la curiosidad de Armesilla (es genial como siempre) le diré a él o quién cupiere y que se haga tal pregunta, que yo no escribo en El catoblepas sobre todo esto por varias razones..., por <strong>alguna</strong> de estas varias razones: Porque no sé; porque no puedo; porque no tiene una gran importancia; porque me da mucho miedo; porque ya lo hago aquí; porque soy muy vago..., o porque no me da mi real gana.","Alguna pluma habrá caído por la abertura.","Otro",FALSE,FALSE
"deberia","La moral tiene una diferencia respecto del derecho, que resulta a mi juicio fundamental: el derecho obliga y sus «debe», «<strong>deberia</strong>» y «tiene que»... son distintos de los derechos morales, y las obligaciones morales... la norma de Sardá y la norma de Losantos (ambos periodistas o comunicólgos, como ustedes quieran) se diferencian en algo o son identificables respecto de los fines de la comunicación, que son informar o entretener y supuestamente (esto es de manual de facultad de periodismo) formar opinión.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas.",FALSE,FALSE
"probablemente ","Pero bueno, si te interesa perfilar y argumentar tu tesis acerca del ""amor loco"", y eres capaz de explicar con algo más de calma a qué tipo de amor te refieres y dentro de qué taxonomía (¿hay amores locos, moderados, leves y cuerdos?), <strong>probablemente </strong>se reabra la polémica que nos entretuvo en El Catoblepas y a la que hacía mención José Manuel, lo cual sería sin duda bien recibido.","Probablemente sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"parece","Y es que estoy hecho un lío, pues yo ahora me tengo por materialista y ateo y por ser un contrario radical a cualquier izquierda, con lo que debo ser, <strong>parece</strong>, de derechas...","Me parece que hay que esperar. (juicio)","Te pareces a tu padre en esta foto. (semejanza)",FALSE,FALSE
"suena","En fin, que al hombre político eso de la ética y de la moral le <strong>suena</strong> a castañuelas cuando se trata de la decisión, del caso límite.","Tu idea me suena bien. (juicio)","Las bocinas suenan demasiado fuerte. (sonido)",FALSE,FALSE
"aproximadamente","Hace <strong>aproximadamente</strong> dos décadas di una conferencia en Madrid, en el Instituto de Estudios Políticos, sobre el tema de mi conferencia de hoy: ""Los problemas del espacio"".","La pared mide aproximadamente 15 metros.","Otro",FALSE,FALSE
"propongo","A saber -en relación con el caso de los matrimonios homosexuales que Pardo aduce como ejemplo, y como, en su caso, carece éste de contextualización espacial y temporal, y además parece que áun colea la confusión entre ética y moral, <strong>propongo</strong> otro que estimo más claro: en España, sería claramente distáxica una ley favorable a la poliginia, mas ésta resultaría sin duda alguna eutáxica en las microsociedades inuit de Alaska.","Propongo que esperemos unos momentos. (juicio)","Propongo una reforma energética a nivel nacional. / Le propongo matrimonio a mi novia esta tarde. (afirmando una acción)",FALSE,FALSE
"alguien","Porque <strong>alguien</strong> que está incapacitado para aplicar la ciencia, la filosofía y la razón para un horóscopo o un médium, no está capacitado para tener un juicio recto de nada.","Alguien tendrá que limpiar este desastre. (no se sabe quién)","Carlos es alguien en quien confiar. (se sabe quién)",FALSE,FALSE
"raramente",""" Eu penso que hoje em dia <strong>raramente</strong> as pessoas ajudam aos pobres que passam fome.","Raramente ceno en ese restaurante.","Otro",FALSE,FALSE
"seguro","Seguro que este otoño es el librito de marras todo un éxito de ventas...Y es que, dado mi aristocratismo y elitismo, yo pienso que precisamente porque es y será un éxito de ventas, es por lo que esa novela es <strong>seguro</strong> un bodrio como la copa de un pino...Estos periodistas agasajadores y lameculos de la masa masiva que de mentiras se valen habían de ser quemados como los que hacen moneda falsa, como bien sentencia mi Don Quijote desde su católica y santa ética.","El evento seguro será un éxito.","No es seguro caminar por estas calles.",FALSE,FALSE
"rara vez","Las palabras, en el discurso poético, <strong>rara vez</strong> constituyen una filosofía verdadera y nunca una verdadera filosofía, porque su oscuro mecanismo está más cerca de la música o la pintura que de la filosofía.","Rara vez ceno en ese restaurante.","Otro",FALSE,FALSE
"rara vez","Finalmente, se diga lo que se quiera sobre si la ley humana puede o no admitir esta opinión cuando la defraudación tiene lugar de buena fe cosa que sucede <strong>rara vez</strong> y difícilmente se puede probar, hasta el momento, nada que se conozca haya establecido sobre el tema; por lo que debe aplicarse el derecho natural anteriormente explicado.","Rara vez ceno en ese restaurante.","Otro",FALSE,FALSE
"relativamente","Este movimiento beneficia siempre a los consumidores, pues permite que los capitales se inviertan allí donde son <strong>relativamente</strong> más productivos.","Esto debería de ser relativamente sencillo.","Otro",FALSE,FALSE
"creo","Que al PP le vaya mejor con el video de marras lo dudo mucho: en la Comisión les van a dar puñaladas por arriba y por abajo, y no <strong>creo</strong> que sirva para que les admitan más comparecencias, que es lo que reclaman.","Yo creo que hay que esperar. (juicio)","Yo creo en la resurrección de Jesucristo. (creencia)",FALSE,FALSE
"pienso","Ahora le darán a este film dieciséis Oscars...¡Y entonces todo lo que <strong>pienso</strong> quedará corroborado!","Pienso que hay que esperar. (juicio)","Yo pienso en ti todas las tardes. (acción de pensar)",FALSE,FALSE
