hedge,sentence,usage_a,usage_b,gold,hedge_gold
"suena","Esta música, por desgracia, ya me <strong>suena</strong>, y el disco ya está rayado.","Tu idea me suena bien. (juicio)","Las bocinas suenan demasiado fuerte. (sonido)",FALSE,FALSE
"casi","Pessoa no se refiere a la nación vasca, quizá porque la considera una nación en retrogresión <strong>casi</strong> ya totalmente desaparecida y englobada en otras.","Casi no hay librerías en el pueblo. (se desconoce la situación)","Casi llego tarde a la junta. (se conoce la situación)",FALSE,FALSE
"medio","La dictadura soberana no es <strong>medio</strong> para nada.","Juan está medio loco. (poco específico)","Mi asiento es el de en medio. (centro)",FALSE,FALSE
"hay quien","Y esto no <strong>hay quien</strong> lo detenga.","Hay quien dice que murió ahogado.","Otro",FALSE,FALSE
"tecnicamente","La emprendí como prueba: dado que siempre he preferido hacer el tonto líricamente, quería ver si también podía <strong>tecnicamente</strong>.","Técnicamente no es una respuesta correcta. (estrictamente)","Los resultados del estudio son técnicamente precisos. (de acuerdo a la técnica)",FALSE,FALSE
"rara vez","Es verdad, que a cada paso se acusan recíprocamente unos a otros, como [85] infractores de ellos; más esto depende de que <strong>rara vez</strong> es tan clara la justicia o injusticia, ni de uno ni de otro de los contendientes, que no de lugar a la diferencia de opiniones, Así entrambos obran probablemente, y también probablemente se acusan.","Rara vez ceno en ese restaurante.","Otro",FALSE,FALSE
"alguien","Se trata de que dejo de ser <strong>alguien</strong> que espera amar y compartir con alguien mi vida, un hombre que sufre, transpira y sueña, para volverme un número, una estadística, un consumidor: dejo de ser yo para transmutar en un sujeto de mercado que compreará o no la felicidad que quieran venderle.","Alguien tendrá que limpiar este desastre. (no se sabe quién)","Carlos es alguien en quien confiar. (se sabe quién)",FALSE,FALSE
"necesariamente","Rechazar, como hicieron Bohr &amp; Heisenberg &amp; Pauli &amp; von Neumann, el realismo adecuacionista de Einstein -el que aparece como fondo en EPR y su criterio (suficiente) de realidad: ""si M es predecible con probabilidad igual a la unidad, entonces el sistema cuántico presenta 'realmente' tal valor para M""- (que también, desde TCC, es impugnado) no implica caer <strong>necesariamente</strong> en un idealismo teoreticista; el marco de la complementariedad de Bohr presenta, sin perjuicio de su pragmatismo, múltiples conexiones con la teoría relacional de los aparatos de Bueno, no en vano un realista adecuacionista como Mario Bunge (por cierto, no he conocido peor filósofo de la física que él) acusó por ella a GB de positivista estilo Copenhague.","No necesariamente lloverá esta tarde. (no se sabe con certidumbre)","La política está necesariamente conectada a la economía. (inevitablemente)",FALSE,FALSE
"ocasionalmente","La razón de Estado es la norma que <strong>ocasionalmente</strong> se usa para guiar al Estado por el camino que conduce a una mayor eutaxia.","Ocasionalmente visito a mis tíos en España.","Otro",FALSE,FALSE
"hay quien","Los intelectuales no nacionalistas dicen que <strong>hay quien</strong> teme «represalias» si firma su manifiesto","Hay quien dice que murió ahogado.","Otro",FALSE,FALSE
"generalmente","La Escuela Española aceptó como una cosa común la teoría cuantitativa de dinero y la proposición de que los precios ""<strong>generalmente</strong>"" subirán o bajarán como respuesta a la expansión o contracción de la circulación de la moneda (33).","Generalmente no salgo los jueves por la tarde.","Otro",FALSE,FALSE
"seguramente","Sinceramente, a la pregunta de qué sucedería si esas lustrosas y actuales doctrinas estuvieran en libre acceso para todos los estudiantes, <strong>seguramente</strong> sucedería que los profesores de la UNED dejarían de conseguir los beneficios que habitualmente reciben con sus prácticas monopolísticas.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente.",FALSE,FALSE
"la mayoria","Y como estas afirmaciones genéricas, <strong>la mayoria</strong> de Zugasti.","La mayoría de ustedes me conoce.","Otro",FALSE,FALSE
"algun","Pero siempre se agradece que de vez en cuando <strong>algun</strong> habitante del purgatorio filosófico se acerce para ayudarnos a leer mejor.","Algún lápiz habrá caído por la abertura.","Otro",FALSE,FALSE
"particularmente","No cabe duda de que la intervención en el orden político constituido de terceros países es una constante en la historia misma de los Estados Unidos de Norteamérica ( ´<strong>particularmente</strong> en hispanoamérica- Guatemala, Chile, El Salvador, Nicaragua, República Dominicana, Panamá etc, etc- aunque también en Asia, Oriente Medio, etc) como no podría ser de otro modo tratándose de un Imperio.","Esto no es particularmente divertido.","Otro",FALSE,FALSE
"algo","De lo que se trata (a mi modesto entender) es de que vale cualquier manera que se use para defender a la patria cuando esta es pasada bajo el yugo en las Orcas Caudinas: Que la patria se debe defender siempre, con ignominia o con gloria, y de cualquier manera estará bien defendida......que esto es <strong>algo</strong> que merece ser notado e imitado por todo ciudadano que quiera aconsejar a su patria, pues en las deliberaciones en que está en juego la salvación de la patria, no se debe guardar ninguna consideración a lo justo o a lo injusto, lo piadoso o lo cruel, lo laudatorio o lo vergonzoso, sino que, dejando de lado cualquier otro respeto, se ha de seguir aquél camino que salve la vida de la patria y mantenga su libertad (Maquiavelo.","Su salud es algo delicada. (se desconoce el grado)","Vi que algo se estaba moviendo. (se conoce la situación, no necesariamente los detalles)",FALSE,FALSE
"algunos","Pero a mi me encanta que <strong>algunos</strong> contertulios se aproximen peligrosamente al abismo de la locura subjetual.","Algunos dicen que murió ahogado.","Otro",FALSE,FALSE
"un poco","Sigfrido Samet Letichevsky, publicó un artículo publicado en el Catoblepas[/n] que lleva por título[b]Historia virtual :  Su lectura puede ser provechosa para lo que venimos discutiendo, e, incluso, ir <strong>un poco</strong> más allá en la elucidación de la cuestión planteada por Vega acerca de los juicios del tipo si no hubiera existido, pasado etc. tal o cual cosa, entonces no habría habido o sucedió tal o cual otra.","Es un poco atrevido hablarle de esa manera. (juicio)","Preparé un poco de caldo para la comida. (cantidad concreta)",FALSE,FALSE
"a veces","Asimismo, cabrá decir, <strong>a veces</strong>, que la izquierda blanca se opone a veces a la izquierda roja más aún que a la derecha amarilla&gt;&gt;.","A veces puedo ser un poco molesto.","Otro",FALSE,FALSE
"asumo","He sido torpe (una vez más) y lo <strong>asumo</strong>.","Yo asumo que me darán un aumento. (posibilidad)","Yo asumo la posición de director. (acción)",FALSE,FALSE
"virtualmente","Por otra parte, la injerencia de Chávez en los países de mayor inestabilidad es muy probable, y <strong>virtualmente</strong> cierto en la crisis boliviana.","Es virtualmente imposible cruzar el río.","Yo me comunico virtualmente a través de mi computadora.",FALSE,FALSE
"mas o menos","Esa divergencia también existía antes de la distinción entre izquierda y derecha y por tanto, seguirá existiendo después de que esta distinción moderna y aún actual de clases perezca...Precisamente una de mis críticas contra la validez de la distinción entre izquierda y derecha actual va dirigida a la imposibilidad de una holización de la propiedad privada, y que no veo qué izquierda pretende que esa holización de la propiedad privada esté acabada...(?)...tú dices: porque la propiedad privada de los medios de Producción no está holizada como pretenden las izquierdas (según proyectos <strong>mas o menos</strong> eficaces y realistas)....Sea como fuere, esa holización de la propiedad privada es un puro mito en el que yo ya no creo...y como las izquierdas, al no poder sobrepasar ese orden imperativo terciario y sus dialécticas de segundo grado(Tabla de Freund) se ven constreñidas a las dialécticas del orden primario y a las dialécticas entre Estados...pues pierden su función supuestamente holizadora embarrancándose en lo perenne de lo político (perennidad esta, de Freund, que parece que tú no me captes).","Me dijeron más o menos qué tengo que hacer. (poco específico)","Usa más o menos azúcar de acuerdo a tu gusto. (cantidad concreta)",FALSE,FALSE
"sugiero","Yo <strong>sugiero</strong> la comedia.","Sugiero que esperemos un momento. (juicio)","Sugiero y evoco recuerdos de la infancia al tocar el piano. (indirectamente)",FALSE,FALSE
"reducido","Ciertamente, España, gracias a Aznar, dispone de un nivel de endeudamiento admirable -un 43% del PIB frente al 72% de la media de la eurozona- lo que permitiría ir a déficits masivos para compensar la caída del consumo privado, pero esta política, ya en marcha, con unos Presupuestos expansivos, ya no podrá realizarse de forma efectiva, pues la claudicación de Zapatero ante los nacionalistas deja al Estado sin capacidad de gasto; por otra parte, del lado del ingreso, es radicalmente falso que el Gobierno haya <strong>reducido</strong> en 4.000 millones la presión fiscal, antes al contrario, ésta ha aumentado sustancialmente sobre las clases medias, es decir, sobre la mayoría, para poder financiar las concesiones de toda índole realizadas a Cataluña, primero por el efecto fiscal de la inflación, después por el incremento en tres puntos del impuesto sobre las plusvalías de los pequeños ahorradores, pues las de los ricos vía SICAV (Sociedades de Inversión de Capital Variable) siguen exentas, y finalmente por la derogación de la exención de plusvalías para la venta de activos adquiridos con anterioridad a 1994, aparte de penalizar seriamente el ahorro de las familias.","El espacio para convivir es reducido. (pequeño, pero sin especificar)","Los fondos para el arte se han reducido. (disminuido; bajado)",FALSE,FALSE
"parece","Es más, me <strong>parece</strong> que es la que, en cierta medida, está ejercitando Gustavo Bueno en este artículo, cuando habla por ejemplo de ""sintaxis de cine religioso"" o de ""materia"" y ""forma"".","Me parece que hay que esperar. (juicio)","Te pareces a tu padre en esta foto. (semejanza)",FALSE,FALSE
"parcialmente","La verdad es que este artículo es para mí bastante decepcionante, y para nada suscribo el fondo de lo que se dice en él, al margen de algunas cosas en las que pudiera estar de acuerdo <strong>parcialmente</strong> (en la cuestión fiscal de los tipos aplicados a las rentas salariales).","Lo que dices es parcialmente verdadero.","Otro",FALSE,FALSE
"parece","La fundamentación que realiza Bueno en ""Symploké"" me <strong>parece</strong> adecuada.","Me parece que hay que esperar. (juicio)","Te pareces a tu padre en esta foto. (semejanza)",FALSE,FALSE
"un par","Y digo que estoy y estamos, de enhorabuena porque al menos tenemos <strong>un par</strong> de herramientas, para trabajar en esa materia, desde el Materialismo Filosófico:","Tengo un par de sugerencias. (no es clara la cantidad, puede ser mayor a dos)","La tercia vence al par en un juego de póquer. (dos)",FALSE,FALSE
"puede","Ya se que el hombre no es Dios ni puede ser nada más que un exceso de animalidad, lo cual significa, sin duda, que todo exceso de animalidad es sólo más animalidad, que sólo <strong>puede</strong> haber animalidad y nada más que animalidad.","Esta ruta puede ser peligrosa. (posibilidad)","José puede entrar gratuitamente con su credencial de estudiante. (capacidad)",FALSE,FALSE
"considero","Dado que este debate ha llegado, creo yo, a un callejón sin salida, en gran parte por culpa de las dos personas que lo hemos mantenido, <strong>considero</strong> oportuno hacer unas valoraciones respecto a la crítica del amigo Antonio Ysern y a las deficiencias con las que nos encontramos de aquí en adelante.","Yo considero que sería mejor esperar. (juicio)","Considero a Manuel como mi mejor amigo.",FALSE,FALSE
"multiples","Yo pienso que aunque el peligro secesionista esté, ¡¡momentáneamente!!, conjurado, España sigue amenazada, por <strong>multiples</strong> enemigos internos y externos y por lo tanto, esa Fundación podría jugar algún papel... pero ¿qué papel?","Tenemos múltiples servicios disponibles.","Otro",FALSE,FALSE
"bastantes","Y ya tenemos <strong>bastantes</strong> polémicas en el interior de la Iglesia.&gt;&gt;","Hay bastantes cosas por hacer.","Otro",FALSE,FALSE
"diria","Se <strong>diria</strong> que vamos hacia programas educativos cada vez más dictados por el rendimiento laboral, mientras los valores humanistas cuyo debate nos hermana son abandonados al autismo de caprichos privados o a la intransigencia irrefutable de los dogmas.","Yo diría que hay que esperar. (juicio)","Mi padre diría que eso está mal. (acción)",FALSE,FALSE
"podrias","¿Acaso <strong>podrias</strong> tu como animal humano hacer un hormiguero?","Podrías considerar otra solución. (posibilidad)","Tú podrías imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"alguna","Y, por si había <strong>alguna</strong> duda, le dejaste claro que no querías sus votos...¡Qué lejos quedan las palabras del actual presidente del Senado, Javier Rojo, cuando él todavía pensaba que a los socialistas y a los populares en el País Vasco nos unen muchas más cosas que las que nos separan, cosas mucho más importantes que nuestras respectivas ideologías!","Alguna pluma habrá caído por la abertura.","Otro",FALSE,FALSE
"seguro","Lo que hace Platón es recalcar el carácter objetivo ideal (M3) de tales nociones, que no podían reducirse al ámbito subjetivo (M2) como pretendían los sofistas (que acabarán por vaciar de contenido al nomos espíritu objetivo- buscando un asidero <strong>seguro</strong> en las características genéricas (psicoetológicas) de los hombres la fuerza natural-).","El evento seguro será un éxito.","No es seguro caminar por estas calles.",FALSE,FALSE
"propongo","aunque en España no es psosible ver fácilmente en las salas de cine películas como las que se mencionan en el artículo ue <strong>propongo</strong> para comenzar este tema, sí me parece pertinente su lectura, pues aporta,a mi juicio, material fenoménico para un mejor conocimiento del presente en México y el territorio vecino...","Propongo que esperemos unos momentos. (juicio)","Propongo una reforma energética a nivel nacional. / Le propongo matrimonio a mi novia esta tarde. (afirmando una acción)",FALSE,FALSE
"imagino","No me <strong>imagino</strong> a Ford, o a Lang, usando una película para esos propósitos.","Imagino que hay que actuar cuanto antes. (juicio)","Imagino un mundo sin violencia. (capacidad)",FALSE,FALSE
"alguno","Y si <strong>alguno</strong> se apunta a él, me borro´.","Pedro no dejó rastro alguno.","Otro",FALSE,FALSE
"imagino","En el último medio siglo ha contado con la colaboración entusiasta de los nacionalistas catalanes y vascos, a los más perversos de los cuales <strong>imagino</strong> estupefactos ante la estolidez de los progres españoles (aunque les pese).","Imagino que hay que actuar cuanto antes. (juicio)","Imagino un mundo sin violencia. (capacidad)",FALSE,FALSE
