hedge,sentence,usage_a,usage_b,gold,hedge_gold
"pienso","Y si no lo pierde, entonces <strong>pienso</strong> que el oficial deberia darse EL LUJO de golpearlo de todas formas como defensa personal.","Pienso que hay que esperar. (juicio)","Yo pienso en ti todas las tardes. (acción de pensar)",FALSE,FALSE
"varios","Cuando Tito (así lo llamaban sus amigos) era un estudiante muerto de hambre en el México de mediados del siglo XX, vivía en una residencia con <strong>varios</strong> congéneres, entre los que destacaba uno muy grande y hablador apodado el dinosaurio.","Tenemos varios servicios disponibles.","Otro",FALSE,FALSE
"un poco","realidad nocional, pero <strong>un poco</strong> viejo el video, tienes que oir los episodios mas nuevos del show de radio para ver como habla de politica","Es un poco atrevido hablarle de esa manera. (juicio)","Preparé un poco de caldo para la comida. (cantidad concreta)",FALSE,FALSE
"podria","Ya sabeis, una de las razones por la que la masa esta cada vez más aborregada, es por inclinación genética, pobres, aunque eso me lleva a una pregunta, ¿sin este aborregamiento inducido genéticamente <strong>podria</strong> sostenerse esta sociedad?","Esta ruta podría ser peligrosa. (posibilidad)","Yo podría imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"asumo","Si tuviera que servir como etiqueta de presentación, lo sería porque modestamente <strong>asumo</strong> como propios los rasgos más característicos del filósofo holandés: un materialismo equidistante tanto del ramplón mecanicismo como del monismo metafísico; un racionalismo crítico; una teoría del conocimiento que se prolonga, a su vez, en una teoría de las pasiones, según la cual los hombres no somos sólo pura razón, ni puro sentimiento, sino una mezcla indisociable de ambos; una ética superadora de los clásicos dualismos, basada en la búsqueda la felicidad, pero siempre bajo la guía de la razón (o sea, bajo principios de justicia); y una filosofía política defensora de la libertad y de la democracia.","Yo asumo que me darán un aumento. (posibilidad)","Yo asumo la posición de director. (acción)",FALSE,FALSE
"seguramente","Dentro de la filosofía de Nietzsche, los únicos que han creado valores nuevos son los judíos y los cristianos, <strong>seguramente</strong> por su visión sesgada eurocentrista, pues el nuevo testamento es filosofía oriental (budismo disfrazado).","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente.",FALSE,FALSE
"poco","No es <strong>poco</strong> oportuno hablar de arena, en todo caso, de relojes de arena.","Sería poco prudente hablarle de esa manera. (juicio)","Hay poco gente en el público. (cantidad concreta)",FALSE,FALSE
"alguno","El arte, entendido tal y como se entiende actualmente, es todo aquello que no tiene objetivo <strong>alguno</strong>, que es creado para nada.","Pedro no dejó rastro alguno.","Otro",FALSE,FALSE
"de repente","Al convertirlo en mártir por predicar su filosofía, hizo que esa filosofía <strong>de repente</strong> cobrase mucha más importancia.","De repente sentí muchas ganas de jugar futbol.","Otro",FALSE,FALSE
"virtualmente","Eso es <strong>virtualmente</strong> imposible.","Es virtualmente imposible cruzar el río.","Yo me comunico virtualmente a través de mi computadora.",FALSE,FALSE
"aproximadamente","Disculpa,lebensraum...una corrección:en el planeta hay <strong>aproximadamente</strong> 6.000.000.000 de seres humanos(seis mil millones).","La pared mide aproximadamente 15 metros.","Otro",FALSE,FALSE
"deberia","No se si <strong>deberia</strong> escribir esto.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas.",FALSE,FALSE
"practicamente","El hombre que desconoce esa emoción, que es incapaz de maravillarse y sentir el encanto y el asombro, está <strong>practicamente</strong> muerto.","La película es prácticamente una parodia.","Otro",FALSE,FALSE
"imagino","Pues yo me <strong>imagino</strong> que Dios tambien tiene una mascara.","Imagino que hay que actuar cuanto antes. (juicio)","Imagino un mundo sin violencia. (capacidad)",FALSE,FALSE
"un poco","Debo reconocer que el video me ha chocado <strong>un poco</strong>.","Es un poco atrevido hablarle de esa manera. (juicio)","Preparé un poco de caldo para la comida. (cantidad concreta)",FALSE,FALSE
"alguno","Si tomamos la jarra como recipiente producido, entonces, parece, la tomamos como una cosa y en modo <strong>alguno</strong> como mero objeto.","Pedro no dejó rastro alguno.","Otro",FALSE,FALSE
"parcialmente","Dada nuestra posibilidad de controlar nuestro destino <strong>parcialmente</strong>, el destino global del ser humano está en parte legislado por algo desconocido y por nosotros mismos.","Lo que dices es parcialmente verdadero.","Otro",FALSE,FALSE
"asumo","Y le refiero nuevamente lo que he escrito sobre la aletheia y el lethos no por que quiera repetirme no para que no quede esto último dicho de Dios como fundamento no es tan fundamenta quede en el aire sin explicación alguna y además la conclusión que <strong>asumo</strong> que para mi es importante en este punto que ante la imposibilidad de consenso se deben fijar las posiciones:","Yo asumo que me darán un aumento. (posibilidad)","Yo asumo la posición de director. (acción)",FALSE,FALSE
"aparentemente","""Una persona que logra entender esto puede transmutar el estado mental de las personas utilizando el principio de polaridad sobre sus mentes, es decir, creando conceptos que <strong>aparentemente</strong> se oponen ""satanizando"" uno de ellos y ""glorificando"" el otro para que asi se cree una jerarquia social o una jerarquia de ideas en la mente.""","Aparentemente habrá un concierto esta tarde. (parece que)","Otro",FALSE,FALSE
"encuentro","Yo también <strong>encuentro</strong> incompetentes a los jueces a los que les toca juzgar los míos.","Lo encuentro un poco cuestionable. (juicio)","Me encuentro en casa de María. (ubicación)",FALSE,FALSE
"basicamente","Interesantes los datos que se menciona acerca del estudio del asesinato de animales no humanos a causa de mplacer, sin embargo esta operacion animal racional del matar por matar es muy concreta <strong>basicamente</strong> porque estamos fuera del alcanze de consevir una racionalidad animal no humana, con base en esto reitero que decimos que el hombre y solo el como ser pensate, dualista intweraccionista activo entre su yo y su ello es el unico que de manera formal hace un procesamiento mental de sus desiciones y elecciones, en este caso matar.","La película es básicamente una parodia.","Otro",FALSE,FALSE
"rara vez","Tengo claro como deberíamos funcionar, pero como estamos en el peor de los mundos posibles, que se funcione en el caos de todos los vicios humanos no me afecta, está previsto en mi cosmovisión.... Mi vida transcurre en ocasiones rodeada de imbéciles, otras veces de fantoches, de vanidosos, de descerebrados... y <strong>rara vez</strong> encuentro a alguien que me merece la pena -en el sentido comunicativo de la palabra-.","Rara vez ceno en ese restaurante.","Otro",FALSE,FALSE
"propongo","Y esta manera que yo <strong>propongo</strong> en opinión personal (claro está) y que apoyo, es una manera conciente.","Propongo que esperemos unos momentos. (juicio)","Propongo una reforma energética a nivel nacional. / Le propongo matrimonio a mi novia esta tarde. (afirmando una acción)",FALSE,FALSE
"no se","A mí en casos como éste me viene a la mente la frase que escribió Orwell en el prólogo de Rebelión en la Granja, que venía a decir ""hagan del encarcelamiento de fascistas sin juicio previo una costumbre, y pronto <strong>no se</strong> aplicará sólo a los fascistas"".","No sé si sea la mejor idea. (incertidumbre)","Esto no se puede hacer en menos de una hora. (negación)",FALSE,FALSE
"quiza","¿De qué manera interpreta lo que ve? La profecía fallida que me dio la adivinadora <strong>quiza</strong> nos de una pista: Ella predijo que compraría una casa nueva, lo cual nunca sucedió.","Quizá sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"varios","Estuve leyendo <strong>varios</strong> temas de ese apartado y me queda lamentar la actual ausencia de Trini y Lopenovi, usuarios a los que da gusto leer.","Tenemos varios servicios disponibles.","Otro",FALSE,FALSE
"se ve","por tanto, es indispensable que la biblia sea la palabra de dios y que la voluntad que ahi <strong>se ve</strong> expresada sea la verdadera voluntad de dios.","Se ve como una propuesta interesante. (juicio)","Su casa se ve desde la colina. (ver con los ojos)",FALSE,FALSE
"parece","Me <strong>parece</strong> interesante este tema, la verdad es que yo tuve perros (dos) desde pequeño hasta ahora.","Me parece que hay que esperar. (juicio)","Te pareces a tu padre en esta foto. (semejanza)",FALSE,FALSE
"algunos","Pero lo que ocurre con esta opción es que es la unica capaz de hacerme feliz, así que parece lógico hacerle caso a muerte, a pesar de que evidentemente chocará con la moral de otras personas o sociedades en <strong>algunos</strong> momentos.","Algunos dicen que murió ahogado.","Otro",FALSE,FALSE
"alguien","¿Y que <strong>alguien</strong> que gana la mitad de dinero que tu, o el doble?","Alguien tendrá que limpiar este desastre. (no se sabe quién)","Carlos es alguien en quien confiar. (se sabe quién)",FALSE,FALSE
"no se","Y aunque <strong>no se</strong> hace lo que yo quiero, se hace algo que considero saludable.","No sé si sea la mejor idea. (incertidumbre)","Esto no se puede hacer en menos de una hora. (negación)",FALSE,FALSE
"la mayoria","No las esperes pronto, pues <strong>la mayoria</strong> de las veces mis lecturas son cuando estoy en cierto asuntillo en el tocador.","La mayoría de ustedes me conoce.","Otro",FALSE,FALSE
"probablemente ","Por poner un ejemplo, un físico recién licenciado que superia escribir, en la carrera de filosofía no tendría prácticamente problemas (a parte de los obvios que requiere empollar) porque su manera de ver las cosas está mucho más entrenada que otro que va a filosofía directo (que <strong>probablemente </strong>está mucho más abierto a ser manipulado).","Probablemente sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"reducido","Compartiré algo contigo: yo aun no doy ningún paso, ¿estoy atemorizado?, aquí estoy hoy sin trabajo ni cursando estudios, ¿perdiendo el tiempo?, de vez en cuando me agobia la exigencia de ""hacer algo con mi vida"", ¿no estoy haciendo nada?, veo a todos trabajar o estudiar o ambas cosas, sin embargo soy el más sano, el más alegre, el más inteligente, al que todos hayan la razón, al que algunos porfían sin éxito (te hablo de mi <strong>reducido</strong> círculo de conocidos).","El espacio para convivir es reducido. (pequeño, pero sin especificar)","Los fondos para el arte se han reducido. (disminuido; bajado)",FALSE,FALSE
"seguido","Pero Johny siempre me pareció el mejor, <strong>seguido</strong> de cerca por el ninja ese que nunca recuerdo el nombre.","Mis padres me visitan muy seguido.","Otro",FALSE,FALSE
"multiples","No, no he hablado sobre realidades trascendentales <strong>multiples</strong>, lo que he hecho es poner en duda toda estas supuestas realidades trascendentales.","Tenemos múltiples servicios disponibles.","Otro",FALSE,FALSE
"hay quien","Por lo demás, puedo comprender lo que dices, Siflun... pero se están mezclando muchas cosas y ya no <strong>hay quien</strong> se aclare (la vida, la supervivencia, lo que busca la existencia en general, lo que busca el ser humano en particular, el sentido, el objetivo, lo que dice Nietzsche, lo que no dice) y al final esta conversación no tendrá fin... lo cuál es bueno porque jamás llegaremos a un acuerdo, XD","Hay quien dice que murió ahogado.","Otro",FALSE,FALSE
"sin duda","Hemos hablado también de asesinato, de cuando son personas los niños... pero <strong>sin duda</strong> a la madre le tiene que doler muchísimo renunciar a su condición de mamá por causas externas como las explicadas anteriormente, o porque la sociedad las estrangule tanto que esa sea su única salida.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material.",FALSE,FALSE
"alguna","Toda acción que empieces para materializar <strong>alguna</strong> de las respuestas a dichas preguntas no de fraguan en el Silencio, se generarán el la vibración, por lo tanto poseerán su carácter efímero, teporal y discutible.","Alguna pluma habrá caído por la abertura.","Otro",FALSE,FALSE
"varios","Yo soy master de <strong>varios</strong> juegos de rol, como bien he leido por ahi atrás la idea de jugar a rol es interpretar lo que no somos, o lo que no podemos ser, la simple interpretacion ficticia de un personaje, como si fuese una obra de teatro con tus colegas.","Tenemos varios servicios disponibles.","Otro",FALSE,FALSE
"considero","Yo <strong>considero</strong> que, puesto que tambien es dificil encontrar la salida en las carreras con mas salidas, en el fondo estas mas bien en la alternativa de estudiar lo que te gusta o lo que no te gusta.","Yo considero que sería mejor esperar. (juicio)","Considero a Manuel como mi mejor amigo.",FALSE,FALSE
"considero","No soy marxista porque marx michas veces cito que nisiquiera el mismo lo era, el justifico su respueste planteando que lo que el reptendia era plasmar una propuesta señalando las falencias del capital y rescatando algunas soluciones que el <strong>considero</strong> optimas para balancear dichas dalencias.","Yo considero que sería mejor esperar. (juicio)","Considero a Manuel como mi mejor amigo.",FALSE,FALSE
"deberias","Sin embargo, si creés en la realidad subjetiva, <strong>deberias</strong> rechazar la pregunta completamente.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia.",FALSE,FALSE
"diria","Pues para mi el inteligente por ser inteligente se legitima como listo, tratando de articular tus ideas con las mias <strong>diria</strong> que la sabiduria es la integracion de las experiencias del individuo con su acumulacion de conocimiento.","Yo diría que hay que esperar. (juicio)","Mi padre diría que eso está mal. (acción)",FALSE,FALSE
"creo","En realidad al analizar sus palabras con cuidado noto que usted esta diciendo ""Esta es mi verdad y yo <strong>creo</strong> en mi verdad, y como creo en mi verdad ninguna otra ""verdad"" que se oponga a mi verdad merece el titulo de ""verdad"" porque para mi es falsa.""","Yo creo que hay que esperar. (juicio)","Yo creo en la resurrección de Jesucristo. (creencia)",FALSE,FALSE
"multiples","Ello dependerá de <strong>multiples</strong> factores.","Tenemos múltiples servicios disponibles.","Otro",FALSE,FALSE
"gran parte","Yo creo que son secuelas religiosas en <strong>gran parte</strong>.","Una gran parte de ustedes me conoce.","Otro",FALSE,FALSE
"mas o menos","Yo diría que todo el mundo está en la misma media de felicidad <strong>mas o menos</strong>.","Me dijeron más o menos qué tengo que hacer. (poco específico)","Usa más o menos azúcar de acuerdo a tu gusto. (cantidad concreta)",FALSE,FALSE
"de repente","Primero la gente que vota al PSOE <strong>de repente</strong> tendría que pensar que lo ha hecho mal y dejarles de gustar, y si les ha seguido gustando hasta ahora la probabilidad de que esto pase es poca.","De repente sentí muchas ganas de jugar futbol.","Otro",FALSE,FALSE
"particularmente","Yo, <strong>particularmente</strong> estaría más de acuerdo con Hume; empirista que contrapone que la mente es como un libro en blanco.","Esto no es particularmente divertido.","Otro",FALSE,FALSE
"probablemente ","Sobre la inteligencia, una vez existe la cultura la inteligencia de una sociedad queda parcialmente desligada de la su genética, pues esta dispone de una herramienta ajena a ella (sí, una ""raza"" podria adoptar la cultura de otra y <strong>probablemente </strong>los roles de superioridad intelectual se verían invertidos), la cultura se convierte en un handicap, un gimnasio cerebral para pdoer desarrollar inteligencia (la cual no es nata por lo que no pertenece a la base genética), pero esta inteligencia desarrollada, no va a influir practicamente en la descendencia, sólo la hará desarrollar la suya mas rápido (pues su ambiente es más avanzado que el de su ascendencia).","Probablemente sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"frecuentemente","De hecho, que nos sintamos felices o desdichados en un momento determinado <strong>frecuentemente</strong> tiene que ver sobre todo con la forma de percibir nues­tra situación, con lo satisfechos que nos sintamos con lo que tene­mos actualmente.","Mis padres me visitan frecuentemente.","Otro",FALSE,FALSE
"supongo","Sí reconozco que me da sentimiento cuando hay enfrentamientos, pero <strong>supongo</strong> que es inevitable y yo los he tenido.","Supongo que hay que esperar. (juicio)","Yo no supongo nada para la comunidad. (aportación)",FALSE,FALSE
"basicamente","en cuanto a las facetas fundamentales de la existencia objeto de su interés, atienden <strong>basicamente</strong> a la dimensión de la finitud en el mundo humano: la temporalidad, la muerte, la culpa, la fragilidad de la existencia, la responsabilidad, el compromiso, la autenticidad, la subjetividad, la libertad,...","La película es básicamente una parodia.","Otro",FALSE,FALSE
"poco","Cree lo que quieras, realmente me importa <strong>poco</strong> y nada lo que pienses fuera del foro.","Sería poco prudente hablarle de esa manera. (juicio)","Hay poco gente en el público. (cantidad concreta)",FALSE,FALSE
"aparentemente","Los animales poseen sentimientos e inteligencia (no a nuestro nivel <strong>aparentemente</strong>).","Aparentemente habrá un concierto esta tarde. (parece que)","Otro",FALSE,FALSE
"puede","Esta que expones es una tonica muy comun en la generalidad, pero el humanismo es innato y terminas por sufrir por y para ayudar a los demas, porque X grupo/persona te la <strong>puede</strong> pelar, y de la misma manera tambien Y, pero siempre encuentras a alguien que lo merece (de eso se trata), y si no lo haces, el que no merece vivir eres tu mismo.","Esta ruta puede ser peligrosa. (posibilidad)","José puede entrar gratuitamente con su credencial de estudiante. (capacidad)",FALSE,FALSE
"casi","Hasta ahora hemos presentado las cosas como si las diferentes fuerzas luchasen y se sucediesen en relación aun objeto <strong>casi</strong> inerte.","Casi no hay librerías en el pueblo. (se desconoce la situación)","Casi llego tarde a la junta. (se conoce la situación)",FALSE,FALSE
"principalmente","Las características que definen este nacionalismo de carácter romántico se fundamentan <strong>principalmente</strong> en una exaltación de los valores patrios,apelando al origen mitológico de los pueblos e intentando mediante el sentimiento, crear un alma nacional.","El orégano se usa principalmente como condimento.","Otro",FALSE,FALSE
"deberia","Extremistas: -Ni una mierda, el menor que asesina, <strong>deberia</strong> inexorablemente, dejar de ser menor en el momento en que comete el delito.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas.",FALSE,FALSE
"particularmente","Las propuestas de ""municipalismo libertario"", de Murray Bookchin, o de ""política participativa"", de Stephen Shalom, son <strong>particularmente</strong> interesantes.","Esto no es particularmente divertido.","Otro",FALSE,FALSE
"espero","xddd <strong>espero</strong> que no te refieras al pobre pablo.","Espero que todo salga bien. (posibilidad)","Espero tu respuesta antes del Lunes. (orden)",FALSE,FALSE
"particularmente","Era una tarde de julio <strong>particularmente</strong> calurosa y húmeda y llegué a su casa empapado en sudor, después de un corto desplazamiento desde el pueblo.","Esto no es particularmente divertido.","Otro",FALSE,FALSE
"frecuentemente","muy <strong>frecuentemente</strong>, incluía en sí mismo el estudio de la psicología.","Mis padres me visitan frecuentemente.","Otro",FALSE,FALSE
"podrias","Quiza para ser mas preciso <strong>podrias</strong> decir ""Queremos vivir"".","Podrías considerar otra solución. (posibilidad)","Tú podrías imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"aproximadamente","Ahora solo estoy informado hasta la época <strong>aproximadamente</strong> de ortega y gasett, dado que un libro me dio todos los conocimientos de filósofos y teorías, pero el libro fue hecho en 1952 y obviamente no habla sobre mas autores que los de hasta esa época.","La pared mide aproximadamente 15 metros.","Otro",FALSE,FALSE
"algo","Lo que significa que el ser no sólo se muestra en el siendo, sino en algo que muestra su inevitable retroceso; y lo más y menos que ser, en <strong>algo</strong> que muestra su inagotable posibilidad.","Su salud es algo delicada. (se desconoce el grado)","Vi que algo se estaba moviendo. (se conoce la situación, no necesariamente los detalles)",FALSE,FALSE
"algun","Aqui te presento mis respetos, mis disculpas por averte faltado el respeto si es que en <strong>algun</strong> momento lo hice!","Algún lápiz habrá caído por la abertura.","Otro",FALSE,FALSE
"deberias","Un problema que <strong>deberias</strong> revisar es que no convences.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia.",FALSE,FALSE
"frecuentemente","A veces cuando leo debates entre personas y cuando yo mismo participo en debates sobre ""El proposito"" de la vida o de la existencia humana me encuentro con argumentos que pretenden ser validos porque algo suele ser observado <strong>frecuentemente</strong> por ser algo que ""La Mayoria"" comparte.","Mis padres me visitan frecuentemente.","Otro",FALSE,FALSE
"la mayoria","Y creo que <strong>la mayoria</strong> de la filosofía es metafísica.","La mayoría de ustedes me conoce.","Otro",FALSE,FALSE
"relativamente","Para que la filosofía siga su avance tiene que tomar en cuenta un factor muy importante que creo se ha dejado de lado porque tiene relación con una disciplina <strong>relativamente</strong> nueva que es el estudio de la psiquis y el inconsciente.","Esto debería de ser relativamente sencillo.","Otro",FALSE,FALSE
"necesariamente","Y <strong>necesariamente</strong> llego a decir ""no hay problemas filosoficos"" o mejor dicho ""no hay problemas metafisicos"" ¿No es una forma de obviar?","No necesariamente lloverá esta tarde. (no se sabe con certidumbre)","La política está necesariamente conectada a la economía. (inevitablemente)",FALSE,FALSE
"seguramente","Si me preguntas que qué tiempo hace hoy y te digo el tiempo que hace en todas las poblaciones del mundo sin ninguna clase de indicación acerca de cuál es en la que vives, la respuesta será completamente cierta y no se contradice (que ya es más de lo que se puede decir de la filosofía) pero <strong>seguramente</strong> no te valga para absolutamente nada.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente.",FALSE,FALSE
"bastante","Y eso que yo me considero una persona mentalmente <strong>bastante</strong> abierta, cuando tu sistema empiece a chocarse con los comunistas y los fachas cerrados ya verás si les gusta o no.","Hay bastante trabajo por hacer.","Otro",FALSE,FALSE
"siento","Si escribo algo, es porque siento que no se está tomando en cuenta, créeme que de otro modo no lo haría, me abstengo de opinar en muchos temas precisamente porque ya se ha opinado lo que yo opino o porque <strong>siento</strong> que no tengo qué cosa aportar que no sea una obviedad.","Siento que podríamos trabajar más a fondo. (juicio)","Siento un dolor fuerte en el estómago. (sensación física)",FALSE,FALSE
"relativamente","Pero son sistemas <strong>relativamente</strong> jóvenes que aún se pueden optimizar mucho más y mejorar.","Esto debería de ser relativamente sencillo.","Otro",FALSE,FALSE
"suena","Eso me <strong>suena</strong> a un error determinista.","Tu idea me suena bien. (juicio)","Las bocinas suenan demasiado fuerte. (sonido)",FALSE,FALSE
"encuentro","Intento descubrir de donde procede, al final <strong>encuentro</strong> una caja de color negro, pequeña, de forma rectangular, en la parte superior hay una rejilla y unos botones; ¿Qué será eso?... después de meditar unos minutos me doy cuenta de que se trata de una radio, una cosa que hacia años que no veía, me conformaré con ella.","Lo encuentro un poco cuestionable. (juicio)","Me encuentro en casa de María. (ubicación)",FALSE,FALSE
"algunos","El esfuerzo teórico de Max Weber, el más importante sociólogo político del siglo XX, dará en cierta forma continuidad a esa reflexión iniciada tempranamente y romperá, al mismo tiempo, con <strong>algunos</strong> de esos presupuestos clásicos.","Algunos dicen que murió ahogado.","Otro",FALSE,FALSE
"probablemente ","Es decir, una vez establecido el criterio para saber quienes son los mejores de forma democratica se establece una norma a la cual todos deben someterse, o de otro modo tendran que irse a otro lado, y si osan desafiar esta decision pues <strong>probablemente </strong>terminarian en prision o algo por el estilo.","Probablemente sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"se ve","Prueba de ello es cuando se está en completa oscuridad, ¿que <strong>se ve</strong>? nada, ""negro"".","Se ve como una propuesta interesante. (juicio)","Su casa se ve desde la colina. (ver con los ojos)",FALSE,FALSE
"ocasionalmente","Yo he bebido y sigo haciendolo, desde siempre muy <strong>ocasionalmente</strong>, a excepción de que acudí a un par de botellones, aunque más como un observador, y la situación me pareció muy lamentable.","Ocasionalmente visito a mis tíos en España.","Otro",FALSE,FALSE
"poco","Pues dado que en un sistema capitalista 'matas o mueres', no puedes darte el tiempo para tu salud, ni respiras aire puro pues todos necesitan de vehículos por apurados que están (y así comienza la larga campaña por contaminar lo <strong>poco</strong> que nos queda d mundo).","Sería poco prudente hablarle de esa manera. (juicio)","Hay poco gente en el público. (cantidad concreta)",FALSE,FALSE
"seguro","2,- Usted esta sujeto al tiempo,usted nació, esta viviendo y lo más <strong>seguro</strong> es que mañana morirá.","El evento seguro será un éxito.","No es seguro caminar por estas calles.",FALSE,FALSE
"creo","Y bueno, la parte religiosa se equivoca en interpretar la Biblia de una manera tan literal, ellos piensan que donde dice "" Y Dios <strong>creo</strong> al hombre y a la mujer a su semejanza"" piensan que de repente un hombre y una mujer aparecieron de la nada.","Yo creo que hay que esperar. (juicio)","Yo creo en la resurrección de Jesucristo. (creencia)",FALSE,FALSE
"virtualmente","Por ende tratar de crear un robot humano sería tratar de comprimir el comportamiento humano a 128 carácteres, lo cual es <strong>virtualmente</strong> imposible.","Es virtualmente imposible cruzar el río.","Yo me comunico virtualmente a través de mi computadora.",FALSE,FALSE
"podria","Hola berto, a mi tampoco me gusta comprar cosas ni siquiera ni gastar dinero, ni si quiera me gusta el dinero aunque tambien es cierto que si tubiese mucho mas del que tengo que es muuuuuuuuuuuyyyy poco jeje seguramente seria mas feliz porque <strong>podria</strong> utilizarlo para hacer muchas cosas que me gustan y que ahora no puedo.","Esta ruta podría ser peligrosa. (posibilidad)","Yo podría imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"esencialmente","Eso, aunque socialmente aceptado, me parece que fueraparte de las consecuencias o no que pueda tener(No todo el mundo se vuelve alcohólico por utilizar su vida social <strong>esencialmente</strong> en ir de bares) es un tanto triste, ya que pienso que esa gente no tiene quizá una vida interior desarrollada como para poder entretenerse de otras maneras menos dañinas.","La película es esencialmente una parodia.","Otro",FALSE,FALSE
"propongo","Sé que estas preguntas no las hacemos desde el principio de los tiempos, pero yo <strong>propongo</strong> seguirlas descartando la religión que lo único que hace, es entorpecernos en nuestro camino del pensamiento.","Propongo que esperemos unos momentos. (juicio)","Propongo una reforma energética a nivel nacional. / Le propongo matrimonio a mi novia esta tarde. (afirmando una acción)",FALSE,FALSE
"gran parte","Cómo nota, yo estudio, pero llevo más de un año sin encontrar un trabajo, el último que tuve fue trabajando 12 horas más horas extras no pagadas, sin contrato, y cobrando 400... pero este año, en la aceituna que es donde realmente se ganaba dinero para <strong>gran parte</strong> del año... Ni eso, en vez de pagar 50 jornal a un trabajador español (el año pasado ya me pagaron a mi 40  y no 50), prefieren llevarse a inmigrantes y pagarles la mitad.","Una gran parte de ustedes me conoce.","Otro",FALSE,FALSE
