segment	proposition	belief_type
No veo sentido por lo tanto a continuar en un foro de expatriados (postura no compartida por algunos spaniards que postean desde panderetalandia, aún y cuando sus posts son dignos de un programa de antena 3... Y no te des por aludida, borde girl...).	algunos	HPROP
alevao la peli es Gainsbourg; yo particularmente nunca he sido una gran fan de este pavo......	particularmente	HPROP
Soy Victoria, hace un mes que estoy en Toulouse y de repente hoy pensando en que voy a hacer esta Nochevieja, pues hoy a estar aquí en Toulouse y no conozco a casi nadie, se me ha ocurrido buscar españoles en Toulouse.	de repente	HPROP
De paso, desintoxicar un poco los temas, en la medida de lo posible.	un poco	HPROP
De hecho, el Bomba es una cosa relativamente nueva... En Valencia siempre hemos usado "el de Mercadona" y bien buena que nos sale!!	relativamente	HPROP
El hecho de que tenga padres espanoles cambia la situacion y no se si permite, en mi caso, tener dos.	no sé	HREL
En cuanto al racismo, no se, creo que en todas partes cuecen habas.... en Barcelona por ejemplo no creáis que se ve con muy buenos ojos el número de marroquis, argelinos, sudamericanos... también se cree que son demasiados y que primero deberían ser los españoles y luego los de fuera.	no sé	HREL
Valjean no estoy de acuerdo con que la verja no se debió de haber vuelto a abrir.	no se	NH
En momentos así, y quizás en todo momento, un país deberia ser gobernado o dirigido como una empresa privada, algo que no es incompatible con el Estado de Bienestar, como alguno me dirá.	deberia	NH
Primera porque llamar invierno cuando rara vez en la ciudad la temperatura baja de los 7 grados casi es insultante para otros sitios de España y el mundo que sí tienen un invierno "DE VERDAD".	rara vez	HPROP
asumo que USA tiene que ser muy grande (lo es) y diversa, asi que solo espero que a pie de calle la gente sea un poco diferente de como me la pintan por la tele, o de lo que me han contado amigos que han estado alli (que ya se que no es valido como criterio, pero es todo de lo que dispongo a dia de hoy).	asumo	HREL
Si a tu hijo le encuantran una malformación física que se puede subsanar con un tratamiento y/o cirugia nadie pondrá el grito en el cielo al ver que lo llevas al médico para que se le trate y se le corrija (No esperarás a que el niño tenga 18 años y tenga madurez suficiente para decidir si quiere corregir eso o no)	puede	NH
En resumen, te diria ahora mismo que lo hagas si os fueseis a Espanha, pero como os vais a Londres... no se, como que me entran mas dudas...	diría	HREL
de Chicago se ha hablado multiples veces, sobre todo de las preguntas que tu estas haciendo ahora.	multíples	HPROP
@Nenuca..no sabes cuanto lo siento.	siento	HREL
Luego tu en #6 dices que has hablado con el que te alquila el coche, con lo cual en #7 yo asumo que te refieres a los requisitos para alquilar coches.... Que lio :P	asumo	HREL
Que habrá algunos que lo hagan bien, no lo discuto, que sean una mayoría, bajo mi experiencia, no.	algunos	HPROP
En general la zona "North-West" de Inglaterra no tiene buena fama, pero no es que se este tan mal, se vive, eso si, el clima debe ser del peor de UK.	debe	HREL
Si tuviera estos millones y millones (ya lo he dicho alguna vez) me compraría una casa en Edimburgo (base), un chalecito o algo en España (islas o costa, cerca del mar), y el resto lo dedicaría a viajar (podría estar en el Caribe uno o dos meses máximo).	algo	NH
confio en no volver para quedarme, hare todo lo que pueda por que asi sea y el hecho de no tener "nada" aqui me lo tomo mas como un reto que como una angustia (casi todos los dias :D )	confío	HREL
Ahora, una cosa también es cierta: quí los perros están super bien educados, raramente se te acercan cuando vas de paseo ni te molestan.	raramente	HPROP
Estas fotos dicen mucho del equipo que las hizo y por supuesto de esos padres orgullosos y felices de ver a sus hijas vestidas como lo que no son, pero que siguiendo este camino sin duda serán.	sin duda	HREL
Yo acabe harta de talk talk,cuando llame para darme de baja no me escuchaba el que me contesto al telefono,no paraba de preguntarme que que me ofrecian y me daba algo mejor,al final le colgue.	algo	HPROP
Y ya se que cada uno elige su camino y que a cuada cual la vida lo lleva por un camino distinto, pero aun asi, a veces no puedo evitar los remordimientos.	a veces	HPROP
Y generalmente uno encuentra en ellos las mejores delicias gastronómicas de este país, como las tortillas hechas a mano (nada que ver con las tortillas de maíz que se comen en el DF).	generalmente	HPROP
Desde el punto de vista político, me parece lamentable y que lo que probablemente haya que hacer entonces, es reformar la Constitución.	probablemente	HREL
Mi idea es Alberta O Vancouver y seguir estudiando inglés para mejorarlo (Lo tengo algo bajito) y currar basicamente en lo que sea al menos al principio.	básicamente	HPROP
Vamos, que tu reserva está, pero seguramente el nº de referencia que tiene Iberia es distinto al de American Airlines.	seguramente	HREL
Así podrias dejar los Estates que tantos dolores de cabeza te dan, no? Os podriais tu y tu chico a Espana, no?	podrías	HREL
Alguien hizo las cosas mal y por eso decía que hay culpables en la esfera política, sin duda.	sin duda	HREL
El otro día se me ocurrió decir que "volaban los puñales", (por la gente falsa que había, obviamente), y después de que todos se partiesen, de repente me explican que aquí "puñales" son los gays... así que claro, ya los veían a todos saliendo por la ventana.	de repente	HPROP
Yo vuelvo porque tengo alli toda mi familia, muchos amigos, no tenemos problemas de hipotecas ni economicos, y supongo que eso ayuda a la hora de decidir el volver a España.	supongo	HREL
Puede que no sea un error del sistema si no de.......la relación de los distintos ordenadores con el sistema???? Bah!, no soy informático así que mejor no especulo mucho :)	especulo	HREL
Exactamente, hay que aprovechar las becas, como te digo aun les faltan unos años porque todavía andan en primaria, pero si tengo ya medio ojo puesto en esos asuntos, porque supongo que en un lustro las becas serán diferentes o habrá actualizaciones, o quien sabe, capaz que me saco la loería o la casa del tec (aunque lo dudo porque nunca compro)	quién sabe	HREL
Pérez-Reverte valoró ante el reducido auditorio su trayectoria literaria, que describió como “una borrachera de talento que se desparrama página a página como en una eterna eyaculación”.	reducido	HPROP
Mis favoritos son restaurantes locales y basicamente italianos.	básicamente	HPROP
Y DIGO LA ADQUIRIDA PORQUE POrque por ius sanguinis (derecho de sangre) si que se podrian tener las dos nacionalidades : es decir papa ingles y mama española o viceversa,entonces sí,por "ius sanguinis" podria tener las dos nacionalidades.	podría	HREL
Por cierto, a alguien más le han intentado clavar por tener una BB y que aparentemente los planes de datos no sirven para las BB y tienes que pagar bastante más adicional??? Flipo un poco...Si yo lo único que quiero es tener emaaaaaail!!!	aparentemente	HPROP
asumo un nuevo mea culpa en mi visiónsesgada porque admito que mi sueldo sí que ha subido.	asumo	HREL
por cierto,  tiene razon, pueden funcionar juntos, algun rollo de configuracion, si me vas poniendo los errores que te da y lo que haces PASO POR PASO te puedo ayudar	algún	HPROP
Por esas casualidades del destino, los que vienen de países ricos (occidentales, se entiende), digamos Inglaterra,Holanda, EEUU, Bélgica, Austria, Dinamarca... suelen tener una lengua, e idiosincrasia similar a la alemana, incluso el clima de estos países de origen suele ser "malo", esto unido a que los inmigrantes de estos países vienen con una formación y a menudo vienen a trabajar a filiales de empresas de sus respectivos países, pues probablemente se adapten mejor a D-land que los españoles.	probablemente	HREL
* Unas 3 semanas en llegar la carta, luego la fecha que te daran sera para el siguiente mes mas o menos.	más o menos	HPROP
sugiero "workaround" para evitarlo y acierto; una semana mas en observacion; la infeccion se cansa de mi y me deja en paz.	sugiero	HREL
Me suena de haber leído por aquí que los jugadores no se sienten parte de un proyecto y que nadie sabe a qué juega el Madrid.	suena	HREL
Muy bonito, pero el que ha escrito el articulo...supongo que se refiere a Braunschweig, pero lo ha escrito tal y como suena.	supongo	HREL
Gracias y espero que nadie tenga problemas con ningún vuelo :)	espero	HREL
Me suena un poco a publicidad gratuita, de todas formas	suena	HREL
deberias advertir que el post es un Artículo.	deberías	HREL
Cuando ya llevas un par de semanas aqui empiezas a echar de menos a tu familia y lo bien que estabas en Espana, pero realmente es una experiencia positiva.	un par	HPROP
asumo que eres mujer...  ora et labora, hermana.	asumo	HREL
Sí, KD, yo también te entiendo.	entiendo	HREL
Si hablas del matrimonio entre parejas del mismo sexo, por ejemplo, si se le quita ese derecho es porque no esta legalizados en la mayoria de estados.	la mayoría	HPROP
Mírate en Google "fraudes científicos"... precedentes hay bastantes como para no creer en alguien ciegamente.	bastantes	HPROP
Mis hijos han nacido aquí y hablan principalmente Alemán, un poco de Español y un poco de Búlgaro.	principalmente	HPROP
Bueno pitguigo a mi se me hace increible tambien, ahora si que estoy yo tambien confundido ¡! porque resulta que a mi me quedaba claro, que en inmigración de cualquier aeropuerto USA si saben cuando te vas, por el registro de pasajeros imagino... Pero en el caso que cuentas, me parece bastante sorprendente que no tengan control en cuanto a si te vas o no.	imagino	HREL
En realidad cualquier tienda puede prohibir o no los perros (las de comida no tienen mas remedio), depende del dueno.	puede	NH
Personalmente he estado con varios visados temporales de distintos tipos hasta que he aplicado este año para la residencia.	varios	HPROP
En mi academia querían que les enseñara aproximadamente 1500$ por mes que estuviera allí.	aproximadamente	HPROP
joooo, Dussy, es que sebas es el único que coquetea conmigo, aunque sólo sea platónicamente, y a una le gusta que le regalen el oído aunque sea virtualmente, :D	virtualmente	NH
Pero bueno, parece que algunos necesitan pegarse a muerte virtualmente para desahogarse o algo.	virtualmente	HPROP
aparentemente, las tuberias se habian congelado asi que no podiamos utilizar los grifos, no podiamos ducharnos ni nada, con lo cual celebrar una fiesta quedaba fuera de toda posibilidad y estuvimos con todo empantanado durante una semana.	aparentemente	HPROP
¿tal vez pq son 'muy diferentes' a los demás?	tal vez	HREL
Se tiene que apoyar necesariamente en lo colectivo, no le queda otra opción, quiera o no quiera.	necesariamente	NH
No se si eso llegaré a superarlo algun día, espero que sí, porque si no se me complicarían mucho las cosas.	algún	HPROP
Cuando se puede ver algo o en este caso ver alguien que es honesto o parcialmente directa o indirectamente con sus sentimientos es posible tomar las decisiones adecuadas, pero y si es lo opuesto?	parcialmente	HPROP
Hola Marcos, aquí estuvo un colega mío de Canarias viviendo un tiempo y creo que está muy bien, a ver si lo localizo y te informo porque está viviendo en Praga y hace tiempo que no hablo con el....	creo	HREL
Para seguir a los A-levels (que es el GCE, el General Certificate of Education) los colleges o sixth-forms (en Reino Unido un "college" hace referencia o bien a un colegio mayor de Oxbridge o bien a un instituto, no a la universidad como en Estados Unidos) te piden 5 GCSE entre A* y C. Se suelen hacer entre 8 y 11, por decir algo, aunque también hay gente que hace 7 y gente que hace 15.	por decir algo	HPROP
Pero sin saber el ingles, aunque sea basico/intermedio es practicamente imposible encontrar trabajo aqui, a menos que sea de limpiador o de taxista...y aveces ni eso!	prácticamente	HPROP
La nobleza, como los príncipes/as herederos tienen obligaciones reproductivas, así que el amor es secundario y frecuentemente el amor se convierte en esos casos, en prisiones para toda la vida.	frecuentemente	HPROP
SI bien es cierto que algunos se fueron de ilegales en los 60 y 70 también hay que destacar los millones que no se fueron de esa manera, yo particularmente en Venezuela puedo decir que los miles de Españoles que conocí, ninguno que haya estado o ingresado de forma irregular.	particularmente	HPROP
Pues si te sugiero un lugar (no he estado en demasiados pero quizas sea uno de los lugares mas bellos y no es un destino turistico tan explotado) la costa amalfitana en Italia, cerca de Napoles y en frente de Capri, es un sitio mediterraneo pero bestial!	sugiero	HREL
No entiendo el comentario de @malagueño... que tienes contra  ? a mi me parece muy coherente lo que ha dicho....	entiendo	NH
Además ese "¿cómo estás?" suele ir seguido de una charla mas o menos prolongada, dependiendo del tiempo que estéis sin veros y del grado de afecto o conocimiento que se tengan los que se hayan saludado.	más o menos	HPROP
La cantidad de dinero a demostrar es a la escuela y a la embajada, aunque usualmente la embajada no te lo miran, ya que se fian de la escuela y del I 20 que te dan, aunque de todas formas tienes que llevarlo a la entrevista en la embajada.	usualmente	HPROP
A eso le hemos añadido el matiz social de la comida, que se traduce en comer con aquellos con quienes también compartes casa, repartiéndose los turnos de cocinar, fregar, etc. Es por pura sociabilidad y organización, porque a la mayoria nos gusta compartir ese rato con la familia, pareja, amigos, compañeros, etc...al menos una vez al día si se puede.	la mayoría	HPROP
Menuda demagogia acida arrastran algunos, cuando lo normal seria alegrarse sin condiciones.	algunos	HPROP
A mí siempre me han dicho que la mayoria de los dictadores son Sagitario... por eso no suelo sacar nunca el tema :-D	la mayoría	HPROP
nena yo me siento mas o menos como tu,	siento	HREL
Pues con todo lo que llevo leido de la vida en Japón en este foro, probablemente no sea de los mejores sitios para un extranjero, en general.	probablemente	HREL
@okf, pero que dicesssss?? Si os he visto hasta yo, que habeís colgado fotos vuestras!!! Bueno el nuevo no, y citizen se me escapa, pero todos los demas creo que ya habeís puesto foto.	creo	HREL
estás en Múnich o Berlín que con tu último post no me queda claro... si estás en Múnich los barrios más conflictivos o que tienen "fama de" suelen ser Neuperlach y Berg am Laim, yo cuando estuve por allí viví en zonas bastante céntricas porque aunque te salga un poco más caro puedes ahorrarte bastante en medios de transporte que son bastante caros.	bastante	HPROP
Por otro lado esto me suena a Fast and Furious.	suena	HREL
Yo diria que 'joyas' que deben preservarse por el bien de la humanidad e incluirlas como tributo póstumo en las antologías del disparate.	diría	HREL
....lo veia alli y lo veo aqui (queria decir)....va en cuestion de educacion no necesariamente es el pais.	necesariamente	HREL
Siento el sufrimiento español como si fuera el mio, que lo considero asi.	considero	HREL
Y los cristianos tienen prohibido envidiar, tener relaciones prematrimoniales, ser avaros, comer de mas, enfadarse, desear al otro sexo...En fin, la mayoria de musulmanes son mucho mas consecuentes con su religion que los catolicos, que son pura hipocresia.	la mayoría	HPROP
, el home report da pistas, lo suele poner en el tipo de construction, generalmente, si no pone traditional... sospecha	generalmente	HPROP
Bueno, sigue así y le diré a Eneko que revise si esos privados de los que hablas son ciertos..y haga algo para que dejes de dar por saco.	algo	HPROP
En cuanto Londres, es una ciudad que me gusta pero yo también prefiero un rollo Sabadell ( cerca de Barcelona pero con centros comerciales etc…) u otra ciudad mas Inglesa, barata y manejable, por lo dicho quiero aprender Ingles por parte de Ingleses, peeeeero el GRAN problema es que mi nivel de Ingles es intermediate hablo mas que entiendo, pero aun así es bajo, y mas como para trabajar cara al público, y como bien habéis dicho el trabajo va en función de tu Ingles así que creo que Londres en verano con los juegos olímpicos tendré mas posibilidades de trabajar en algo que no sea cara al publico que en una ciudad “pequeña”, que si me aseguran un trabajo donde sea voy!!	entiendo	NH
*Hay partes de las historias que siguen sin aclarar y han suscitado multiples interpretaciones	multíples	HPROP
Y a todas las personas que no han tenido la experiencia de enfrentarse a la otra cara de la integración, les sugiero que no pasen de largo, y que contribuyan con su ayuda y apoyo a modificar la postura de los políticos hacia una verdadera y pacífica convivencia de toda la sociedad, pues ello está en sus manos, y es, además, su deber.	sugiero	HREL
: Si yo veo gente desconocida sentada en la acera de mi calle seguro que tambien llamo a la policía.	seguro	HREL
Yo creo que hay tantas cosas que se pueden cocinar de manera sencilla y relativamente rápido, que no entiendo comer con poca variedad, o pan con.... Es que lo del pan XY lo llevo de mal...	relativamente	HPROP
Yo, al currar con gente joven aprendí a la vez el frances educado y el que se habla en la calle, aunque a veces confundia cosas y la liaba un poco xD	un poco	HPROP
No, estoy en contra de eso, una persona debe morirse cuando le llegue su hora, y de muerte natural, no debe suicidarse a no ser que se le vaya la cabeza y se suicide sin ser consciente de lo que ha hecho.	debe	NH
pues no se si te suena Choi Hong-man (el Goliath).	suena	HREL
siento no recordar detalles.	siento	HREL
Que decir de mi, que me encantan los niños, soy monitor de ocio y tiempo libre desde hace 3 años y trabajo en actividades extraescolares en un colegio, aparte soy canguro ocasionalmente.	ocasionalmente	HPROP
Yo, particularmente, no les envio el lidiar todos los días con sacos de hormonas en plena efervescencia, niños que no están para nada acostumbrados ni a la disciplina ni a recibir un no por respuesta ni saben gestionar las frustraciones ni bichitos que, a la mínima, se meten una cera por la nariz.	particularmente	HPROP
Tenemos dos sueldos, ya, pero hemos estado viviendo del suyo bastantes años y no me puedo quejar, desde el 2006 nos ha llegado para una casa de 5 habitaciones en un suburb bueno (con una hipoteca es de unos 1500 al mes), 2 coches normales, hemos comido todos los días, hemos podido ir al médico aunque gracias a dios no lo hemos necesitado mucho, hemos salido lo que nos ha apetecido, mis hijos van a la guardería, hemos podido viajar un poco por aquí y en Navidades a España, y la verdad nunca me he preocupado por no poder llegar a fin de mes.	bastantes	HPROP
Y también las clases que des en un futuro, no? Me supongo que tendrás que certificar que conoces el catalán con algún título o algo, pero lo que es el examen y la exposición... debería ser en Inglés, como en toda España!	supongo	HREL
Encima si buscas piso y no habitación todavía más complicados, ya que generalmente los alquileres (por lo menos en Bristol) son mínimo de seis meses.	generalmente	HPROP
