segment	proposition	belief_type
Mediocre es un país donde sus habitantes pasan una media de 134 minutos al día frente a un televisor que muestra [principalmente] basura.	principalmente	HPROP
Bueno de la ESO ya se [deberia] de salir con un poquito de soltura...	deberia	HREL
isra es que tienes mentalidad de danés de el cuerpo humano es lo que hay,y al fin y al cabo,estamos [virtualmente] en España.	virtualmente	HPROP
Yo intentaré cambiar de curro para currar en una estación de esquí o muy cerca, a parte de whistler......que otras estaciones me recomendáis para currar, [imagino] que por banff, algún otro lado?	imagino	HREL
"Pregunta dentro de unos años y veremos a ver que te puedo decir, pero realmente cuando he vuelto de EEUU a España note un cambio, y eso que vivia en Madrid, ahora de nuevo aqui, lo vuelvo a notar, no se si a mejor o a peor, pero EEUU es un pais ""[aparentemente]"" fuerte y no dependiente o tan dependiente..."	aparentemente	HPROP
[espero] que sigas con esa ilusión intacta mucho tiempo.	espero	HREL
Las de coca cola hasta un litro y [medio] caben, las de dos ya no, las de Pepsi tienen un simbolito que indica que esas tienes que entregarla en la caja.	medio	HPROP
"¿Por qué crees saber lo que yo me [considero] o no? La que ha empezado a decir ""a mí me ha pasado tal cosa o tal otra"" precisamente no he sido yo."	considero	NH
matar al toro es un arte hazlo tu, no [podrias] por que no as estudiado este arte, estudia pintura y pintaras, estudia la carrera que quieras y lo comprenderás, sabrás hacerlo bien y bien con el toro delante es con el capote, espada, movimientos y estrategias que conllevan	podrias	NH
Vamos, que los profesores se lo curran para que aprendamos (aunque también hay alguna excepción, pero [generalmente] es así), pero eso a un profesor de más de 40 años en España no se lo puedes pedir, por Dios.	generalmente	HPROP
"Aquí el autor del maldito hilo :-D Si pudiera editar el titulo del hilo, lo haría, para obviar la palabra ""xenófoba"", que por cierto, no [necesariamente] implica odio, sino también rechazo, aversión, etcétera, que son las reacciones que estas chorradas del día a día me producen mientras me acostumbro."	necesariamente	HREL
[por decir algo].	por decir algo	HPROP
te dire que mis objetivos son esos y en ese orden [basicamente],primero la habitacion en frankfurt, despues buscar la academia para estar al menos el primer mes machando mi alemán y casi a la vez qeu esto segundo buscar un trabajo para mantenernos.	basicamente	HPROP
¿[algun] bar donde reunirse?	algun	HPROP
Pero eso no quita que eche de menos a mi familia y amigos, que cada vez que voy se me hacen cortos los dìas, que siempre que vuelvo me digo: la pròxima vez me quedo unas semanas... [supongo] que es normal.	supongo	HREL
Ya sé que no me estarán esperando en el aeropuerto,etc, esas cosas las llevo claras y [asumo] que me quiero ir a un país donde no tenemos en principio Visado de Trabajo.	asumo	HREL
La cuestión que antes planteaba se resolvería en gran medida con la habilitación de consultas populares referente a cuestiones que no deberían formar parte [necesariamente] de un programa de gobierno.	necesariamente	NH
"Tengo [algunos] planes en la cabeza, que quizas a alguien le interesen: Ir al circuito de Silverstone a conducir un monoplaza, probar el paracaidismo indoor que hay en Milton Keynes, ir a ver un ""proper English football match"" (al Arsenal, por ejemplo) :)"	algunos	HPROP
A la mañana siguiente el tio este empezo a contar a algun ciber amigo mediante skype (me [imagino], pues ni tenia movil) ''AYER MIENTRAS ME DUCHABA ME HICE CAQUITIS (literalmente) LA COJI CON LA MANO Y LA DESPEDECE Y SE CAYO POR EL DESAGUE, ERA TAN GRACIOSO VER COMO LOS GUISANTES DEL ARROZ TRES DELICIAS AUN SEGUIAN INTACTOS AHI DENTRO...''	imagino	HREL
"Detrás de ese patrón de comportamiento está [principalmente] el rol que la sociedad patriarcal espera de un conductor ""macho"": ser impulsivo, dominante (al menos en apariencia), líder, agresivo, arriesgado, etc. Conducir un coche grande, potente, deportivo e ir al límite..."	principalmente	HPROP
"Lo digo ""medio"" en broma, oye, [quien sabe]..."	quien sabe	HREL
Pues yo confieso que [confio] plenamente en mi padre, que es quien tiene un poder general.	confio	NH
Como mi idea es quedarme más tiempo en Miami, y si es posible encontrar algún trabajo, agradecería si alguien [podria] orientarme en este aspecto, que tipo de visado tendría que solicitar para la próxima vez que venga, o que trámites podría ir haciendo ya desde aquí, etc..	podria	NH
La asociación civil, con la cual me he puesto en contacto es: CENTRO ECOLÓGICO LOS CUARTOS o también llamada FUNDACIÓN MIGUEL ANGEL BARBERENA VEGA,  por lo que he averiguado gracias a la Asociación [confio] de México, o el CEMEFI se trata de una ONG muy transparente ya que aparece como nivel óptimo, en el directorio del Centro Mexicano de Filantropía.	confio	HREL
Quien critica el circuito de Valencia es que no tiene ni puta idea de lo que habla...[probablemente ]con Singapur y Spa es de lo mejor que tiene la F1 y como circuito es precioso... Puestos a hablar de cacas hablemos de Montmeló que es un COÑAZO y de una afición inexistente que si en lugar de estar a 2 horas de Francia hubiera estado a seis hubieramos visto como el segundo GP de Francia (que como es fue como nació) se disputaria en andorra.... Asi que menos paridas y prepotencias	probablemente	HREL
"@Fargo y no [podrias] haber metido esto en el foro de ""TV, cine, radio y prensa""?"	podrias	HREL
Claro se valora el costo de vida en general, [principalmente] el precio del alquiler.	principalmente	HPROP
Es un intervalo en el que estás vendido y que se da muy [frecuentemente]).	frecuentemente	HPROP
De todas formas ya verás que Cph es una ciudad bastante amable, [confio] en que no tendrás ningún problema ;).	confio	HREL
Roma es efectivamente muy cara, [seguramente] un mini-apartamento bien conectado con medios de transporte y en una zona màs o menos buena no lo pagaràs menos de 600 euros, y 600 es ya un precio que te costarà encontrar.	seguramente	HREL
Si vives en Alemania te tendrás que empadronar en un sitio, eso significa que eres residente, y eso significa que seguramente el seguro español de tu coche se desentienda de ti si tienes algún percance, a no ser que tengas permiso expreso para circular por Alemania de dicho [seguro].	seguro	NH
Cuando vivía en Madrid mi relación con mis amigos que viven en Andalucía era [practicamente] como ahora.	practicamente	HPROP
Es muy molesto y [a veces] si la persona es muy sensible pero muy necesario por que puedes perder no solo piezas sino tambien puede llegar a retraerse la encia.	a veces	HPROP
he escuchado algo de eso de los hoteles pero he estado buscando informacion y no [encuentro] nada	encuentro	HREL
animooo, que poco a [poco] van saliendo las cosas	poco	NH
Es una elucubración, pero vamos podría ser, y lo dicho, sin saber todas las razones, lo [siento], pero creo que no va a llegar a mucho.	siento	HREL
Para terminar, [propongo] un dia, que podria ser.. Mañana estaria bien, pero es muy precipitado, y el lunes tengo entendido que es Bank Holiday (corregidme si me equivoco, porque significa que tengo que ir a la academia!!)... ¿El miercoles os viene bien?	propongo	NH
Con una tabla completa una media-maratón hasta [alguien] como yo ;) (ex fumadora y ex-couchpotatoe)	alguien	NH
"Eso fue un comentario fuera de lugar que hizo la ""Posh"".A mi [particularmente] no me molestó porque me gusta el olor a ajo."	particularmente	HPROP
Y bueno...pues que [rara vez] salimos, por no decir nunca.	rara vez	HPROP
, estar pensando desde el primer día en que la pareja se va a romper es como mentar la soga en casa del herrero que decía [alguno].	alguno	NH
[puede] que en parte se pueda tratar de diferencias culturales, pero es obvio que tu suegra esta celosa de ti y no te puede ver, ya que todo el mundo, sea de la nacionalidad que sea, entiende que al tener otra cultura (mediterránea frente a nórdica) vas a tener diferentes costumbres y tradiciones, y ambas partes tienen que hacer un esfuerzo por adaptarse para poder convivir.	puede	HREL
[alguien] podría recomendarme alguna residencia que valga la pena?	alguien	HPROP
Aunque nunca se encontrarán todas las generaciónes, porque que un animal quede fosilizado no es algo que suceda muy [frecuentemente], así que siempre quedarán huecos.	frecuentemente	HPROP
si, los A6 salen toda la noche desde Victoria Station (london) a Stansted... pero el problema es de Romford a Stansted no [encuentro] nada directo....habria que mirar quizas de Romford a Victoria Station en National Express y luego de alli otro bus a Stansted... igual sale mejor y mas barato que el tren Romford-Liverpool St Station (london)-Stansted Airport....	encuentro	HREL
Ello afecta [esencialmente] al sector de dirección o incluso a cuadros medios.	esencialmente	HPROP
Si, además, como dice Nikita, quienes te rodean no te proporcionan apoyo y cuestionan tus gustos y costumbres, la cosa tiene que ir [necesariamente] a peor.	necesariamente	NH
y hasta 550 con todo incluido bills.. asi que, [no se].. que decir.. lo importante es estar bien,, y no en un cuchitril.. solo llegar.. vamos...	no se	HREL
Y, normalmente, las casas no alcanzan el asking price ([rara vez] lo sobrepasan...)	rara vez	HPROP
[supongo] que uno la mayoría de nosotros no lo hubieramos entendido, pero con 6 te has garantizado el éxito.	supongo	HREL
El rebote actual a 1,1 EUR = 1 GBP lo considero momentáneo y se explica [basicamente] debido al dato inesperado y realmente bajo de la inflación en la zona Euro, que eventualmente forzaria una bajada más pronunciada de los tipos en Europa.	basicamente	HPROP
[poco] después, cuando la cebolla, la chalota y el ajo empiecen a dorarse, vierte el agua y el vino blanco (uno rico!).	poco	HPROP
"No obstante, por la cara que me puso, yo [diria] que mínimo tendría que haber tenido trabajo ""full time"" y más de 100,000 euros, no es el caso, pero si lo fuera, no creo que yo y tantos más solicitaran en la lotería de visados en busca de un mejor porvenir de futuro, teniendo ""full time"" y esa cantidad de dinero, es de sentido común."	diria	HREL
pues porque hasta hace bien [poco] la foro que tenia salia su marido con ella...aparte de que ha dicho varias veces que es suizo, etc	poco	NH
Si hubiera un campeonato mundial de frases estúpidas, [sin duda] sería ella nuestra atleta más importante.	sin duda	HREL
Entonces estamos [parcialmente] de acuerdo.	parcialmente	HPROP
Yo sólo digo que si al menos supiera que estoy excluída [podria] ir haciendo algo: reunir los papeles que me faltasen, etc. Pero estoy inscrita y nada más y así no hay manera de que una sepa los motivos de exclusión ni nada.	podria	HREL
[probablemente ]en otro país tuviera que haberse labrado un futuro por si mismo.	probablemente	HREL
Es cierto que [algunos] no saben leer muy bien...	algunos	HPROP
", en ese mismo texto explica el contexto del ""trajine"": explica que las japonesas ""[rara vez] tienen relación sexual fuera del matrimonio con japoneses"" pero que con extranjeros sí."	rara vez	HPROP
Esto significa que la apuesta es DOBLE (en realidad, [algo]) o NADA (en realidad, menos de nada).	algo	HPROP
Acaso, la cultura y costumbres del centro de Europa en los siglos XVI y XVII eran [practicamente] iguales a los del sur de Europa?	practicamente	HPROP
Ya lo siento Viajero, pero quizas podrias ir a [alguna] actividad, no se, cursos de algo, gimnasio, conferncias, no se.	alguna	HPROP
Prefiero pensar eso y comprar uno [un poco] mas caro.	un poco	HPROP
Lo justo es que se necesitasen unos años de residencia antes de poder obtener las ayudas y [deberia] de ser lo mismo en toda Europa.	deberia	NH
vivo en reims...llevo justo un año,[tal vez] sea un poco tarde,pero bueno,si os apetece un dia,podriams quedar,yo vivo con mi novia ella,es de aki.bueno un saludo...	tal vez	HREL
[deberia] volverme a España?	deberia	NH
A lo que me vino a la cabeza la situación vivida hacía [un par] de minutos con el papel del Anmeldung por lo que se me escapó una ligera sonrisa.	un par	HPROP
&lt;---- por si alguien sabe de [alguna] cosa y se kiere poner en contacto conmigo.	alguna	HPROP
¿Crees que en un futuro muy lejano podremos representarnos [virtualmente]?	virtualmente	NH
[considero] por tanto que la primera forma de ateísmo descrita si podría considerarse como una creencia.	considero	HREL
Ábrela cuando nazca tu hijo (o cuando estés lo suficientemente recuperada - sorry, no [entiendo] de tema postparto- para pegarle un buen lingotazo con tu marido).	entiendo	NH
Aquí también [hay quien] recurre a ese más que tópico en estos día de hoy, sobre todo cuando los que más lo utilizan son todos con apellidos españoles, que siguen saqueando a sus conciudadanos, igual que hicieron sus tatarabuelos.	hay quien	HPROP
[alguna] vez has vivido con solo 6 horas de electricidad al día? alguna vez te has bañado con con cubos de agua?	alguna	HPROP
En serio que lamento que estes en esta situacion, pero cuando se compra una casa voluntariamente, no hay que presuponer que el mercado va a seguir subiendo indefinidamente y asi [especulo] aun mas.	especulo	HREL
Por lo que yo [sugiero] los acompanantes:	sugiero	HREL
ahora [entiendo] lo de los escaparates! it makes sense!	entiendo	NH
Pero además... ¡qué tremendo derroche de esfuerzo, energía y tiempo para tanta gente, [frecuentemente] jóvenes, que tan sólo terminará bien para unos pocos!.	frecuentemente	NH
Quizas haya un fuerte sentimiento nacionalista por ejemplo en Mallorca ([por decir algo]), pero no creo que su idea sea dejar la orbita de España para pasar a la de Cataluña o X.	por decir algo	HPROP
Cuando empezamos a escribir en un foro, no nos damos cuenta pero acabamos estableciendo relaciones más personales con gente a la que leemos a diario, y con la que nos cruzamos a diario...probablemente a algunos llegaremos a conocerlos algún día, pero a [la mayoria] no....pero es sorprendente ver que si tienes un problema, hay gente que te va a ayudar más que tus propios amigos.	la mayoria	HPROP
Antiguamente la mayoría de los turistas traían su divisa y la cambiaban en los hoteles, bancos... es decir, daban beneficios a trabajadores que ahora ya [gran parte] se han quedado sin trabajo, a parte de que se gastaban mucho más sin darse cuenta, por el tipo de cambio, te lo dice uno que trabajo con pesetas y euros, menudo cambio!!!	gran parte	HPROP
Es suya, [seguro].	seguro	HREL
Vivo cerca de Dinamarca y, si bien es cierto que los trámites son menores, sale [bastante] más caro... además del desplazamiento, etc	bastante	HPROP
Ya. Eso [se ve], que esta caida.	se ve	NH
Yo creo que [se ve] perfectamente cuando vas despistado... La policía creo que suele ser más o menos comprensiva en estos casos, sobre todo si te ven que eres extranjero.	se ve	HREL
Jaja, nico, [generalmente] los problemas se reducen a pagar más.	generalmente	HPROP
Si encima de utilizar un cambio [reducido], te cobran comisión, pues al final acabas por los suelos de pérdidas.	reducido	HPROP
Qué bonito, estoy por comprar un pino en el carrefour y plantarlo en [medio] del parking.	medio	NH
A decir verdad, siento envidia por algunos individu@s que están metidos en todos los hilos comentando sobre todos los temas, no sé si es su forma de llamar la atención, querer demostrar al mundo lo que saben, una frustración,no se,como lo hacéis,de dnd obtenéis tanto tiempo libre.Yo no puedo seguiros el ritmo, yo trabajo,mantengo una familia,intento dedicarme al ocio cuando me sobra tiempo.[algun] día me contareis el secreto...	algun	HPROP
Hay trabajos que es cierto que es [relativamente] facil encontrar un puesto, pero yo soy educadora social, y de lo que más trabajo en españa es de camarera, y puedo decir que tengo suerte, porque conozco gente que no encuentra ni de eso, por ejemplo mi hermano, que por cierto, ahora ha comenzado a trabajar, y gana menos que cogiendo el paro, podria coger el 50% de paro y ha preferido pararlo, para cuando termine su contrato verse con dinero aunque sea un mes o dos más.	relativamente	HPROP
"Digo con datos porque igual que yo lo sabía [sin duda] lo sabían los medios pero no pueden publicar nada si no hay ""algo"" para respaldarlo."	sin duda	HREL
Soy estudiante de Ingeniería Informática ([virtualmente] licenciado, ya que solo me quedan por terminar las prácticas en empresa que las acabo en Marzo y desde entonces seré Ingeniero Informático Superior).	virtualmente	HPROP
Por cierto acabo de escanera la web de spaniards donde se puede ver que si me has mandado el mensaje que niegas y de paso [se ve] como ya	se ve	HREL
Yo tengo la Sparkasse guiada por el movimiento masa de que [aparentemente] se ven más sucursales que de otras.	aparentemente	HPROP
[supongo] que esto ya lo has visto, no?	supongo	HREL
[imagino] que allí no llegarán las chirigotas ( una lástima), pero quería saber si son más nocturnos, de fiesta en plan disfrazarse, beber y chin chin pum para la gente joven... O son más diurnos con actividades para padres y críos (desgraciadamente ese último es mi plan este año, ¿o quizás afortunadamente?, no lo se)	imagino	HREL
Con respecto al País Vasco, creo que te falta historia para entender por qué allí hay MIEDO.Sólo por ponerte un ejemplo, si naces en un pueblo donde el 80% [por decir algo] son terroristas y familiares de terroristas, qué vas a decir?.	por decir algo	HPROP
No veo sentido por lo tanto a continuar en un foro de expatriados (postura no compartida por [algunos] spaniards que postean desde panderetalandia, aún y cuando sus posts son dignos de un programa de antena 3... Y no te des por aludida, borde girl...).	algunos	HPROP
[alguno] tiene ya contratado el seguro medico?	alguno	NH
; Tienes razon, es alucinante que se gaste y mucho en enseñar una lengua localizada en un territorio muy [reducido] en detrimento del castellano,siendo las dos lenguas oficiales.	reducido	HPROP
alevao la peli es Gainsbourg; yo [particularmente] nunca he sido una gran fan de este pavo......	particularmente	HPROP
Soy Victoria, hace un mes que estoy en Toulouse y [de repente] hoy pensando en que voy a hacer esta Nochevieja, pues hoy a estar aquí en Toulouse y no conozco a casi nadie, se me ha ocurrido buscar españoles en Toulouse.	de repente	HPROP
De paso, desintoxicar [un poco] los temas, en la medida de lo posible.	un poco	HPROP
"De hecho, el Bomba es una cosa [relativamente] nueva... En Valencia siempre hemos usado ""el de Mercadona"" y bien buena que nos sale!!"	relativamente	HPROP
El hecho de que tenga padres espanoles cambia la situacion y [no se] si permite, en mi caso, tener dos.	no se	HREL
En cuanto al racismo, [no se], creo que en todas partes cuecen habas.... en Barcelona por ejemplo no creáis que se ve con muy buenos ojos el número de marroquis, argelinos, sudamericanos... también se cree que son demasiados y que primero deberían ser los españoles y luego los de fuera.	no se	HREL
Valjean no estoy de acuerdo con que la verja [no se] debió de haber vuelto a abrir.	no se	NH
Además si lo que pretendes es contribuir contando tus experiencias y anécdotas estas en el lugar indicado en caso contrario aquí lo que sobra es gente... Tu impertinencia hace flaco favor al foro y tu egocentrismo es [poco] contribuyente, espero puedas entender mis sanas palabras.	poco	HPROP
[sugiero] que es mayor prueba de que algo no marcha bien en tu sesera si ves a Dios todos los días ;)	sugiero	HREL
Es subir por la tarde a casa los viernes y oirla, algo asi como Oishy,Oishy que [debe] ser rico,rico o lo que sea, y luego ahhh, ahhhh, ahhhh, y como que se rie, es un poco raro, pero es que no estoy familiarizada con los rituales de apareamiento japoneses, aunque su novio es alemán.	debe	HREL
En momentos así, y quizás en todo momento, un país [deberia] ser gobernado o dirigido como una empresa privada, algo que no es incompatible con el Estado de Bienestar, como alguno me dirá.	deberia	NH
"Para mí (casi) todos los temazos de Coldplay están en el segundo disco (""A Rush of blood to the head"" o [algo] así)."	algo	HPROP
"Primera porque llamar invierno cuando [rara vez] en la ciudad la temperatura baja de los 7 grados casi es insultante para otros sitios de España y el mundo que sí tienen un invierno ""DE VERDAD""."	rara vez	HPROP
A mi, [particularmente], me parece demasiado para el armador pero bueno, no tengo nada en lo que apoyarme.	particularmente	HPROP
También quisiera saber cuanto vamos a tener que pagar de seguridad social, me gustaría que me orientara [mas o menos] sobre cuanto dinero deberíamos de llevar el primer mes que vayamos para poder sobrellevar bien el mes sin ningún apuro económico y por ultimo dar las gracias a la gente que se moleste es ayudarme a aclarar todas mis dudas!	mas o menos	HPROP
no me he leído todos los comentarios pero me gustaría añadir, que por mucho ingles que aprenda la gente Española en la ESO etc, el acento duele oírlo... en [la mayoria] de los casos.	la mayoria	HPROP
[asumo] que USA tiene que ser muy grande (lo es) y diversa, asi que solo espero que a pie de calle la gente sea un poco diferente de como me la pintan por la tele, o de lo que me han contado amigos que han estado alli (que ya se que no es valido como criterio, pero es todo de lo que dispongo a dia de hoy).	asumo	HREL
Aqui no [especulo], conozco un caso.	especulo	NH
Si a tu hijo le encuantran una malformación física que se [puede] subsanar con un tratamiento y/o cirugia nadie pondrá el grito en el cielo al ver que lo llevas al médico para que se le trate y se le corrija (No esperarás a que el niño tenga 18 años y tenga madurez suficiente para decidir si quiere corregir eso o no)	puede	NH
El famoso [encuentro] en Hendaya, al aparecer, no fue como nos contaron.	encuentro	NH
En resumen, te [diria] ahora mismo que lo hagas si os fueseis a Espanha, pero como os vais a Londres... no se, como que me entran mas dudas...	diria	HREL
de Chicago se ha hablado [multiples] veces, sobre todo de las preguntas que tu estas haciendo ahora.	multiples	HPROP
@Nenuca..no sabes cuanto lo [siento].	siento	HREL
Luego tu en #6 dices que has hablado con el que te alquila el coche, con lo cual en #7 yo [asumo] que te refieres a los requisitos para alquilar coches.... Que lio :P	asumo	HREL
Que habrá [algunos] que lo hagan bien, no lo discuto, que sean una mayoría, bajo mi experiencia, no.	algunos	HPROP
"En general la zona ""North-West"" de Inglaterra no tiene buena fama, pero no es que se este tan mal, se vive, eso si, el clima [debe] ser del peor de UK."	debe	HREL
Si tuviera estos millones y millones (ya lo he dicho alguna vez) me compraría una casa en Edimburgo (base), un chalecito o [algo] en España (islas o costa, cerca del mar), y el resto lo dedicaría a viajar (podría estar en el Caribe uno o dos meses máximo).	algo	NH
"[confio] en no volver para quedarme, hare todo lo que pueda por que asi sea y el hecho de no tener ""nada"" aqui me lo tomo mas como un reto que como una angustia (casi todos los dias :D )"	confio	HREL
Ya se que seria mejor sin agencia y tal, pero voy solo y así me siento más [seguro].	seguro	NH
Ahora, una cosa también es cierta: quí los perros están super bien educados, [raramente] se te acercan cuando vas de paseo ni te molestan.	raramente	HPROP
Estas fotos dicen mucho del equipo que las hizo y por supuesto de esos padres orgullosos y felices de ver a sus hijas vestidas como lo que no son, pero que siguiendo este camino [sin duda] serán.	sin duda	HREL
Yo acabe harta de talk talk,cuando llame para darme de baja no me escuchaba el que me contesto al telefono,no paraba de preguntarme que que me ofrecian y me daba [algo] mejor,al final le colgue.	algo	HPROP
Y ya se que cada uno elige su camino y que a cuada cual la vida lo lleva por un camino distinto, pero aun asi, [a veces] no puedo evitar los remordimientos.	a veces	HPROP
Y [generalmente] uno encuentra en ellos las mejores delicias gastronómicas de este país, como las tortillas hechas a mano (nada que ver con las tortillas de maíz que se comen en el DF).	generalmente	HPROP
Desde el punto de vista político, me parece lamentable y que lo que [probablemente ]haya que hacer entonces, es reformar la Constitución.	probablemente	HREL
Yo [particularmente] si llegas a B1, optaria por buscar algo en EEUU, eso si alli te comprometes a estar 12 meses minimo para que te den visado sino tienes que buscar otra opcion y te pagan vuelos, 500dl en concepto de curso de idiomas mas 195dl a la semana y en caso de tener algun titulo de infantil, ya sea magisterio infantil o algo relacionado con niños puedes optar a 250dl a la semana.	particularmente	HPROP
Mi idea es Alberta O Vancouver y seguir estudiando inglés para mejorarlo (Lo tengo algo bajito) y currar [basicamente] en lo que sea al menos al principio.	basicamente	HPROP
Vamos, que tu reserva está, pero [seguramente] el nº de referencia que tiene Iberia es distinto al de American Airlines.	seguramente	HREL
Es a lo que hemos [reducido] nuestras pertenencias, la verdad que libera.	reducido	NH
Así [podrias] dejar los Estates que tantos dolores de cabeza te dan, no? Os podriais tu y tu chico a Espana, no?	podrias	HREL
Alguien hizo las cosas mal y por eso decía que hay culpables en la esfera política, [sin duda].	sin duda	HREL
"El otro día se me ocurrió decir que ""volaban los puñales"", (por la gente falsa que había, obviamente), y después de que todos se partiesen, [de repente] me explican que aquí ""puñales"" son los gays... así que claro, ya los veían a todos saliendo por la ventana."	de repente	HPROP
Ultimamente hay inmolaciones [casi] a diario...La jihad hace bien su trabajo..	casi	HPROP
Yo vuelvo porque tengo alli toda mi familia, muchos amigos, no tenemos problemas de hipotecas ni economicos, y [supongo] que eso ayuda a la hora de decidir el volver a España.	supongo	HREL
Puede que no sea un error del sistema si no de.......la relación de los distintos ordenadores con el sistema???? Bah!, no soy informático así que mejor no [especulo] mucho :)	especulo	HREL
