_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,hedge,hedge:confidence,orig_hedge,hedge_gold,sentence,usage1,usage2
589156229,true,golden,6,"",no,0.6809,tecnicamente,no,Bueno yo veo al futbol en la forma artistica...como la musica.....pueden haber jugadores <strong>tecnicamente</strong> bien dotados pero si no hay sentimiento para mi no sirve....como aficionado claro esta; como DT la perspectiva cambia.,Técnicamente no es una respuesta correcta.,Los resultados del estudio son técnicamente precisos.
589156230,true,golden,7,"",yes,1.0,suena,yes,"<strong>suena</strong> un tanto absurdo, algo asi como ke en tu jardin tienes frutas y como tu familia tiene problemas y son desunidos, pues voy te saco la gran p.. y me kedo con tu jardin para administrarlo debidamente y dejandoles a ti y a tu famila la oportunidad de reflexionar.",Tu idea me suena bien.,Las bocinas suenan demasiado fuerte.
589156231,true,golden,10,"",yes,1.0,parece,yes,Pero me <strong>parece</strong> que no lo consigue (da de lado el asunto en los siguientes mensajes).,Me parece que hay que esperar.,Te pareces a tu padre en esta foto.
589156232,true,golden,5,"",no,0.5703,algun,yes,"como usted dice es un ahorro forzado,pero cada uno debería ahorrar pero porque yo tengo que sacar de la mia ?? O en <strong>algun</strong> momento se le descuenta al trabajador?",Algún lápiz habrá caído por la abertura.,Otro
589156233,true,golden,7,"",yes,1.0,aproximadamente,yes,"el Sr. Franco superintendente de la escuela, dijo que los colegios han absorbido <strong>aproximadamente</strong> 50 estudiantes de México desde el año pasado, un incremento del 10% en matrícula.. Muchos de los nuevos estudiantes no hablan inglés y están tratándose el trauma del asesinato de sus familiares",La pared mide aproximadamente 15 metros.,Otro
589156234,true,golden,2,"",no,0.5429,hay quien,no,"-Ahora que la mujer trabaja, no <strong>hay quien</strong> se encargue de los ninos.",Hay quien dice que murió ahogado.,Otro
589156236,true,golden,6,"",yes,1.0,virtualmente,yes,"En este nuevo programa todos lo proveedores son locales al lugar donde dan los alimentos y es <strong>virtualmente</strong> imposible controlar eso, conociendo como es el peruano típico de corrupto no faltan los funcionarios que compran cosas malogradas o vencidas para tirarse la plata, o los proveedores que por ahorrar costos producen cualquier cosa en condiciones antihigiénicas.",Es virtualmente imposible cruzar el valle caminando.,Yo me comunico virtualmente a través de mi computadora.
589156237,true,golden,6,"",yes,1.0,no se,yes,<strong>no se</strong> porque tiene que ser seguidor de alguno de los tres mequetrefes para votar por uno?,No sé si sea la mejor idea.,Esto no se puede hacer en menos de una hora.
589156238,true,golden,4,"",yes,1.0,podria,yes,Q1: alguien me dijo que <strong>podria</strong> tener un problema en la placa,Esta ruta podría ser peligrosa.,Yo podría imaginar un mundo sin violencia.
589156239,false,finalized,3,11/11/2014 19:45:55,yes,0.6652,bastante,,Veo que te preocupa <strong>bastante</strong> lo de la lluvia.,Hay bastante trabajo por hacer.,Otro
589156240,false,finalized,3,11/12/2014 02:32:34,yes,1.0,quiza,,"Yo de momento ya he enviado 3...Al final por ser pesados, <strong>quiza</strong> tengan ganas de abrirlo pronto y olvidarse""",Quizá sea mejor que hablemos con tu familia.,Otro
589156241,false,finalized,3,11/11/2014 19:42:09,yes,1.0,por decir algo,,"No estaria describiendo uno en Idaho, <strong>por decir algo</strong>....","Podrías salir a comer, por decir algo.",Castigaron a Manuel por decir algo ofensivo.
589156242,false,finalized,3,11/11/2014 19:47:07,yes,0.6904,mas o menos,,"Tengo una prima (tengo unos 40 primos, <strong>mas o menos</strong>) que consiguio un trabajo en Burger King (BK), y lo dejo a la semana porque ""tenia que coger el bus"" y ""olia a hamburguesa"".",Me dijeron más o menos qué tengo que hacer.,Usa más o menos azúcar de acuerdo a tu gusto.
589156243,false,finalized,3,11/12/2014 02:28:24,yes,1.0,suena,,"En este pueblo, a los blancos los cuentas con los dedos de una mano (y me da que sobran dedos)y podría seguir!!! Reynosa no me <strong>suena</strong>, pero me da que estas de mierda al cuello como yo, no?",Tu idea me suena bien.,Las bocinas suenan demasiado fuerte.
589156244,false,finalized,3,11/11/2014 19:49:59,no,0.6696,encuentro,,"Bueno,a ver cuando vaya a Nashville si lo <strong>encuentro</strong> alli..",Lo encuentro un poco cuestionable.,Me encuentro en casa de María.
589156245,false,finalized,3,11/11/2014 19:54:50,yes,0.6864,deberias,,"De hecho, hasta dentro de tres annos yo no podría pedir la residencia en noruega (o menos, no lo se) pero nunca dejaré de ser espagnol... y por tanto nunca debería dejar de tener cobertura sanitaria... Así que si me la quitan, es porque esta ligada a cotización... y yo he pagado 17 annos de cotización a la seguridad social... En todo caso, la han cagado por no hacer una ley mas concisa sobre el tema, pese a que, como ya he dicho antes, tiene una logica aplastante el que si no cotizas en Spania, no <strong>deberias</strong> de tener SS... siendo extranjero.",Deberías considerar otra solución.,Tu deberías imaginar un mundo sin violencia.
589156246,false,finalized,3,11/11/2014 19:29:17,yes,1.0,principalmente,,Mediocre es un país donde sus habitantes pasan una media de 134 minutos al día frente a un televisor que muestra <strong>principalmente</strong> basura.,El orégano se usa principalmente como condimento.,Otro
589156247,false,finalized,3,11/12/2014 02:41:17,no,0.6801,deberia,,Bueno de la ESO ya se <strong>deberia</strong> de salir con un poquito de soltura...,Debería ser difícil para tu familia.,La casa debería construirse en dos semanas.
589156248,false,finalized,3,11/11/2014 19:40:58,yes,1.0,virtualmente,,"isra es que tienes mentalidad de danés de el cuerpo humano es lo que hay,y al fin y al cabo,estamos <strong>virtualmente</strong> en España.",Es virtualmente imposible cruzar el valle caminando.,Yo me comunico virtualmente a través de mi computadora.
589156249,false,finalized,3,11/11/2014 19:47:54,yes,1.0,imagino,,"Yo intentaré cambiar de curro para currar en una estación de esquí o muy cerca, a parte de whistler......que otras estaciones me recomendáis para currar, <strong>imagino</strong> que por banff, algún otro lado?",Imagino que hay que actuar cuanto antes.,Imagino un mundo sin violencia.
589156250,false,finalized,3,11/12/2014 02:13:56,yes,1.0,aparentemente,,"Pregunta dentro de unos años y veremos a ver que te puedo decir, pero realmente cuando he vuelto de EEUU a España note un cambio, y eso que vivia en Madrid, ahora de nuevo aqui, lo vuelvo a notar, no se si a mejor o a peor, pero EEUU es un pais ""<strong>aparentemente</strong>"" fuerte y no dependiente o tan dependiente...",Aparentemente habrá un concierto esta tarde.,Otro
589156251,true,golden,4,"",yes,1.0,espero,yes,<strong>espero</strong> que sigas con esa ilusión intacta mucho tiempo.,Espero que todo salga bien.,Espero una respuesta antes del Lunes.
589156252,false,finalized,3,11/11/2014 19:37:05,no,0.676,medio,,"Las de coca cola hasta un litro y <strong>medio</strong> caben, las de dos ya no, las de Pepsi tienen un simbolito que indica que esas tienes que entregarla en la caja.",Juan está medio loco.,Mi asiento es el de en medio.
589156253,false,finalized,3,11/12/2014 02:32:33,no,1.0,considero,,"¿Por qué crees saber lo que yo me <strong>considero</strong> o no? La que ha empezado a decir ""a mí me ha pasado tal cosa o tal otra"" precisamente no he sido yo.",Yo considero que sería mejor esperar.,Considero a Manuel como mi mejor amigo.
589156254,false,finalized,3,11/11/2014 19:29:17,no,0.6862,podrias,,"matar al toro es un arte hazlo tu, no <strong>podrias</strong> por que no as estudiado este arte, estudia pintura y pintaras, estudia la carrera que quieras y lo comprenderás, sabrás hacerlo bien y bien con el toro delante es con el capote, espada, movimientos y estrategias que conllevan",Podrías considerar otra solución.,Tú podrías imaginar un mundo sin violencia.
589156255,false,finalized,3,11/12/2014 02:32:33,yes,1.0,generalmente,,"Vamos, que los profesores se lo curran para que aprendamos (aunque también hay alguna excepción, pero <strong>generalmente</strong> es así), pero eso a un profesor de más de 40 años en España no se lo puedes pedir, por Dios.",Generalmente no salgo los jueves por la tarde.,Otro
589156256,false,finalized,3,11/11/2014 19:52:27,yes,0.6234,necesariamente,,"Aquí el autor del maldito hilo :-D Si pudiera editar el titulo del hilo, lo haría, para obviar la palabra ""xenófoba"", que por cierto, no <strong>necesariamente</strong> implica odio, sino también rechazo, aversión, etcétera, que son las reacciones que estas chorradas del día a día me producen mientras me acostumbro.",No necesariamente lloverá esta tarde.,La ciencia política está necesariamente conectada a la economía.
589156257,false,finalized,3,11/11/2014 19:54:50,yes,1.0,por decir algo,,<strong>por decir algo</strong>.,"Podrías salir a comer, por decir algo.",Castigaron a Manuel por decir algo ofensivo.
589156258,false,finalized,3,11/11/2014 19:38:27,yes,1.0,basicamente,,"te dire que mis objetivos son esos y en ese orden <strong>basicamente</strong>,primero la habitacion en frankfurt, despues buscar la academia para estar al menos el primer mes machando mi alemán y casi a la vez qeu esto segundo buscar un trabajo para mantenernos.",La película es básicamente una parodia.,Otro
589156259,false,finalized,3,11/11/2014 19:33:19,yes,1.0,algun,,¿<strong>algun</strong> bar donde reunirse?,Algún lápiz habrá caído por la abertura.,Otro
589156260,false,finalized,3,11/12/2014 02:38:18,yes,1.0,supongo,,"Pero eso no quita que eche de menos a mi familia y amigos, que cada vez que voy se me hacen cortos los dìas, que siempre que vuelvo me digo: la pròxima vez me quedo unas semanas... <strong>supongo</strong> que es normal.",Supongo que hay que esperar.,Yo no supongo nada para la comunidad.
589156261,false,finalized,3,11/12/2014 02:41:17,yes,1.0,asumo,,"Ya sé que no me estarán esperando en el aeropuerto,etc, esas cosas las llevo claras y <strong>asumo</strong> que me quiero ir a un país donde no tenemos en principio Visado de Trabajo.",Yo asumo que me darán un aumento.,Yo asumo la posición de director.
589156262,false,finalized,3,11/11/2014 19:45:55,no,1.0,necesariamente,,La cuestión que antes planteaba se resolvería en gran medida con la habilitación de consultas populares referente a cuestiones que no deberían formar parte <strong>necesariamente</strong> de un programa de gobierno.,No necesariamente lloverá esta tarde.,La ciencia política está necesariamente conectada a la economía.
589156263,false,finalized,3,11/12/2014 02:28:24,yes,0.6949,algunos,,"Tengo <strong>algunos</strong> planes en la cabeza, que quizas a alguien le interesen: Ir al circuito de Silverstone a conducir un monoplaza, probar el paracaidismo indoor que hay en Milton Keynes, ir a ver un ""proper English football match"" (al Arsenal, por ejemplo) :)",Algunos dicen que murió ahogado.,Otro
589156264,false,finalized,3,11/11/2014 19:32:23,yes,1.0,imagino,,"A la mañana siguiente el tio este empezo a contar a algun ciber amigo mediante skype (me <strong>imagino</strong>, pues ni tenia movil) ''AYER MIENTRAS ME DUCHABA ME HICE CAQUITIS (literalmente) LA COJI CON LA MANO Y LA DESPEDECE Y SE CAYO POR EL DESAGUE, ERA TAN GRACIOSO VER COMO LOS GUISANTES DEL ARROZ TRES DELICIAS AUN SEGUIAN INTACTOS AHI DENTRO...''",Imagino que hay que actuar cuanto antes.,Imagino un mundo sin violencia.
589156265,true,golden,5,"",yes,0.7936,principalmente,yes,"Detrás de ese patrón de comportamiento está <strong>principalmente</strong> el rol que la sociedad patriarcal espera de un conductor ""macho"": ser impulsivo, dominante (al menos en apariencia), líder, agresivo, arriesgado, etc. Conducir un coche grande, potente, deportivo e ir al límite...",El orégano se usa principalmente como condimento.,Otro
589156266,false,finalized,3,11/11/2014 19:29:17,yes,0.6862,quien sabe,,"Lo digo ""medio"" en broma, oye, <strong>quien sabe</strong>...",Quién sabe si esto funcione.,¿Quién sabe cómo resolver este problema?
589156267,false,finalized,3,11/12/2014 02:28:24,no,0.6186,confio,,"Pues yo confieso que <strong>confio</strong> plenamente en mi padre, que es quien tiene un poder general.",Yo confío en que todo saldrá bien.,Confío el ciudado de mis hijos a José.
589156268,false,finalized,3,11/11/2014 19:47:07,no,0.6904,podria,,"Como mi idea es quedarme más tiempo en Miami, y si es posible encontrar algún trabajo, agradecería si alguien <strong>podria</strong> orientarme en este aspecto, que tipo de visado tendría que solicitar para la próxima vez que venga, o que trámites podría ir haciendo ya desde aquí, etc..",Esta ruta podría ser peligrosa.,Yo podría imaginar un mundo sin violencia.
589156269,false,finalized,3,11/11/2014 19:37:05,no,0.6803,confio,,"La asociación civil, con la cual me he puesto en contacto es: CENTRO ECOLÓGICO LOS CUARTOS o también llamada FUNDACIÓN MIGUEL ANGEL BARBERENA VEGA,  por lo que he averiguado gracias a la Asociación <strong>confio</strong> de México, o el CEMEFI se trata de una ONG muy transparente ya que aparece como nivel óptimo, en el directorio del Centro Mexicano de Filantropía.",Yo confío en que todo saldrá bien.,Confío el ciudado de mis hijos a José.
589156270,false,finalized,3,11/11/2014 19:51:06,yes,1.0,probablemente ,,Quien critica el circuito de Valencia es que no tiene ni puta idea de lo que habla...<strong>probablemente </strong>con Singapur y Spa es de lo mejor que tiene la F1 y como circuito es precioso... Puestos a hablar de cacas hablemos de Montmeló que es un COÑAZO y de una afición inexistente que si en lugar de estar a 2 horas de Francia hubiera estado a seis hubieramos visto como el segundo GP de Francia (que como es fue como nació) se disputaria en andorra.... Asi que menos paridas y prepotencias,Probablemente sea mejor que hablemos con tu familia.,Otro
589156271,false,finalized,3,11/11/2014 19:41:59,yes,1.0,podrias,,"@Fargo y no <strong>podrias</strong> haber metido esto en el foro de ""TV, cine, radio y prensa""?",Podrías considerar otra solución.,Tú podrías imaginar un mundo sin violencia.
589156272,false,finalized,3,11/12/2014 02:29:36,yes,1.0,principalmente,,"Claro se valora el costo de vida en general, <strong>principalmente</strong> el precio del alquiler.",El orégano se usa principalmente como condimento.,Otro
589156273,false,finalized,3,11/12/2014 02:31:10,yes,1.0,frecuentemente,,Es un intervalo en el que estás vendido y que se da muy <strong>frecuentemente</strong>).,Mis padres me visitan frecuentemente.,Otro
589156274,false,finalized,3,11/12/2014 02:26:58,yes,0.6512,confio,,"De todas formas ya verás que Cph es una ciudad bastante amable, <strong>confio</strong> en que no tendrás ningún problema ;).",Yo confío en que todo saldrá bien.,Confío el ciudado de mis hijos a José.
589156275,false,finalized,3,11/11/2014 19:51:06,yes,1.0,seguramente,,"Roma es efectivamente muy cara, <strong>seguramente</strong> un mini-apartamento bien conectado con medios de transporte y en una zona màs o menos buena no lo pagaràs menos de 600 euros, y 600 es ya un precio que te costarà encontrar.",El evento seguramente será un éxito.,Las contraseñas nos permiten navegar la red seguramente.
589156276,false,finalized,3,11/11/2014 19:42:09,no,0.6862,seguro,,"Si vives en Alemania te tendrás que empadronar en un sitio, eso significa que eres residente, y eso significa que seguramente el seguro español de tu coche se desentienda de ti si tienes algún percance, a no ser que tengas permiso expreso para circular por Alemania de dicho <strong>seguro</strong>.",El evento seguro será un éxito.,No es seguro caminar por estas calles.
589156277,false,finalized,3,11/11/2014 19:36:15,yes,1.0,practicamente,,Cuando vivía en Madrid mi relación con mis amigos que viven en Andalucía era <strong>practicamente</strong> como ahora.,La película es prácticamente una parodia.,Otro
589156278,false,finalized,3,11/12/2014 02:29:36,yes,1.0,a veces,,Es muy molesto y <strong>a veces</strong> si la persona es muy sensible pero muy necesario por que puedes perder no solo piezas sino tambien puede llegar a retraerse la encia.,A veces puedo ser un poco molesto.,Otro
589156279,false,finalized,3,11/11/2014 19:40:51,yes,0.6186,encuentro,,he escuchado algo de eso de los hoteles pero he estado buscando informacion y no <strong>encuentro</strong> nada,Lo encuentro un poco cuestionable.,Me encuentro en casa de María.
589156280,false,finalized,3,11/11/2014 19:47:54,no,0.6864,poco,,"animooo, que poco a <strong>poco</strong> van saliendo las cosas",Sería poco prudente hablarle de esa manera.,Hay poco entusiasmo en el público.
589156281,false,finalized,3,11/12/2014 02:32:34,yes,1.0,siento,,"Es una elucubración, pero vamos podría ser, y lo dicho, sin saber todas las razones, lo <strong>siento</strong>, pero creo que no va a llegar a mucho.",Siento que podríamos trabajar más a fondo.,Siento un dolor fuerte en el estómago.
589156282,false,finalized,3,11/12/2014 02:13:56,no,0.6606,propongo,,"Para terminar, <strong>propongo</strong> un dia, que podria ser.. Mañana estaria bien, pero es muy precipitado, y el lunes tengo entendido que es Bank Holiday (corregidme si me equivoco, porque significa que tengo que ir a la academia!!)... ¿El miercoles os viene bien?",Propongo que esperemos unos momentos.,Propongo una reforma energética a nivel nacional.
589156283,false,finalized,3,11/12/2014 02:36:33,no,1.0,alguien,,Con una tabla completa una media-maratón hasta <strong>alguien</strong> como yo ;) (ex fumadora y ex-couchpotatoe),Alguien tendrá que limpiar este desastre.,Yo soy alguien en quien confiar.
589156284,false,finalized,3,11/12/2014 02:41:17,yes,0.6268,particularmente,,"Eso fue un comentario fuera de lugar que hizo la ""Posh"".A mi <strong>particularmente</strong> no me molestó porque me gusta el olor a ajo.",Esto no es particularmente divertido.,Otro
589156285,false,finalized,3,11/12/2014 02:29:13,yes,1.0,rara vez,,"Y bueno...pues que <strong>rara vez</strong> salimos, por no decir nunca.",Rara vez ceno en ese restaurante.,Otro
589156286,false,finalized,3,11/11/2014 19:52:27,no,0.6904,alguno,,", estar pensando desde el primer día en que la pareja se va a romper es como mentar la soga en casa del herrero que decía <strong>alguno</strong>.",Pedro no dejó rastro alguno.,Otro
589156287,false,finalized,3,11/11/2014 19:52:27,yes,1.0,puede,,"<strong>puede</strong> que en parte se pueda tratar de diferencias culturales, pero es obvio que tu suegra esta celosa de ti y no te puede ver, ya que todo el mundo, sea de la nacionalidad que sea, entiende que al tener otra cultura (mediterránea frente a nórdica) vas a tener diferentes costumbres y tradiciones, y ambas partes tienen que hacer un esfuerzo por adaptarse para poder convivir.",Esta ruta puede ser peligrosa.,José puede entrar gratuitamente por ser un estudiante.
589156288,false,finalized,3,11/11/2014 19:49:59,yes,1.0,alguien,,<strong>alguien</strong> podría recomendarme alguna residencia que valga la pena?,Alguien tendrá que limpiar este desastre.,Yo soy alguien en quien confiar.
589156289,false,finalized,3,11/11/2014 19:56:44,yes,1.0,frecuentemente,,"Aunque nunca se encontrarán todas las generaciónes, porque que un animal quede fosilizado no es algo que suceda muy <strong>frecuentemente</strong>, así que siempre quedarán huecos.",Mis padres me visitan frecuentemente.,Otro
589156290,false,finalized,3,11/11/2014 19:51:06,yes,0.6652,encuentro,,"si, los A6 salen toda la noche desde Victoria Station (london) a Stansted... pero el problema es de Romford a Stansted no <strong>encuentro</strong> nada directo....habria que mirar quizas de Romford a Victoria Station en National Express y luego de alli otro bus a Stansted... igual sale mejor y mas barato que el tren Romford-Liverpool St Station (london)-Stansted Airport....",Lo encuentro un poco cuestionable.,Me encuentro en casa de María.
589156291,false,finalized,3,11/12/2014 02:29:36,yes,1.0,esencialmente,,Ello afecta <strong>esencialmente</strong> al sector de dirección o incluso a cuadros medios.,La película es esencialmente una parodia.,Otro
589156292,false,finalized,3,11/12/2014 02:41:17,no,1.0,necesariamente,,"Si, además, como dice Nikita, quienes te rodean no te proporcionan apoyo y cuestionan tus gustos y costumbres, la cosa tiene que ir <strong>necesariamente</strong> a peor.",No necesariamente lloverá esta tarde.,La ciencia política está necesariamente conectada a la economía.
589156293,false,finalized,3,11/12/2014 02:29:36,yes,1.0,no se,,"y hasta 550 con todo incluido bills.. asi que, <strong>no se</strong>.. que decir.. lo importante es estar bien,, y no en un cuchitril.. solo llegar.. vamos...",No sé si sea la mejor idea.,Esto no se puede hacer en menos de una hora.
589156294,false,finalized,3,11/11/2014 19:47:07,yes,1.0,rara vez,,"Y, normalmente, las casas no alcanzan el asking price (<strong>rara vez</strong> lo sobrepasan...)",Rara vez ceno en ese restaurante.,Otro
589156295,false,finalized,3,11/11/2014 19:37:05,yes,0.676,supongo,,"<strong>supongo</strong> que uno la mayoría de nosotros no lo hubieramos entendido, pero con 6 te has garantizado el éxito.",Supongo que hay que esperar.,Yo no supongo nada para la comunidad.
589156296,false,finalized,3,11/12/2014 02:37:01,yes,1.0,basicamente,,"El rebote actual a 1,1 EUR = 1 GBP lo considero momentáneo y se explica <strong>basicamente</strong> debido al dato inesperado y realmente bajo de la inflación en la zona Euro, que eventualmente forzaria una bajada más pronunciada de los tipos en Europa.",La película es básicamente una parodia.,Otro
589156297,false,finalized,3,11/12/2014 02:41:17,yes,1.0,poco,,"<strong>poco</strong> después, cuando la cebolla, la chalota y el ajo empiecen a dorarse, vierte el agua y el vino blanco (uno rico!).",Sería poco prudente hablarle de esa manera.,Hay poco entusiasmo en el público.
589156298,false,finalized,3,11/12/2014 02:37:56,yes,1.0,diria,,"No obstante, por la cara que me puso, yo <strong>diria</strong> que mínimo tendría que haber tenido trabajo ""full time"" y más de 100,000 euros, no es el caso, pero si lo fuera, no creo que yo y tantos más solicitaran en la lotería de visados en busca de un mejor porvenir de futuro, teniendo ""full time"" y esa cantidad de dinero, es de sentido común.",Yo diría que hay que esperar.,Mi padre diría que eso está mal.
589156299,false,finalized,3,11/11/2014 19:42:41,no,0.676,poco,,"pues porque hasta hace bien <strong>poco</strong> la foro que tenia salia su marido con ella...aparte de que ha dicho varias veces que es suizo, etc",Sería poco prudente hablarle de esa manera.,Hay poco entusiasmo en el público.
589156300,false,finalized,3,11/11/2014 19:36:15,yes,1.0,sin duda,,"Si hubiera un campeonato mundial de frases estúpidas, <strong>sin duda</strong> sería ella nuestra atleta más importante.",Sin duda el evento será un éxito.,"Al terminar la clase, quedé sin duda alguna sobre el material."
589156301,false,finalized,3,11/11/2014 19:49:59,yes,1.0,parcialmente,,Entonces estamos <strong>parcialmente</strong> de acuerdo.,Lo que dices es parcialmente verdadero.,Otro
589156302,false,finalized,3,11/11/2014 19:45:55,yes,1.0,podria,,"Yo sólo digo que si al menos supiera que estoy excluída <strong>podria</strong> ir haciendo algo: reunir los papeles que me faltasen, etc. Pero estoy inscrita y nada más y así no hay manera de que una sepa los motivos de exclusión ni nada.",Esta ruta podría ser peligrosa.,Yo podría imaginar un mundo sin violencia.
589156303,false,finalized,3,11/12/2014 02:13:56,yes,1.0,probablemente ,,<strong>probablemente </strong>en otro país tuviera que haberse labrado un futuro por si mismo.,Probablemente sea mejor que hablemos con tu familia.,Otro
589156304,false,finalized,3,11/11/2014 19:39:42,yes,1.0,algunos,,Es cierto que <strong>algunos</strong> no saben leer muy bien...,Algunos dicen que murió ahogado.,Otro
589156305,false,finalized,3,11/12/2014 02:29:36,yes,1.0,rara vez,,", en ese mismo texto explica el contexto del ""trajine"": explica que las japonesas ""<strong>rara vez</strong> tienen relación sexual fuera del matrimonio con japoneses"" pero que con extranjeros sí.",Rara vez ceno en ese restaurante.,Otro
589156306,false,finalized,3,11/11/2014 19:56:44,yes,0.7087,algo,,"Esto significa que la apuesta es DOBLE (en realidad, <strong>algo</strong>) o NADA (en realidad, menos de nada).",La situación es algo delicada.,Vi que algo se movía ayer por la noche.
589156307,false,finalized,3,11/11/2014 19:40:51,yes,1.0,practicamente,,"Acaso, la cultura y costumbres del centro de Europa en los siglos XVI y XVII eran <strong>practicamente</strong> iguales a los del sur de Europa?",La película es prácticamente una parodia.,Otro
589156308,false,finalized,3,11/12/2014 02:25:48,yes,0.6742,alguna,,"Ya lo siento Viajero, pero quizas podrias ir a <strong>alguna</strong> actividad, no se, cursos de algo, gimnasio, conferncias, no se.",Alguna pluma habrá caído por la abertura.,Otro
589156309,false,finalized,3,11/11/2014 19:42:41,yes,0.676,un poco,,Prefiero pensar eso y comprar uno <strong>un poco</strong> mas caro.,Es un poco atrevido hablarle de esa manera.,Preparé un poco de pollo para la comida.
