segment	proposition	belief_type
No creo haber dicho nunca nada parecido a que conozca la realidad objetiva, así que has debido de leer mal [bastantes] cosas mías para considerar que algo así es propio de mí.	bastantes	HPROP
El arte, entendido tal y como se entiende actualmente, es todo aquello que no tiene objetivo [alguno], que es creado para nada.	alguno	HPROP
Por ende tratar de crear un robot humano sería tratar de comprimir el comportamiento humano a 128 carácteres, lo cual es [virtualmente] imposible.	virtualmente	HPROP
La experiencia es subjetiva y el tiempo [a veces] va mas lento y a veces mas rapido (cuando hablo de tiempo subjetivo me refiero a experiencia del cambio).	a veces	HPROP
He colocado también a una mujer con [varios] hombre como imposibilidad de formar familia por el hecho, que a los varones, les sería imposible reconocer su paternidad sobre los hijos de su mujer.	varios	HPROP
Para que la filosofía siga su avance tiene que tomar en cuenta un factor muy importante que creo se ha dejado de lado porque tiene relación con una disciplina [relativamente] nueva que es el estudio de la psiquis y el inconsciente.	relativamente	HPROP
"Pues incluso ""angulo"" es una invencion nuestra que nos ha servido para referirnos a [algo] que hemos observado no? Cualquiera podria ponerle el nombre de ""angulo"" a cualquier cosa si quisiera, entonces la idea de lo que es un ""angulo"" se vuelve algo relativo, por lo tanto la ""Verdad"" sobre lo que se llama ""Angulo"" depende nuevamente desde la perspectiva que veamos las cosas."	algo	NH
si me pregunto a mí misma quién soy, tal vez no sepa explicarlo en una definición, pero tengo claro qué quiero, qué [siento], etc, así que en conjunto y si lo intento llegaría a una respuesta bastante acertada.	siento	NH
En el caso del alcohol ya se ha dicho muchas veces que sí, genera una dependencia física, pero otras drogas no lo hacne, la adicción es psicológica y se requiere de un consumo [bastante] habitual de la misma para que se desarrolle.	bastante	HPROP
Yo no pienso eso.En muchos casos la moral de rebaño es el conjunto de reglas éticas y morales que enseña,predica e impone el pastor a un conjunto social(las ovejas) sobre el cual tiene predominio.Pero el pastor puede no seguir o comportarse en su vida de acuerdo a esas normas que enseña y propone,quizá [parcialmente],ya que algunas otras reglas serían sólo para tomar control sobre los demás y por ende no serían necesariamente dictados de su propia conciencia.	parcialmente	NH
Ya [tal vez] luego pueda darse cuenta de la tonteria que se hace al intercambiar libertad por seguridad, y eso seria algo bueno.	tal vez	HREL
No sé si lo di bien a entender, pero el tabaco en mi opinión sería una de las drogas menos recomendable, pues lo considuro [practicamente] inutil por su relación poco beneficio contra gran poder adictivo, el alcohol es un arma de doble filo cuyos beneficios son más notorios, a pesar del riesgo que esta droga conlleva.	practicamente	HPROP
"Te advierto que hay algunos mensajes de un usuario llamado ""nemo"" que tienen [poco] que ver con el tema y que lo desvían, pero puedes seguir leyendo que más adelante se sigue hablando de los sueños."	poco	HPROP
1. En el primer mensaje intente hacer un chiste ironico (al parecer sin exito), pense que añadiendo este emoticon , los que lo leyeran lo iban a entender (pero [parece] que no fue asi en tu caso...)	parece	HREL
Sí reconozco que me da sentimiento cuando hay enfrentamientos, pero [supongo] que es inevitable y yo los he tenido.	supongo	HREL
No es posible demostrar la inexistencia de algo, ya que de la nada no se puede explicar nada (eso un absurdo), es decir, si tu me argumentas que me crea a priori algo que no es demostrable existencialemente estás pidiendo el principio (falacia), y ésto es con lo que juega todo creyente para defender sus ''creencias'', pero esto es retórica pura ya que parte del supuesto de que cabe tal posibilidad, y esto es lo que está por demostrar (si es que es posible (sic)) por parte de ellos, por mi parte digo que (yo me [considero] ateo, no agnóstico como al parecer tu te declaras entrelíneas) la existencia supone la posibilidad de ella y ésta a la vez presupone la necesidad.	considero	NH
¿Y que [alguien] que gana la mitad de dinero que tu, o el doble?	alguien	HPROP
Me referia al hecho de que es [un poco] falta de realismo decir que las drogas en si son neutrales, que depende de quien las use, cuando una mayoria de personas las usa mal.	un poco	HPROP
Si me preguntas que qué tiempo hace hoy y te digo el tiempo que hace en todas las poblaciones del mundo sin ninguna clase de indicación acerca de cuál es en la que vives, la respuesta será completamente cierta y no se contradice (que ya es más de lo que se puede decir de la filosofía) pero [seguramente] no te valga para absolutamente nada.	seguramente	HREL
Esta pregunta se parece mucho a una que ya hice; pero [tecnicamente] no és la misma.	tecnicamente	HPROP
Al margen de conspiranoias como esa, hay [bastantes] respuestas interesantes.	bastantes	HPROP
([por decir algo]) tu espiritu está más elevado que si eres un hombre sucio, descuidado, irascible, e impaciente.	por decir algo	HPROP
¿por que soy asi? pues [supongo] que por varios factores.	supongo	HREL
Creo que a día de hoy son bastantes más años.El juego viene estando anunciado desde el 98-99 [aproximadamente].	aproximadamente	HPROP
Pues yo no soy de ciencias políticas, no sé si habrá [alguna] teoría milagrosa que dé respuesta al enigma, pero yo tengo una relacionada con mi disciplina que podría ser válida.	alguna	HPROP
Dice usted que no será dogmatica y a reglón [seguido],articula ua serie de dogmas indiscutibles.	seguido	NH
Primero la gente que vota al PSOE [de repente] tendría que pensar que lo ha hecho mal y dejarles de gustar, y si les ha seguido gustando hasta ahora la probabilidad de que esto pase es poca.	de repente	HPROP
me siento con mis amigos a charlar sobre la vida y [casi] siempre concordamos en algo que mas tarde los veo contradecir con sus acciones.	casi	NH
Yo [considero] que, puesto que tambien es dificil encontrar la salida en las carreras con mas salidas, en el fondo estas mas bien en la alternativa de estudiar lo que te gusta o lo que no te gusta.	considero	HREL
fe razonada,,me [suena] a creencia con culpa..necesito justificar ante el mundo y ante mi que creo y porque creo ?	suena	HREL
Pasaba por ser, en tercer lugar, [esencialmente] incesante (recorriendo por su propia virtud una órbita recta o en forma espiral).	esencialmente	HPROP
Obviamente, la primera opción es bastante más realista; pero si te divierte más la segunda [deberias] decantarte por ésta.	deberias	HREL
Interesantes los datos que se menciona acerca del estudio del asesinato de animales no humanos a causa de mplacer, sin embargo esta operacion animal racional del matar por matar es muy concreta [basicamente] porque estamos fuera del alcanze de consevir una racionalidad animal no humana, con base en esto reitero que decimos que el hombre y solo el como ser pensate, dualista intweraccionista activo entre su yo y su ello es el unico que de manera formal hace un procesamiento mental de sus desiciones y elecciones, en este caso matar.	basicamente	HPROP
Y en esto, además, no sólo se ha de tener en cuenta lo que se hace, que se refiere a teorías económicas, de agentes, etc., la principal diferencia con el funcionalismo es considerar la felicidad personal del individuo a evaluar, que [raramente] será alta odiando, como en el ejemplo, todo lo que existe.	raramente	HPROP
muy buena presentacion, [espero] que disfrutemos compartiendo puntos de vista :3 nos vemos por la red? xD	espero	HREL
Pero Johny siempre me pareció el mejor, [seguido] de cerca por el ninja ese que nunca recuerdo el nombre.	seguido	NH
Cuando yo no [entiendo] algunas frases de Jvan, simplemente le pregunto.	entiendo	NH
Respecto al ladrillo con el simbolo todo está claro, un albañil iluminatí participaba sin duda en la construcción del edificio, puso ahi el ladrillo y [probablemente ]se vengase de todos nosotros haciendo un pobre trabajo en el alicatado del servicio.	probablemente	HREL
Lo que significa que el ser no sólo se muestra en el siendo, sino en algo que muestra su inevitable retroceso; y lo más y menos que ser, en [algo] que muestra su inagotable posibilidad.	algo	NH
Si existiera tal ser nos pondría a muchos en susitio [creo] yo xD.	creo	NH
Sin embargo, si creés en la realidad subjetiva, [deberias] rechazar la pregunta completamente.	deberias	HREL
Por lo que respecta, aunque esta palabra no es apropiada, a las «tesis», y concretamente a aquella que concierne a una diferencia irreductible a la oposición dialéctica, una diferencia «más profunda» que una contradicción (Différence et Répètition), una diferencia en la afirmación felizmente repetida («sí, sí»), la asunción del simulacro, Deleuze sigue siendo sin duda, a pesar de tantas diferencias, aquel de quien me he considerado siempre más cerca de entre todos los de esta «generación», jamás he sentido la menor «objeción» insinuarse en mí, ya fuese [virtualmente], contra ninguno de sus discursos, incluso si ha sucedido a veces que haya protestado contra tal o cual proposición de L'Anti-dipe (se lo dije un día mientras volvíamos juntos en coche de Nanterre, después de haber asistido a la lectura de una tesis sobre Spinoza) o tal vez contra la idea de que la filosofía consista en «crear» conceptos.	virtualmente	HPROP
No lo creo, [quiza] te estés refiriendo a estar satisfecho con tu vida, eso si se puede controlar mas.	quiza	HREL
"Compartiré algo contigo: yo aun no doy ningún paso, ¿estoy atemorizado?, aquí estoy hoy sin trabajo ni cursando estudios, ¿perdiendo el tiempo?, de vez en cuando me agobia la exigencia de ""hacer algo con mi vida"", ¿no estoy haciendo nada?, veo a todos trabajar o estudiar o ambas cosas, sin embargo soy el más sano, el más alegre, el más inteligente, al que todos hayan la razón, al que algunos porfían sin éxito (te hablo de mi [reducido] círculo de conocidos)."	reducido	HPROP
([por decir algo]).	por decir algo	HPROP
Los animales poseen sentimientos e inteligencia (no a nuestro nivel [aparentemente]).	aparentemente	HPROP
Así pues, al abordar esta situación, algunas personas llegan a la con­clusión de que la naturaleza humana es [basicamente] agresiva.	basicamente	HPROP
El conocimiento nunca es negativo, pero sí puede ser [a veces] el uso que se haga de él.	a veces	HPROP
Y yo no soy fumador (aunque muy [ocasionalmente] haya fumado alguna vez), pero defiendo a los fumadores.	ocasionalmente	HPROP
La máquina [esencialmente] está diseñada para interactuar con la inosfera, una capa de la atmósfera permanenetemente cargada de electricidad por el efecto dinamo del movimiento de rotación terrestre.	esencialmente	HPROP
Por ejemplo en la edad media, una buena manera de mantener el control era utilizando ilusiones mentales como la magia o la religion para infundir el temor hacia [algo] que dicta y controla la vida de los seres humanos (Dios).	algo	NH
Me es fisicamente imposible, en 10 minutos tengo ya los ojos rojos pero si he podido hacerlo desde mi celular y no [siento] cansancio en los ojos.	siento	NH
Y le refiero nuevamente lo que he escrito sobre la aletheia y el lethos no por que quiera repetirme no para que no quede esto último dicho de Dios como fundamento no es tan fundamenta quede en el aire sin explicación [alguna] y además la conclusión que asumo que para mi es importante en este punto que ante la imposibilidad de consenso se deben fijar las posiciones:	alguna	NH
Yo voy más allá,...¿Trazas de vidas anteriores o futuras?...[quien sabe]..	quien sabe	HREL
"Seria algo parecido al concepto de ""humano"", [sin duda] vemos a muchos humanos por todos lados, pero unos niegan la humanidad de otros por mil diferentes razones, reduciendolos a animales, insectos, salvajes, gusanos, etc, etc."	sin duda	HREL
"Y [necesariamente] llego a decir ""no hay problemas filosoficos"" o mejor dicho ""no hay problemas metafisicos"" ¿No es una forma de obviar?"	necesariamente	NH
Bueno antes que nada me presento, me llamo Luciano y desde siempre me ha gustado la filosofía y los debates filosoficos, como mi registración lo indica tengo 16 años y [espero] que esto no sea un obstaculo para el debate y la relación con los demás usuarios, saludos.	espero	HREL
El filosofar [supongo] que es por la negativa de querer desaparecer y que no quede nada de uno, y creo que es bueno filosofar sobre este tema sobre todo si enriquece para poder ser mas llevadero el camino hacia el morir	supongo	HREL
Si vamos a lamentarnos de algo, bien, eso demuestra un deseo de superacion, lo cual es importante, hay [algo] que perturba y molesta.	algo	NH
Cuando el medio cambie, [confio] en que la madre naturaleza nos ayudará a evolucionar.	confio	HREL
Asimismo era el camino de Jarry cuando desarrollaba su curiosa tesis sobre la anarquía: en el hacer-desaparecer, la anarquía tan sólo puede funcionar [tecnicamente], con máquinas, mientras que Jarry prefiere el estadio estético del crimen, y sitúa a De Quincey por encima de Vaillant.[xviii]	tecnicamente	HPROP
"Quiza para ser mas preciso [podrias] decir ""Queremos vivir""."	podrias	HREL
De hecho, que nos sintamos felices o desdichados en un momento determinado [frecuentemente] tiene que ver sobre todo con la forma de percibir nues­tra situación, con lo satisfechos que nos sintamos con lo que tene­mos actualmente.	frecuentemente	HPROP
Bueno, creo que estás hablando de casos extremos donde es evidente que [no se] ha hecho una buena utilización de la droga.	no se	NH
Personalmente creo que estas clases que organizaciones deben tener un timepo de vida [relativamente] corto, por ejemplo llegado su memento la asociacion de enfermeras negras de EEUU decidio autodisolverse, pues considero que a partir de ese momento su existnecia seria contraproducente en la busqueda de igualdad de derechos.	relativamente	HPROP
Pues [supongo] que tendrá que ver con nuestra cultura.	supongo	HREL
un documental de la BBC acerca de la psicologic que se centra [principalmente] en el psicoanalisis.	principalmente	HPROP
Para mi es puro y duro egoismo humano, y con ello creo que superamos el salvajismo animal en este aspecto, ellos matan generalmente por la necesidad de alimentarse y [rara vez] lo hacen por diversion.	rara vez	HPROP
La teoría de cuerdas en mi opinión no es ninguna tontería; aunque no se puede negar que tiene cierto carácter especulativo por el hecho de que estamos hablando de distancias de Planck, lo que hace muy difícil o casi imposible la comprobación experimental, sin embargo, existen ciertos modelos matemáticos que describen satisfactoriamente esta teoría aunque llevan a resultados [aparentemente] contradictorios.	aparentemente	HPROP
Ojos que no ven, corazón que no siente, [supongo].	supongo	HREL
Y [quien sabe] si tal vez solo el enfermo piensa en cosas más saludables y el saludable precisamente en la exuberancia, en lo que corrompe; Pero el saludable no deja de pensar saludablemente y el enfermo - enfermamente.	quien sabe	HREL
El control se ejerce cuando el rebaño se siente [reducido], devalorizado e insignificante ante la capacidad sobrehumana de alguien.	reducido	NH
Análisis posteriores concluyen que una [gran parte] de las culturas comparten un aborrecimiento psicológico hacia la práctica de relaciones sexuales o la tenencia de relaciones de parentesco adicionales entre individuos de la misma familia vinculados por otra relación de parentesco previa.	gran parte	HPROP
En realidad estoy solo siguiéndole el diálogo a Luxfero, pero en realidad no le obedecería a nadie que use solo el artificio de sus sesos para subyugarme, porque creo que no [hay quien] me venza, si no es antes por mi oratoria será después por mi obstinación que triunfaré.	hay quien	HPROP
Al convertirlo en mártir por predicar su filosofía, hizo que esa filosofía [de repente] cobrase mucha más importancia.	de repente	HPROP
Esta conducta hace muy difícil de demostrar la idea [ocasionalmente] defendida por las corrientes más radicales del feminismo afirmando que el hombre considerase en el pasado, y dentro de la supuesta sociedad patriarcal, a la mujer como a un ser de valor inferior al suyo propio, al que explotar u oprimir en condiciones de semiesclavitud, y a sus hijos como una propiedad con la que prácticamente no mantenía vínculación afectiva.	ocasionalmente	HPROP
Estoy [seguro] que a ti te gusta la libertad de expresion para los temas que consideras que son opinables sin cortapisas, pero hay que acostumbrase que para otros esos temas son diferentes a los tuyos, y hay que respetarlo si tu quieres ser resprtado.	seguro	HREL
Si tomamos la jarra como recipiente producido, entonces, parece, la tomamos como una cosa y en modo [alguno] como mero objeto.	alguno	HPROP
La diferencia entre una bestia y un dios, pero las cosas [rara vez] son completamente blancas o negras.	rara vez	HPROP
Simplemente me [siento] contento de pensar libremente y poder compartir ideas con tod@s ustedes y sobretodo me siento contento por que aprendo.	siento	NH
Yo diría que todo el mundo está en la misma media de felicidad [mas o menos].	mas o menos	HPROP
En realidad el ente solo puede Ser (aunque tambien no-ser pero siempre desde un anterior «es» del que se derivaria su contrario: «no-ser»), pues en todo caso no habria ente [alguno], pues incluso de la cosa de lo que vemos decimos igualmente «es entidad», «es algo», se dice entonces que el Ser entanto asi mismo posibilita lo ente (pues todo ente es y sin «es» no habria algo asi como lo que llamamos ente, cosa, etc...), se dice entonces que hay Ser del ente, podemos entonces tambien decir que en tanto el Ser no es algo pero tampoco es nada, y que posibilita al ente como ente, el ente tampoco seria del todo algo y del todo nada, un signo, un fantasma como diria Platon, pues el Ser posibilita al ente a ser como es.	alguno	HPROP
Emm, esta gente(2 ùltimos) no [entiendo] que hacen a las 6 de la maniana posteando O.o	entiendo	NH
