hedge,hedge_gold,hedge_gold_reason,sentence,usage1,usage2
"varios","","","Ya somos <strong>varios</strong>... y si cuesta...","Tenemos varios servicios disponibles.","Otro"
"algun","","","yo vivo solo desde hace 10 años, aunque soy un poco irresponsable, trabajo cuando quiero, como lo que quiero, duermo hasta la hora que quiera, todos mis gastos los asumo yo, ahora estoy un poco mal de salud talvez <strong>algun</strong> dia muera","Algún lápiz habrá caído por la abertura.","Otro"
"podrias","","","Ja ""seguramente"" esos cantantes de los paises del beisbol Panama y Rebublica Dominicana seguramente conocen muy buen la realidad del futbol peruano y sus hinchadas, y nadie les impuso nada sobre algun equipo jajajaj por eso son una voz autoridad para hablar de popularidad y grandeza jjajajajaj, y tu detalle con un afan provocativo lo de la ""grandeza"" pero bueno tu creencia la <strong>podrias</strong> crear tema para no desvirtuar aqui.","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"deberias","","","en esot ambien <strong>deberias</strong> madurar.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"un poco","","","Pero suena como los republicanos pendejos de por aca ahi la va <strong>un poco</strong> de clases de socioeconomia","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"seguido","","","Yo también he <strong>seguido</strong> Dragon Ball y sigo Naruto, y a decir verdad, por más que Naruto me parezca entretenido; Dragon Ball, por suma de diferentes factores; será el anime más popular que se ha dado; simplemente porque sigue en vigencia a pesar de sus capítulos repetidos y demás, de vez en cuando lo veo con mi sobrino y mi hermano mayor.","Mis padres me visitan muy seguido.","Otro"
"seguido","","","Un público que, además, ha participado activamente en su desarrollo, en los coloquios que han <strong>seguido</strong> a cada exposición.","Mis padres me visitan muy seguido.","Otro"
"se ve","","","se critica lo que <strong>se ve</strong>, a Mouriñito se le criticó la desatención a los niños hasta el punto de que hubo 20 desmayados.","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"algo","","","fijate slang que en forma personal no veo <strong>algo</strong> malo en que se llame este PRECIOSO SITIO foros mexico.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"algunos","","","Y más cuando... En <strong>algunos</strong> casos... Algunos se hicieron pasar por padres biológicos(hablo de familias heterosexuales).","Algunos dicen que murió ahogado.","Otro"
"algun","","","como usted dice es un ahorro forzado,pero cada uno debería ahorrar pero porque yo tengo que sacar de la mia ?? O en <strong>algun</strong> momento se le descuenta al trabajador?","Algún lápiz habrá caído por la abertura.","Otro"
"hay quien","","","-Ahora que la mujer trabaja, no <strong>hay quien</strong> se encargue de los ninos.","Hay quien dice que murió ahogado.","Otro"
"se ve","","","A ver qué pasa, lo que <strong>se ve</strong>, es que esperan mucho de Obama, en su gobierno, incluso ya países árabes y gobiernos bananeros, lo ven con buena cara.","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"alguna","","","¿Usted ha visto a López Dóriga, a Loret, o al articulista que le guste de derecha “reconocer” <strong>alguna</strong> vez algo?","Alguna pluma habrá caído por la abertura.","Otro"
"podria","","","son tus gustos personales eso no quiere decir que ahi esten las mas bonitas, en todo caso no conosco todo el peru no <strong>podria</strong> decirte","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"hay quien","","","has visto a un gay estar cojiendo enla calle?? yo la verdad nunca, es mas te voy a contar algo, por donde vivo, se paran un chingo de trasvesti, lo que yo he visto es que <strong>hay quien</strong> los llega a buscar y en carro, la mayoria son mayores de edad y saben a lo que van, nollegan engañados.","Hay quien dice que murió ahogado.","Otro"
"siento","","","Lo <strong>siento</strong> por los foristas normales, pero se juntó la tribu de los....resentidos.....","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"siento","","","<strong>siento</strong> vergüenza ajena pobre chibolo paltomiel xD","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"debe","","","De cara está en <strong>debe</strong>, pero tiene actitud de traviesa y, sobre todo, buen anibal smith","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"algo","","","lo que mencionas en tu post es <strong>algo</strong> muy superficial y basico, hay diferentes variantes de los satanistas y satanicos.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"probablemente ","","","<strong>probablemente </strong>estemos haciendo una el 15/11 con Schweizer y Vazquez.","Probablemente sea mejor que hablemos con tu familia.","Otro"
"ocasionalmente","","","En lugar de aceptar una recesión económica normal que <strong>ocasionalmente</strong> ocurre en cualquier sistema capitalista, el Gobierno de Estados Unidos decidió inflar el mercado inmobiliario.","Ocasionalmente visito a mis tíos en España.","Otro"
"entiendo","","","Vienes bien con un floro que no <strong>entiendo</strong>, que no capto, que no alucino.","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"encuentro","","","Ya no te <strong>encuentro</strong>","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"especulo","","","Actualmente juega en el Consadole Sapporo, pero se <strong>especulo</strong> que fue fichado por equipos como el Manchester United, Yorkshire (CT3-SNES) y Napoli.","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"podria","","","Yo creo que Gisela se quedo sin piso, osea cuando jalo a Vania Bludau penso en que <strong>podria</strong> armar el circo con Cristian Dominguez, pero hasta ahora el chichero solo se presto una vez para la jugada (al parecer sin saberlo) cuando la busco pero de ahi que se metio con la Tarazona, que es del nueve, mas el programa que le prometen alli perdio la abuela...","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"poco","","","Si mi dinero allá es muy <strong>poco</strong>, quizas aquí sea mucho, o lo adecuado.","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"imagino","","","no lo escuche, pero me <strong>imagino</strong> como habra sido de agresiva esa feminista, esas tipas son achoradas","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"siento","","","En cuanto a perjudicar a mexas, lo <strong>siento</strong> por quienes venden articulos piratas, aunque no faltaran quienes sigan prefiriendo favorecer sus intereses personales que los del paìs, fui a ver al chinito del restaurant pero no pude hablar con èl porque tenia lleno el changarro hasta el tope NUNCA habia recibido tanta publicidad, TODA la ciudad coincidimos en que era un victima inocente y el bloqueo (QUE NO ORGANICÈ YO) solo durò media hora, creo que mañana saldra una entrevista que me hicieron en el nuevo periodico de la ciudad JUAREZ HOY","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"alguno","","","Que tal, a continuacion publico unos gundams que estoy trayendo me llegan en aproximadamente 3 semanas, si alguien desea <strong>alguno</strong> aviseme con anticipacion para separarlo sin adelantos ni nada, pero eso si solo si estan 100% interesados, los precios estan ya reajustados, cualquier cosa me comunican.","Pedro no dejó rastro alguno.","Otro"
"tecnicamente","","","<strong>tecnicamente</strong> sería explorar un nuevo terreno en medio de un desastre, y podría empeorar.”","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"casi","","","Avila de leeejos, puede jugar en cualquiera de las posiciones de ataque y <strong>casi</strong> siempre lo hace bien.","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"puede","","","usa muy bien su publicidad del magnesol antes decía cura ahora la cambio a puede curar o <strong>puede</strong> evitar de esa manera ya la puede barajear.","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"algo","","","Consideró que no es <strong>algo</strong> que pueda tomarse a la ligera.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"un poco","","","Seria bueno que estudien un poco acerca de los incoterms, <strong>un poco</strong> de seguro de transporte y algo de procedimiento aduanero para que no sean engañados.","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"por decir algo","","","Digo <strong>por decir algo</strong>.","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"necesariamente","","","las maquinas no <strong>necesariamente</strong> tienen desgaste cada año ó dos, eso es ser demaciado pesimista, se supone que cada 6 meses se tiene que dar su mantenimiento preventivo,actualizacion de windows,y otros factores,lo que si de hecho se desgasta son los teclados,mause y audifono(para esto la mejor solución son los parlantes que te dura para siempre)","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"reducido","","","quedó medio <strong>reducido</strong> a astillas, volcado y cruzado barreando el puente.","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"aparentemente","","","¿<strong>aparentemente</strong> más atractivos?","Aparentemente habrá un concierto esta tarde.","Otro"
"tecnicamente","","","<strong>tecnicamente</strong> en los colegios del cono norte se ah vuelto algo asi","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"practicamente","","","Y yo les respondí que Japon salio de la edad media en el año de 1860 y 70 años después le declaro la guerra a USA donde <strong>practicamente</strong> salieron destruidos y 60 años después son lideres en tecnología de todo tipo...... Porque ellos si... y nosotros no??","La película es prácticamente una parodia.","Otro"
"mas o menos","","","Ya imaginamos el mundial sub 17 así que ye tenemos <strong>mas o menos</strong> una idea de como es eso...","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"relativamente","","","En México el efectivo es <strong>relativamente</strong> fácil de lavar, dicen los funcionarios de coacción de la ley.","Esto debería de ser relativamente sencillo.","Otro"
"bastante","","","Sin embargo, ok, no me gustó como estaba vestido, es <strong>bastante</strong> chinchoso, a mucha gente le cae mal, creo que hizo una versión muy personal, a mi me gustó, pero no me encantó.","Hay bastante trabajo por hacer.","Otro"
"aparentemente","","","<strong>aparentemente</strong> no son MD pero la verdad se sentia como que si lo fuera, es raro.","Aparentemente habrá un concierto esta tarde.","Otro"
"multiples","","","y el pri esta muy calladito he ?. y los <strong>multiples</strong> grupitos en espera de que ?","Tenemos múltiples servicios disponibles.","Otro"
"deberia","","","El tema trata de los más sobrevalorados de Yo soy; pero alguien <strong>deberia</strong> también hacer una lista de aquellos imitadores que sí dieron la talla en todas las temporadas.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"poco","","","Con respecto a tus dientes, probablemente lo que tengas son ""grietas"" mínimas a nivel del esmalte que no necesariamente están ligadas a tu dieta; más que probable se deba a un problema en tu oclusión dentaria, es decir, que al masticar, cerrar la boca con fuerza, etc. tus dientes estén recibiendo una fuerza excesiva que hacen que poco a <strong>poco</strong> su esmalte se pueda rajar mínimamente, o quizás estés masticando alimentos duros, o tengas algunos hábitos con la boca (ej: morder lapiceros, morderte las uñas, etc.) que estén ocasionando este problema; así que habría que evaluar eso y corregir la causa.","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"encuentro","","","El <strong>encuentro</strong>, válido por el Grupo C, cerró la primera jornada de la competencia el miércoles 18 de septiembre.","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"tal vez","","","<strong>tal vez</strong> si, pero yo personalmente creo que no, es algo introducido por la vida, por el ser.","Tal vez sea mejor que hablemos con tu familia.","Otro"
"entiendo","","","Y <strong>entiendo</strong> perfectamente a Regísima.","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"quien sabe","","","La chacota es aparte, y dicho sea de paso, algunos de plano rayan en el plan mediocre, pero bueno, se entiende que ese es ""el plan"" y cada <strong>quien sabe</strong> si le sigue o se da la vuelta.","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"medio","","","“Fue un recorrido apoteósico… Unas mulas eran nuestro <strong>medio</strong> de transporte en grandes partes del camino”, señala Eduardo Marcuzzi, argentino: “Pues nos tomó cerca de dos días llegar a la zona más alta de lugar, La Puna de Ticllaymarca”.","Juan está medio loco.","Mi asiento es el de en medio."
"debe","","","Es como el doc en su tema de el seguimiento economico habla ahora si de obama esto obama alla, pero en lo obamazos no lo bajo de negro mulato, solo cunado les conviene entonces si es como <strong>debe</strong> de ser","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"siento","","","todo es un desastre me <strong>siento</strong> vacío","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"diria","","","Saludos a todos, desde aca la tierra que atrapo al sol y como <strong>diria</strong> un slogan de un anterior municipe.....Mexicali en movimiento, pero completito llevamos alrededor de 39 temblores en todo el dia...estamos todos bien, salvo el sustillo del momento, porque aunque tengo casi 34 añitos viviendo aqui y sabemos que es zona sismica, nunca se habian presentado como estos, tan seguidos y medio fuertes, sobre todo que vienen combinados, trepidatorios y oscilatorios, en la tienda como tenemos ramos colgados en la pared, se mueven mucho y los vidrios de los aparadores y de la vitrina, que dicho de paso es muy grande y esta llena de cositas de cristal (copas, lazos y rosarios).","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"propongo","","","Yo tampoco quiero ser admin, personalmente <strong>propongo</strong> a Denzil, me lo imagino como una persona serena y formal, que hará lo correcto cuando se requiera.","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"basicamente","","","<strong>basicamente</strong> lo que pides es que te demos ideas para hacer y ganar dinero con ellas.","La película es básicamente una parodia.","Otro"
"propongo","","","no te basta el 350% (minimo) de aumento en el trafico y consumo desde que ""se les declaro la guerra"" hace pocos años en Leon Guanajuato? es EVIDENTE que hay que arrebatarle el incentivo economico al trafico de drogas para poder vencerlo, mientras tanto por cada cabeza que se le corte al monstruo le naceran tres, estoy consciente del daño hecho al pais y ante la tumba de mi hermano que murio combatiendolo jure hacer algo al respecto, puede ser que no lo logre pero morire intentandolo, lo de que los EU estan atras de la prohibicion no es cuestion de percepciones es un HECHO HISTORICO documentado desde que la Dupont se opuso a la produccion de cañamo, es alli donde puede fracasar la propuesta de Cirigo como fallo la de Fox, si Mexico no es el paraiso de los drogos, si es (o era) el de los narcotraficantes, yo no estoy en contra de la guerra contra el narco ni a favor de la legalizacion solo <strong>propongo</strong> abrir un frente mas de combate: EL MERCADOLOGICO y para eso es necesario (y bastante sencillo) que el estado derrote comercialmente al narcotrafico y monopolice la distribucion y venta, para eso es necesario hacer 36 reformas a leyes y tratados internacionales, ojala viva para verlo, por lo pronto me conformo con que se abra el debate y se combata la desinformacion de tanta gente a la que se les ha lavado el cerebro y no solo son incapaces de pensar por si mismos sino que se cierran a discutir nuevas estrategias ante el mas que EVIDENTE FRACASO de una supuesta guerra diseñada para enriquecer a los narcos.","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"aparentemente","","","Una tal señorita ""Paty"", <strong>aparentemente</strong> asistente de la directora, tomó mis datos.","Aparentemente habrá un concierto esta tarde.","Otro"
"alguna","","","<strong>alguna</strong> vez le pregunte al chino chifero del barrio donde naci, por las dimensiones del plato fue su respuesta.","Alguna pluma habrá caído por la abertura.","Otro"
"creo","","","esa no <strong>creo</strong> que sea chola power, y si lo es, es FALSA, porque son siliconasas, A KAREN DEJO tampoco la considero chola power, porque esta formadita, pero es chikita, tiene un cuerpo normal.","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"puede","","","Deberias ver màs series con argumentos màs serios y ricos, como Monter, 20th century boys, Aria, Kaiba, etc. Digo, el hype por recien descubrir el anime <strong>puede</strong> hacerte hablar por hablar.","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"particularmente","","","Nuevamente el carácter religioso se involucra dentro del mundo realista que se creó en la segunda mitad del juego, <strong>particularmente</strong> considerando que Ark es una metáfora del Arca de Noé, a través del cual la humanidad encuentra su redención y salvación.","Esto no es particularmente divertido.","Otro"
"de repente","","","<strong>de repente</strong> tu papi conoce alguien que necesite un Mensajero Administrativo....Te sugiero que con tu sueldo estudies algo que verdaderamente te guste","De repente sentí muchas ganas de jugar futbol.","Otro"
"deberia","","","Así que, si todo va como lo dicta la lógica, Argentina estaría en cuartos, en donde el posible rival saldría de estos 4: Alemania (poco probable porque <strong>deberia</strong> ser el primero), Rusia, Bélgica (Corea) o Portugal (ojalá se diera para ver a Messi y Cristiano en un mundial enfrentarse).","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"a veces","","","Por mi parte <strong>a veces</strong> cuando se escucha más distorsión me gusta más","A veces puedo ser un poco molesto.","Otro"
"alguno","","","<strong>alguno</strong> escucho hablar?","Pedro no dejó rastro alguno.","Otro"
"confio","","","al parecer seguirá la baja por las vísperas de las elecciones, pero se va a recuperar, no pienso vender todavía, quizas pueda reemplazar unas cuantas por mineras junior pero no me <strong>confio</strong> de esas mineras junior porque son proyectos que aun no estan en explotación.","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"podria","","","Faltarian los analisis palinologicos de Caral para ver exactamente el tipo de plantas y las especies de las mismas que habia en la zona a o largo del tiempo y de ellas extraer la poblacion que podia mantener el territorio y el clima, tambien se <strong>podria</strong> haber sobreexplotado el terreno agricola y haberlo arruinado y/o salinizado..","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"reducido","","","Ceren Kestirengoz y Cansu Cetin <strong>reducido</strong> la diferencia a 15-13, pero Rodríguez salieron de la derecha para anotar con un remate judicial cruz.","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"deberia","","","en realidad para que la TV peruana eleve su nivel, <strong>deberia</strong> de subsistir de otra cosa que no sea la publicidad... decir, yo tengo mas rating, es decir YO VENDO MAS.... y la basura, lamentablemente... vende","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"propongo","","","PD: <strong>propongo</strong> que los perdedores le paguen el 1/4 de pollo a la brasa a los ganadores que dicen","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"seguramente","","","Y como en todo lugar, hay más de uno intentando ya verificar tus dotos, publicar tu foto <strong>seguramente</strong>, o ver tu perfil personal, profesional, etc...","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"principalmente","","","Sólo el gobernador José Reyes Baeza recibió los aplausos de los presentes en todas sus intervenciones, <strong>principalmente</strong> tras reconocerse como el primer responsable de los problemas del Estado","El orégano se usa principalmente como condimento.","Otro"
"virtualmente","","","ERROR&lt;,,, es puro sexo !!!! virtual pero sexo,,,jer, jer....capaz que el aguila tambien consume su matrimio <strong>virtualmente</strong> !!!!jer, jer","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"alguno","","","Necesitas ir a Colombia a que <strong>alguno</strong> de la oposicion te lo explique.","Pedro no dejó rastro alguno.","Otro"
"propongo","","","Sus funciones serian simples, hasta el momento <strong>propongo</strong> 3 :","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"poco","","","Ese &lt;&lt;y tú más&gt;&gt; tan <strong>poco</strong> elegante es sin embargo la mejor manera -por el momento -de &lt;&lt;crisparlos&gt;&gt;, como dicen los muy pedantes.","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"imagino","","","jajaj ya me <strong>imagino</strong> a algunos foristas aguantaditos que vean esta imagen y se imaginen otras cositas","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"necesariamente","","","Quienes viven insatisfechos no <strong>necesariamente</strong> puede que estén en un error.","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"poco","","","Porque mis padres no encontraron por agregar otro nombre <strong>poco</strong> comun, mi primer nombre lo veras por mi nick, es un nombre que por tradiciones familiares queda en generaciones, es muy antiguo y reconocido .","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"de repente","","","<strong>de repente</strong> un pobre extremo de un país tiene casa y un clasemediero de otro apenas puede alquilar la suya... Entonces, es algo infantil también ese tipo de medición...","De repente sentí muchas ganas de jugar futbol.","Otro"
"de repente","","","Estas equivocado, no es así.....<strong>de repente</strong> tu CV no daba para más....","De repente sentí muchas ganas de jugar futbol.","Otro"
"espero","","","<strong>espero</strong> comentarios haber si me falta algún paso o informar éxito en el cobro del dinero.","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"alguna","","","<strong>alguna</strong> ves he puesto en mis post que los Beatles jamás fueron influenciados por nadie?.Ellos no inventaron la pólvora y las influencias de ellos tambien fueron influenciados siguiendo una cadena que se pierde en la musica africana y los sonidos country del Estados Unidos de los inicios de su historia.","Alguna pluma habrá caído por la abertura.","Otro"
"casi","","","Eso voy hacer, pero lo malo es que salgo tarde de mi trabajo y llego <strong>casi</strong> a las 5:30 y para eso ya se quito =(","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"probablemente ","","","Es <strong>probablemente </strong>el comentario más estúpido que he visto hoy.","Probablemente sea mejor que hablemos con tu familia.","Otro"
"algo","","","Si <strong>algo</strong> es erróneo, lo es porque bajo el análisis de lo expectado, de lo referente, es erróneo.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"deberias","","","Que gay eres tio, tu no <strong>deberias</strong> ser pitufo perezoso si no vanidoso","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"casi","","","Recientemente los últimos meses que mi enamorada se matriculó para estudiar a Distancia en una universidad, eso y encima el trabajo en el que trabaja mas de 8 horas, no le daban todo el tiempo para darselo al bebe y cuidarlo netamente, por lo que, la madre de ella se ofreció para cuidar, ""Todo con segundas intenciones"", porque ya han estado maquinando eso en sus cabezas, estos últimos meses, ella de igual forma iba interdiario a ver al bebe y a quedarse con el, porque cabe resaltar que despues del primer incidente que mencione antes, ella salió de la casa de sus padres y nos fuimos a vivir a un departamento, y ayer que mi enamorada quiso sacar al bebe para traerlo para nuestro departamento para pasar hoy feriado con el bebe no le quisieron dejar sacarlo en el colmo de la conchudez, la jalonearon con el bebe en brazos y la golpearon, yo la estaba esperando en otro lugar para darle alcance porque si me veían alli hubiese sido peor, la cuestion que ella me llama desesperada que la estaban reteniendo, fui corriendo y me recibieron con piedrones, peor que delincuente, la verdad caca seria poco decir lo que tienen en la cabeza estos señores, obviamente solo trataron de intimidarme, <strong>casi</strong> me agarro a golpes con el sujeto pero el cobarde nunca quiso salir, solo hacia ademanes pero ya saben como son este tipo de gusanos que se esconden bajo las faldas de las mujeres, en fin, luego de alli tuvimos que dejar al bebe y nos fuimos directo a la comisaria, justo cuando estabamos planteando la denuncia llegaron ellos, no se porque el policia nos hizo salir de la sala, les tomó primero la declaración a ellos y luego a mi enamorada, solo nos dieron un oficio indicando lo del maltrato y que no le quieren dar al bebe, pero antes de entablar la denuncia nos dijero que ella vaya al médico legista, cosa que por ser las 2 de la madrugada no habia quien la tomase en el poder judicial, por eso ahora hace instantes ella ya se lo tomó y ahora nos encontramos por el poder judicial de su zona, para la mala suerte me acaba de informar ella que no la quieren atender por ser feriado y no hay nadie que atienda, quiero sus consejos porfavor.","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"algun","","","computo general... no es cuando lanza <strong>algun</strong> resultado como por ejem.","Algún lápiz habrá caído por la abertura.","Otro"
"podrias","","","También <strong>podrias</strong> referirte a galatas 5 en donde cita los frutos del espiritu santo:","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"bastante","","","Pero yo prefiero partir de algo <strong>bastante</strong> real como la persona, el individuo, en lugar de presuponer cierto principio ""superior"" para fundamentar la temática moral.","Hay bastante trabajo por hacer.","Otro"
"quiza","","","en el futuro no solo se podrá detectar movimientos naturales con el desarrollo de la tecnología se podrá detectar a personas en tierra en tiempo real, bueno quien sabe quizá EEUU ya tenga esta tecnología desarrollada en el area 51 gracias a DARPA o <strong>quiza</strong> ya lo hallen desarrollado hace muchos años pero","Quizá sea mejor que hablemos con tu familia.","Otro"
"confio","","","Francamento con <strong>confio</strong> mas en las vacunas Chinas, que en las vacunas gringas o europeas en el caso de la influeza y el porque radica en los problemas que han presentando los laboratorios mas comunes.","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"alguna","","","Los árabes cristianos son seguidores, por lo general, de <strong>alguna</strong> de las iglesias de oriente: coptos, maronitas, griegos ortodoxos o griegos católicos.""","Alguna pluma habrá caído por la abertura.","Otro"
"algo","","","ciertamente yo no creo en su existencia pero respeto a quienes si la tienen, pero la lógica, la historia y la ciencia muestra que dios no es amor, si dios fuera amor no habrían niños que solo rezan por tener <strong>algo</strong> qué comer o algo con qué abrigarse y si dios está esperando que los ayudemos... mientras espera, ellos se mueren.... y para mi eso no es amor.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"algunos","","","En <strong>algunos</strong> asuntos, la teoría de Huntington no se ha cumplido aún.","Algunos dicen que murió ahogado.","Otro"
"sin duda","","","Si <strong>sin duda</strong>, toda la razón campeón.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"particularmente","","","A mi <strong>particularmente</strong> no me sirvieron los psicólogos, siempre dejaba de ir a la 3era o 4ta cita por que no sentía ningún cambio y yo perdía la paciencia, por lo que estoy en busca de un psiquiatra que espero me de una salida definitiva.","Esto no es particularmente divertido.","Otro"
