segment	proposition	belief_type
lo que mencionas en tu post es algo muy superficial y basico, hay diferentes variantes de los satanistas y satanicos.	algo	HPROP
probablemente estemos haciendo una el 15/11 con Schweizer y Vazquez.	probablemente	HREL
En lugar de aceptar una recesión económica normal que ocasionalmente ocurre en cualquier sistema capitalista, el Gobierno de Estados Unidos decidió inflar el mercado inmobiliario.	ocasionalmente	HPROP
Vienes bien con un floro que no entiendo, que no capto, que no alucino.	entiendo	HREL
Ya no te encuentro	encuentro	NH
Actualmente juega en el Consadole Sapporo, pero se especulo que fue fichado por equipos como el Manchester United, Yorkshire (CT3-SNES) y Napoli.	especulo	NH
Yo creo que Gisela se quedo sin piso, osea cuando jalo a Vania Bludau penso en que podria armar el circo con Cristian Dominguez, pero hasta ahora el chichero solo se presto una vez para la jugada (al parecer sin saberlo) cuando la busco pero de ahi que se metio con la Tarazona, que es del nueve, mas el programa que le prometen alli perdio la abuela...	podría	HREL
Si mi dinero allá es muy poco, quizas aquí sea mucho, o lo adecuado.	poco	NH
no lo escuche, pero me imagino como habra sido de agresiva esa feminista, esas tipas son achoradas	imagino	NH
En cuanto a perjudicar a mexas, lo siento por quienes venden articulos piratas, aunque no faltaran quienes sigan prefiriendo favorecer sus intereses personales que los del paìs, fui a ver al chinito del restaurant pero no pude hablar con èl porque tenia lleno el changarro hasta el tope NUNCA habia recibido tanta publicidad, TODA la ciudad coincidimos en que era un victima inocente y el bloqueo (QUE NO ORGANICÈ YO) solo durò media hora, creo que mañana saldra una entrevista que me hicieron en el nuevo periodico de la ciudad JUAREZ HOY	siento	HREL
Que tal, a continuacion publico unos gundams que estoy trayendo me llegan en aproximadamente 3 semanas, si alguien desea alguno aviseme con anticipacion para separarlo sin adelantos ni nada, pero eso si solo si estan 100% interesados, los precios estan ya reajustados, cualquier cosa me comunican.	alguno	HPROP
tecnicamente sería explorar un nuevo terreno en medio de un desastre, y podría empeorar.”	técnicamente	HPROP
Avila de leeejos, puede jugar en cualquiera de las posiciones de ataque y casi siempre lo hace bien.	casi	NH
usa muy bien su publicidad del magnesol antes decía cura ahora la cambio a puede curar o puede evitar de esa manera ya la puede barajear.	puede	HREL
Consideró que no es algo que pueda tomarse a la ligera.	algo	NH
Seria bueno que estudien un poco acerca de los incoterms, un poco de seguro de transporte y algo de procedimiento aduanero para que no sean engañados.	un poco	HPROP
Digo por decir algo.	por decir algo	HPROP
las maquinas no necesariamente tienen desgaste cada año ó dos, eso es ser demaciado pesimista, se supone que cada 6 meses se tiene que dar su mantenimiento preventivo,actualizacion de windows,y otros factores,lo que si de hecho se desgasta son los teclados,mause y audifono(para esto la mejor solución son los parlantes que te dura para siempre)	necesariamente	HREL
quedó medio reducido a astillas, volcado y cruzado barreando el puente.	reducido	NH
¿aparentemente más atractivos?	aparentemente	NH
tecnicamente en los colegios del cono norte se ah vuelto algo asi	técnicamente	HPROP
Y yo les respondí que Japon salio de la edad media en el año de 1860 y 70 años después le declaro la guerra a USA donde practicamente salieron destruidos y 60 años después son lideres en tecnología de todo tipo...... Porque ellos si... y nosotros no??	prácticamente	HPROP
Ya imaginamos el mundial sub 17 así que ye tenemos mas o menos una idea de como es eso...	más o menos	HPROP
En México el efectivo es relativamente fácil de lavar, dicen los funcionarios de coacción de la ley.	relativamente	HPROP
Sin embargo, ok, no me gustó como estaba vestido, es bastante chinchoso, a mucha gente le cae mal, creo que hizo una versión muy personal, a mi me gustó, pero no me encantó.	bastante	NH
aparentemente no son MD pero la verdad se sentia como que si lo fuera, es raro.	aparentemente	HPROP
y el pri esta muy calladito he ?. y los multiples grupitos en espera de que ?	multíples	HPROP
El tema trata de los más sobrevalorados de Yo soy; pero alguien deberia también hacer una lista de aquellos imitadores que sí dieron la talla en todas las temporadas.	deberia	NH
Con respecto a tus dientes, probablemente lo que tengas son "grietas" mínimas a nivel del esmalte que no necesariamente están ligadas a tu dieta; más que probable se deba a un problema en tu oclusión dentaria, es decir, que al masticar, cerrar la boca con fuerza, etc. tus dientes estén recibiendo una fuerza excesiva que hacen que poco a poco su esmalte se pueda rajar mínimamente, o quizás estés masticando alimentos duros, o tengas algunos hábitos con la boca (ej: morder lapiceros, morderte las uñas, etc.) que estén ocasionando este problema; así que habría que evaluar eso y corregir la causa.	poco	NH
El encuentro, válido por el Grupo C, cerró la primera jornada de la competencia el miércoles 18 de septiembre.	encuentro	NH
tal vez si, pero yo personalmente creo que no, es algo introducido por la vida, por el ser.	tal vez	HREL
Y entiendo perfectamente a Regísima.	entiendo	HREL
La chacota es aparte, y dicho sea de paso, algunos de plano rayan en el plan mediocre, pero bueno, se entiende que ese es "el plan" y cada quien sabe si le sigue o se da la vuelta.	quién sabe	HREL
“Fue un recorrido apoteósico… Unas mulas eran nuestro medio de transporte en grandes partes del camino”, señala Eduardo Marcuzzi, argentino: “Pues nos tomó cerca de dos días llegar a la zona más alta de lugar, La Puna de Ticllaymarca”.	medio	NH
Es como el doc en su tema de el seguimiento economico habla ahora si de obama esto obama alla, pero en lo obamazos no lo bajo de negro mulato, solo cunado les conviene entonces si es como debe de ser	debe	HREL
todo es un desastre me siento vacío	siento	NH
Saludos a todos, desde aca la tierra que atrapo al sol y como diria un slogan de un anterior municipe.....Mexicali en movimiento, pero completito llevamos alrededor de 39 temblores en todo el dia...estamos todos bien, salvo el sustillo del momento, porque aunque tengo casi 34 añitos viviendo aqui y sabemos que es zona sismica, nunca se habian presentado como estos, tan seguidos y medio fuertes, sobre todo que vienen combinados, trepidatorios y oscilatorios, en la tienda como tenemos ramos colgados en la pared, se mueven mucho y los vidrios de los aparadores y de la vitrina, que dicho de paso es muy grande y esta llena de cositas de cristal (copas, lazos y rosarios).	diria	NH
Yo tampoco quiero ser admin, personalmente propongo a Denzil, me lo imagino como una persona serena y formal, que hará lo correcto cuando se requiera.	propongo	NH
basicamente lo que pides es que te demos ideas para hacer y ganar dinero con ellas.	básicamente	HPROP
no te basta el 350% (minimo) de aumento en el trafico y consumo desde que "se les declaro la guerra" hace pocos años en Leon Guanajuato? es EVIDENTE que hay que arrebatarle el incentivo economico al trafico de drogas para poder vencerlo, mientras tanto por cada cabeza que se le corte al monstruo le naceran tres, estoy consciente del daño hecho al pais y ante la tumba de mi hermano que murio combatiendolo jure hacer algo al respecto, puede ser que no lo logre pero morire intentandolo, lo de que los EU estan atras de la prohibicion no es cuestion de percepciones es un HECHO HISTORICO documentado desde que la Dupont se opuso a la produccion de cañamo, es alli donde puede fracasar la propuesta de Cirigo como fallo la de Fox, si Mexico no es el paraiso de los drogos, si es (o era) el de los narcotraficantes, yo no estoy en contra de la guerra contra el narco ni a favor de la legalizacion solo propongo abrir un frente mas de combate: EL MERCADOLOGICO y para eso es necesario (y bastante sencillo) que el estado derrote comercialmente al narcotrafico y monopolice la distribucion y venta, para eso es necesario hacer 36 reformas a leyes y tratados internacionales, ojala viva para verlo, por lo pronto me conformo con que se abra el debate y se combata la desinformacion de tanta gente a la que se les ha lavado el cerebro y no solo son incapaces de pensar por si mismos sino que se cierran a discutir nuevas estrategias ante el mas que EVIDENTE FRACASO de una supuesta guerra diseñada para enriquecer a los narcos.	propongo	NH
Una tal señorita "Paty", aparentemente asistente de la directora, tomó mis datos.	aparentemente	NH
alguna vez le pregunte al chino chifero del barrio donde naci, por las dimensiones del plato fue su respuesta.	alguna	HPROP
esa no creo que sea chola power, y si lo es, es FALSA, porque son siliconasas, A KAREN DEJO tampoco la considero chola power, porque esta formadita, pero es chikita, tiene un cuerpo normal.	creo	HREL
Deberias ver màs series con argumentos màs serios y ricos, como Monter, 20th century boys, Aria, Kaiba, etc. Digo, el hype por recien descubrir el anime puede hacerte hablar por hablar.	puede	HREL
Nuevamente el carácter religioso se involucra dentro del mundo realista que se creó en la segunda mitad del juego, particularmente considerando que Ark es una metáfora del Arca de Noé, a través del cual la humanidad encuentra su redención y salvación.	particularmente	HPROP
de repente tu papi conoce alguien que necesite un Mensajero Administrativo....Te sugiero que con tu sueldo estudies algo que verdaderamente te guste	de repente	HPROP
Así que, si todo va como lo dicta la lógica, Argentina estaría en cuartos, en donde el posible rival saldría de estos 4: Alemania (poco probable porque deberia ser el primero), Rusia, Bélgica (Corea) o Portugal (ojalá se diera para ver a Messi y Cristiano en un mundial enfrentarse).	debería	HREL
Por mi parte a veces cuando se escucha más distorsión me gusta más	a veces	HPROP
alguno escucho hablar?	alguno	NH
al parecer seguirá la baja por las vísperas de las elecciones, pero se va a recuperar, no pienso vender todavía, quizas pueda reemplazar unas cuantas por mineras junior pero no me confio de esas mineras junior porque son proyectos que aun no estan en explotación.	confío	HREL
Faltarian los analisis palinologicos de Caral para ver exactamente el tipo de plantas y las especies de las mismas que habia en la zona a o largo del tiempo y de ellas extraer la poblacion que podia mantener el territorio y el clima, tambien se podria haber sobreexplotado el terreno agricola y haberlo arruinado y/o salinizado..	podría	HREL
Ceren Kestirengoz y Cansu Cetin reducido la diferencia a 15-13, pero Rodríguez salieron de la derecha para anotar con un remate judicial cruz.	reducido	NH
en realidad para que la TV peruana eleve su nivel, deberia de subsistir de otra cosa que no sea la publicidad... decir, yo tengo mas rating, es decir YO VENDO MAS.... y la basura, lamentablemente... vende	deberia	NH
PD: propongo que los perdedores le paguen el 1/4 de pollo a la brasa a los ganadores que dicen	propongo	HREL
Y como en todo lugar, hay más de uno intentando ya verificar tus dotos, publicar tu foto seguramente, o ver tu perfil personal, profesional, etc...	seguramente	HREL
Sólo el gobernador José Reyes Baeza recibió los aplausos de los presentes en todas sus intervenciones, principalmente tras reconocerse como el primer responsable de los problemas del Estado	principalmente	HPROP
ERROR&lt;,,, es puro sexo !!!! virtual pero sexo,,,jer, jer....capaz que el aguila tambien consume su matrimio virtualmente !!!!jer, jer	virtualmente	HPROP
Necesitas ir a Colombia a que alguno de la oposicion te lo explique.	alguno	NH
Sus funciones serian simples, hasta el momento propongo 3 :	propongo	HREL
Ese &lt;&lt;y tú más&gt;&gt; tan poco elegante es sin embargo la mejor manera -por el momento -de &lt;&lt;crisparlos&gt;&gt;, como dicen los muy pedantes.	poco	HPROP
jajaj ya me imagino a algunos foristas aguantaditos que vean esta imagen y se imaginen otras cositas	imagino	HREL
Quienes viven insatisfechos no necesariamente puede que estén en un error.	necesariamente	HREL
Porque mis padres no encontraron por agregar otro nombre poco comun, mi primer nombre lo veras por mi nick, es un nombre que por tradiciones familiares queda en generaciones, es muy antiguo y reconocido .	poco	HPROP
de repente un pobre extremo de un país tiene casa y un clasemediero de otro apenas puede alquilar la suya... Entonces, es algo infantil también ese tipo de medición...	de repente	HPROP
Estas equivocado, no es así.....de repente tu CV no daba para más....	de repente	NH
espero comentarios haber si me falta algún paso o informar éxito en el cobro del dinero.	espero	NH
alguna ves he puesto en mis post que los Beatles jamás fueron influenciados por nadie?.Ellos no inventaron la pólvora y las influencias de ellos tambien fueron influenciados siguiendo una cadena que se pierde en la musica africana y los sonidos country del Estados Unidos de los inicios de su historia.	alguna	NH
Eso voy hacer, pero lo malo es que salgo tarde de mi trabajo y llego casi a las 5:30 y para eso ya se quito =(	casi	HPROP
Es probablemente el comentario más estúpido que he visto hoy.	probablemente	HREL
Si algo es erróneo, lo es porque bajo el análisis de lo expectado, de lo referente, es erróneo.	algo	NH
Que gay eres tio, tu no deberias ser pitufo perezoso si no vanidoso	deberías	HREL
Recientemente los últimos meses que mi enamorada se matriculó para estudiar a Distancia en una universidad, eso y encima el trabajo en el que trabaja mas de 8 horas, no le daban todo el tiempo para darselo al bebe y cuidarlo netamente, por lo que, la madre de ella se ofreció para cuidar, "Todo con segundas intenciones", porque ya han estado maquinando eso en sus cabezas, estos últimos meses, ella de igual forma iba interdiario a ver al bebe y a quedarse con el, porque cabe resaltar que despues del primer incidente que mencione antes, ella salió de la casa de sus padres y nos fuimos a vivir a un departamento, y ayer que mi enamorada quiso sacar al bebe para traerlo para nuestro departamento para pasar hoy feriado con el bebe no le quisieron dejar sacarlo en el colmo de la conchudez, la jalonearon con el bebe en brazos y la golpearon, yo la estaba esperando en otro lugar para darle alcance porque si me veían alli hubiese sido peor, la cuestion que ella me llama desesperada que la estaban reteniendo, fui corriendo y me recibieron con piedrones, peor que delincuente, la verdad caca seria poco decir lo que tienen en la cabeza estos señores, obviamente solo trataron de intimidarme, casi me agarro a golpes con el sujeto pero el cobarde nunca quiso salir, solo hacia ademanes pero ya saben como son este tipo de gusanos que se esconden bajo las faldas de las mujeres, en fin, luego de alli tuvimos que dejar al bebe y nos fuimos directo a la comisaria, justo cuando estabamos planteando la denuncia llegaron ellos, no se porque el policia nos hizo salir de la sala, les tomó primero la declaración a ellos y luego a mi enamorada, solo nos dieron un oficio indicando lo del maltrato y que no le quieren dar al bebe, pero antes de entablar la denuncia nos dijero que ella vaya al médico legista, cosa que por ser las 2 de la madrugada no habia quien la tomase en el poder judicial, por eso ahora hace instantes ella ya se lo tomó y ahora nos encontramos por el poder judicial de su zona, para la mala suerte me acaba de informar ella que no la quieren atender por ser feriado y no hay nadie que atienda, quiero sus consejos porfavor.	casi	NH
computo general... no es cuando lanza algun resultado como por ejem.	algún	HPROP
También podrias referirte a galatas 5 en donde cita los frutos del espiritu santo:	podrías	HREL
Pero yo prefiero partir de algo bastante real como la persona, el individuo, en lugar de presuponer cierto principio "superior" para fundamentar la temática moral.	bastante	HPROP
en el futuro no solo se podrá detectar movimientos naturales con el desarrollo de la tecnología se podrá detectar a personas en tierra en tiempo real, bueno quien sabe quizá EEUU ya tenga esta tecnología desarrollada en el area 51 gracias a DARPA o quiza ya lo hallen desarrollado hace muchos años pero	quizá	HREL
Francamento con confio mas en las vacunas Chinas, que en las vacunas gringas o europeas en el caso de la influeza y el porque radica en los problemas que han presentando los laboratorios mas comunes.	confio	NH
Los árabes cristianos son seguidores, por lo general, de alguna de las iglesias de oriente: coptos, maronitas, griegos ortodoxos o griegos católicos."	alguna	HPROP
ciertamente yo no creo en su existencia pero respeto a quienes si la tienen, pero la lógica, la historia y la ciencia muestra que dios no es amor, si dios fuera amor no habrían niños que solo rezan por tener algo qué comer o algo con qué abrigarse y si dios está esperando que los ayudemos... mientras espera, ellos se mueren.... y para mi eso no es amor.	algo	HPROP
En algunos asuntos, la teoría de Huntington no se ha cumplido aún.	algunos	HPROP
Si sin duda, toda la razón campeón.	sin duda	HREL
A mi particularmente no me sirvieron los psicólogos, siempre dejaba de ir a la 3era o 4ta cita por que no sentía ningún cambio y yo perdía la paciencia, por lo que estoy en busca de un psiquiatra que espero me de una salida definitiva.	particularmente	HPROP
Por mi parte no le tomo interes &amp; de las personas que me he sentido un poco atraido, siempre me terminan decepcionando de alguna forma, no me refiero a dentro de una relación, sino por ejemplo sabes que es una chica bondandosa con los animales &amp; tranquila,entonces ella te genera interes, pero te enteras que es prejuiciosa &amp; le gusta generalizar, entonces esa atracción desaparece poco a poco &amp; inclusive puede llegar a desvanecerse, aunque es normal que suceda ello en tan solo una atracción.	un poco	HPROP
No, no es gay, y no deberias juzgar por las apariencias, las costumbres culturales y sociales de las personas no determinan su sexualidad, por ejemplo los arabes y los rusos se saludan de beso, y no son gays, al contrario para ellos la homosexualidad es abominacion, En escocia los hombres usan falda, en la antiguedad los hombres usaban vestido, eso no es homosexualidad solo son diferencias culturales.	deberías	HREL
El finde semana que viene estaré por allí necesito algunos accesorios como flash, trípode, softbox y algunas cosas más.	algunos	NH
Así pues, es superficial decir que porque supuestamente Wiracocha o Sume, etc, fuesen educadores rubios o barbados que llegaron a estas tierras, necesariamente tienen que ser todos ellos nada más y nada menos que Cristo resucitado.	necesariamente	NH
Creo este tema debido a que ya mañana empieza el Rally y porque varios foristas estan emocionados con el Dakar e iran a verlo y de seguro tomaran fotos asi que aqui pueden postearlas para que los que no tuvieron suerte de ir aunquesea lo vean por fotos, por mientras yo no me encuentro en Lima pero tal vez alguno de ustedes fue al village y tomo fotos, cuando pase por mi ciudad posteare mis fotos.	alguno	NH
En cuanto a lo del maltrato infantil, propongo que en un futuro se aplique multa a quien haga una pregunta así para desprestigiar a quien pide equidad de género.	propongo	HREL
tal vez tuvo problemas en algun reten policiaco o militar y eso lo trae muy herido, su queja principal son la inconstitucionalidad de los retenes, algo le paso...Saludotes mariloli...	tal vez	HREL
CSKA  : La verdad me hubiera gustado que ganen, especialmente viendo lo mezquino que fue el madrid que especulo demasiado.Solo vi el primer tiempo, me parece que en el segundo entro Honda lo cual me parece raro, a lo mejor recien se recupero de una lesion o algo.	especulo	HREL
Puede parecer extemporaneo mi comentario, pero generalmente no dejo de contestar cuando alguien se dirige a mi aunque nunca haya sido mi intención interactuar con esa persona.	alguien	HPROP
claudia serpa esta vez si canto como debe de ser, pero aunque la custionen por ser bonita, deberia mejorar para la proxima	debe	NH
Vean a las mujeres indígenas que traen a su chiquillo colgado en la espalda, alguna vez los han escuchado llorar?	alguna	HPROP
Creo que ahora los bancos y financieras reparten sus tarjetas a diestra y siniestra con toda la intención de que no las podamos pagar para ellos hacer ahí su gran negocio cobrando comisiones, moras y gastos administrativos con intereses astronómicos, creo que esto de la tarjeta de crédito se deberia de regular para evitar que mucha gente caiga en esto	deberia	NH
Precisamente por eso no entiendo a que venía eso, porque no veo el conflicto de definiciones por ninguna parte.	entiendo	NH
ni idea cuanto estará ese modelo, pero de lo que sí estoy seguro es de que cuesta mas de 100 soles, quiza este en un rango de 250-300 soles o quiza más, y bueno, eso de como saber si es original o no, la verdad no lo veo necesario, no creo que tu primo estando en usa te regale cosas bambas	quizá	HREL
hay algun team formado?	algún	HPROP
Las mismas acciones siempre generan los mismos resultados, claro quizá con otro aire, otras personas, otras circunstancias, pero esencialmente se obtienen los mismos resultados.	esencialmente	NH
Mi comentario fue tambien por parte de os rumores extendidos de los "negocios" que hacen nuestras fuerzas armadas y el caso del hermano de humala, cuando la prensa especulo sobre las "conversaciones" de este con algunos militares rusos y se especulo sobre "faenon"	especulo	NH
Esto es patente en la publicidad y virtualmente en cualquier espacio de la sociedad de consumo en la que vivimos.	virtualmente	NH
También estamos a favor de que todo joven mexicano, particularmente los de pobreza extrema, tenga derecho y acceso a un par de tenis Louis Vuitton de 12 mil pesos.	particularmente	NH
La Fundación Vicente Ferrer lleva a cabo su labor humanitaria en el estado de Andhra Pradesh y presta ayuda a más de 2,5 millones de personas en la región de Ananatapur, gracias en gran parte a los 155.000 socios que tiene en España	gran parte	NH
Pero usualmente a carro lleno, si dices que estaba vacio seguro queria algo.	usualmente	HPROP
Y no, no creo que por mas pensar sea malo, si no lo contrario, cuando piensas mas, encuentras mas respuestas, y mas explicacion a la vida, que a veces la entidad antes aparentemente invisible llamada sociedad, le vas encontrando sentido.	aparentemente	NH
yo para credito de estudios obtuve tengo una TCEA de 10.5% que ya la pague, ahora parcialmente compre un auto con una TCEA de 9.5%.	parcialmente	NH
EN relacion calidad precio diria que el Nexus4...lo malo es que no se consigue asi nomas	diria	NH
Aca encontre unos videos por accidente en el youtube que trata de los derechos humanos, es en buena cuenta algo bastante similiar a lo que pienso y ya habai publicado, asi que me gustaria compartirlo con ustedes a ver que opinan:	bastante	NH
poco grave la situacion y me he kedado misio y lo que voy a conseguir esta semana es para	poco	NH
Las pantallas de Plasma poseen la mayor calidad de colores, de contraste (la mayor reproducción del color negro) y de tiempo de respuesta asi que tecnicamente seria el mas adecuado para jugar con una consola sin embargo ya hemos visto sus puntos en contra, la pantalla necesariamente será vidriada lo que produce reflejos del ambiente en lugares iluminados y existe la remota posibilidad de "pantalla quemada" que consiste en que al mostrar imágenes por un tiempo prolongado estas quedaban literalmente "grabadas" en la pantalla, algo asi como una huella...	tecnicamente	NH
He sido torpe (una vez más) y lo asumo.	asumo	NH
dicen que tenian meses planeandolo y la propia ingrid dice que al ver que llego el helicoptero por ellos y vio como se hablaban y trataban los terroristas y los convencieron de que iban a trasladarlos a otro lugar - que dicen era frecuente este cambio- hasta ella misma los considero terroristas y al final al tumbar al "cesar" ella penso que se habia caido y no, es que el pseudoterrorista ( que en realidad era del ejercito de colombia) lo habia maniatado de pies y cabezas y les dijo " somos del ejercito colombiano estan libres "	considero	NH
seguido de arresto domiciliario	seguido	NH
En ésta, en efecto, el proceso ascético de formación de un sujeto esencialmente pensante, el ego cogitans, desea convivir con la perspectiva de un verdadero ser humano æcomo lo llama Descartesæ corporalmente comprometido y pendiente ya no tanto de la verdad como de la utilidad y felicidad que las cosas pueden reportarnos si acertamos a tomarlas con sabiduría.	esencialmente	HPROP
