hedge,sentence,usage1,usage2
"a veces","Y <strong>a veces</strong> aunke no logico te gana le sentimiento al pensar y dejas la razon a un lado, no por justificarlo tampoco...","A veces puedo ser un poco molesto.","Otro"
"parcialmente","Para sobrevivir una persona necesita sustentar las necesidades básicas de alimentación, salud, vestido y salubridad, el 80% de la población peruana no puede sustentar sus necesidades básicas o lo hace <strong>parcialmente</strong>, por lo que se dividen entre la pobreza y extrema pobreza.","Lo que dices es parcialmente verdadero.","Otro"
"mas o menos","Si tomas un carro de fiori esta <strong>mas o menos</strong> 40 soles (en fecha de no fiesta) y para fiestas patrias sube hasta 100 soles.","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"aproximadamente","Le Championnat tendria nuevo lider a falta de 13 fechas, el Montpellier con su triunfo de hoy y la derrota del PSG por 4-2 ante Lyon (aun falta 30 minutos <strong>aproximadamente</strong>).","La pared mide aproximadamente 15 metros.","Otro"
"principalmente","Lo del foro, he estado en otros, el mas conocido el de la Trinch... pero, la neta, me aburrieron, muy sebos (<strong>principalmente</strong> el de la Trinch... parece que ahí escriben puros niños de primaria), aparte de este (que se me hace el mejor de todos, aunque ahorita este medio solón), estoy en otro que es mas que nada de edificios y arquitectura de las ciudades...","El orégano se usa principalmente como condimento.","Otro",""
"entiendo","Pos yo  no se,  ni <strong>entiendo</strong> de qué se escandaliza usted, si el 16 de septiembre festejamos con bombo y platillos, con fuegos artificiales y con balas disparadas al cielo,  con intenciones hasta de matar al criador,   a un cura genocida que gritó que había que colgar a todos los gachupines que se encontraran en la Nueva España","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"la mayoria","Yo estudie Fìsica Pura en la unac hasta el tercer ciclo de ahi me cambie de carrera a la actual que ya termino, dejame decirte que tenias que estudiar el doble del ritmo, porque todo era demostraciones y abstracciones de conceptos y teorias, <strong>la mayoria</strong> pasabamos con 11 a 12 y el màs capo con 13. aunque vi un alumno que era un verdadero cerebrito (que habrà sido de èl).","La mayoría de ustedes me conoce.","Otro"
"debe","que todo tiene una causa, no podemos afirmar nada, la sociedad <strong>debe</strong> esperar","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"deberias","Creo que más allá de darte un tiempo con él, <strong>deberias</strong> pensar, muy seriamente si eso es lo que quieres.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"considero","<strong>considero</strong> que ya lo he explicado y como digo lo sigo viendo absurdo.","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"reducido","<strong>reducido</strong> el poderío de la escuadra peruana prácticamente al de un solo blindado, el monitor Huáscar, al mando del Almirante Miguel Grau, éste consigue contrarrestar a la poderosa armada chilena, que finalmente logra darle caza el8 de octubre, frente a punta Angamos.","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"rara vez","fuera bueno que los buses solo sean de ""Dos carriles"" por así decirlo y puedan pasar volteados los dos y no causar malentendidos, pero en los custers van hasta de tres y uno no tiene opción de pasar sin ""rozar"" a algun@, y buses me atrevería a decir que hasta de cuatro personas entran creo  (<strong>rara vez</strong> voy en buses).. solo nos queda esperar un reordenamiento para la cantidad de personas que deben entrar en los buses, que diiiiiiicen que será dentro de un par de años ....","Rara vez ceno en ese restaurante.","Otro"
"casi","Una vez dada la alerta sobre el tiroteo, otras escuelas cercanas, así como el Colegio Comunitario Arapahoe y varios centros comerciales permanecieron cerrados durante <strong>casi</strong> dos horas, hasta que el alguacil Robinson indicó que ya había pasado el peligro.","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"mas o menos","La creencia en la existencia en un dios depende <strong>mas o menos</strong> un tanto por ciento en la fe que tu tengas sobre ese hecho y un tanto por ciento en el razocinio, la creencia en la no existencia de un dios yo dirìa que es exactamente lo mismo.","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"confio","AQui si te doy la razon, eso de las trabas a la importacion de autos usados es muy grave para la franja fronteriza de ese negocio dependen importadores, loteros, carroceros, mecanicos, tapiceros, refaccionarias, en fin, cientos de miles de gentes pero yo <strong>confio</strong> en que se solucione antes de terminar el mes, tambien hay que comprender las presiones de las armadoras e industria automotriz.","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"usualmente","Le dan bastante enfoque a las Finanzas (se podria decir que son los mejores en esta area), por eso el hecho de que casi siempre quedan primeros en los cursos de la SBS y/o de la BVL, esto (supongo) que se podria deber a que varios de sus profesores son economistas con MBA (basta revisar su plana docente), lo cual no esta mal ya que cursos como Finanzas, Evaluacion de Proyectos, Gestion Financiera, entre otros son <strong>usualmente</strong> dictados por profesores con esos grados (Lic.","Usualmente no salgo los jueves por la tarde.","Otro"
"varios","Ya somos <strong>varios</strong>... y si cuesta...","Tenemos varios servicios disponibles.","Otro"
"algun","yo vivo solo desde hace 10 años, aunque soy un poco irresponsable, trabajo cuando quiero, como lo que quiero, duermo hasta la hora que quiera, todos mis gastos los asumo yo, ahora estoy un poco mal de salud talvez <strong>algun</strong> dia muera","Algún lápiz habrá caído por la abertura.","Otro"
"seguramente","<strong>seguramente</strong> que ya sucedió.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"se ve","Sii obio después de semejante desicion tan crucial; si es el segundo cargo mas importante del pais, ahi <strong>se ve</strong> que no es una desicion politica sino legal pues no hay intereses politiqueros ya que si fuera asi seria un costo politico que nadie quisiera asumir; ; lo que me pregunto es por que centran su queja en el procurador; la procuraduria es un organismo de control y eso que el hizo es legal, constitucional ahi no hay nada que hacer; habria que cambiar es la constitucion y no atacar al procurador.","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"podrias","Ja ""seguramente"" esos cantantes de los paises del beisbol Panama y Rebublica Dominicana seguramente conocen muy buen la realidad del futbol peruano y sus hinchadas, y nadie les impuso nada sobre algun equipo jajajaj por eso son una voz autoridad para hablar de popularidad y grandeza jjajajajaj, y tu detalle con un afan provocativo lo de la ""grandeza"" pero bueno tu creencia la <strong>podrias</strong> crear tema para no desvirtuar aqui.","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"tal vez","La forma en que la descentralizacion se da en el pais es la principal causante <strong>tal vez</strong> si en el Peru hubiera Estados que se generen sus propios ingresos y no dependan del gobierno central hubiera mayor crecimiento como en Brasil, Mexico y el mismo Estados Unidos donde cada Estado esta super desarrollado lo cual evita que haya magnetismo de migraciones hacia la capital","Tal vez sea mejor que hablemos con tu familia.","Otro"
"deberias","en esot ambien <strong>deberias</strong> madurar.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"un poco","Pero suena como los republicanos pendejos de por aca ahi la va <strong>un poco</strong> de clases de socioeconomia","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"seguramente","Por fortuna, los Parlamentos de Europa sabrán <strong>seguramente</strong> estar en sintonía con la inmensa mayoría de las familias europeas, a las que urge ayudar en su noble misión y que ahora se verían injustamente equiparadas a esta clase de 'uniones', por esta resolución, que en ninguna forma tiene auténtico valor de ley o de orientación obligante.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"seguido","Yo también he <strong>seguido</strong> Dragon Ball y sigo Naruto, y a decir verdad, por más que Naruto me parezca entretenido; Dragon Ball, por suma de diferentes factores; será el anime más popular que se ha dado; simplemente porque sigue en vigencia a pesar de sus capítulos repetidos y demás, de vez en cuando lo veo con mi sobrino y mi hermano mayor.","Mis padres me visitan muy seguido.","Otro"
"seguido","Un público que, además, ha participado activamente en su desarrollo, en los coloquios que han <strong>seguido</strong> a cada exposición.","Mis padres me visitan muy seguido.","Otro"
"entiendo","Tampoco <strong>entiendo</strong> por qué los homosexuales tendrían mucho que hacer para lograr el respeto.","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"espero","A don Felicísimo de la Torre también se le podrían pedir más explicaciones sobre sus puntos de vista a la hora de enjuiciar las declaraciones de Gustavo Bueno, y <strong>espero</strong> que cuando se entere de la existencia de estos Foros desarrolle su pensamiento (pediré que le manden un correo desde Este de Madrid).","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"no se","El mundo <strong>no se</strong> acabará y dentro de latinoameríca, el Perú es uno de los países mejor preparados, por ejemplo hemos ahorrado en épocas de crecimiento, disminuido el peso de la deuda, aumentado las RIN, los mercados no están inflados etc","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"podrias","<strong>podrias</strong> hacer como los mochileros que piden aventon pero es muy peligroso en Perú te pueden robar.","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"rara vez","Donde sí nieva (pero muy <strong>rara vez</strong>) es en El Alto, que es otra ciudad de La Paz donde se encuentra el aeropuerto (algo así como el Callao)","Rara vez ceno en ese restaurante.","Otro"
"asumo","es que los wachiturros y pandilleros han desarrolado un nuevo tipo de español asumo y la gente de miraflores o lugares donde vive gente mas o menos educada habla mejor <strong>asumo</strong>","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"frecuentemente","La uso <strong>frecuentemente</strong> y esta bien para mi.","Mis padres me visitan frecuentemente.","Otro"
"mas o menos","¿acaso que no se puede sino poner la carita de siervo compungido cuando se nos mira desde arriba?, es decir, cuando el presentador o presentadora de turno s echa una mirada como diciéndonos: oye, no me ha gustado esa salida de tono tuya.O te controlas o no vuelves más aquí...del estilo de lo que hace sardá en crónicas marcuanas, <strong>mas o menos</strong>, eso es al parecer lo que le gusta a nuestro crítico periodísitco de la TV.","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"se ve","se critica lo que <strong>se ve</strong>, a Mouriñito se le criticó la desatención a los niños hasta el punto de que hubo 20 desmayados.","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"varios","Llegando a supe por el mercado hay <strong>varios</strong> restaurantes que venden menu yo me compre uno por ahi para llevar si lo quieres completo con entrada y todo es 6 soles pero si solo queres el segundo es 4.5 a 5 soles me resulto bastante economico.","Tenemos varios servicios disponibles.","Otro"
"algo","fijate slang que en forma personal no veo <strong>algo</strong> malo en que se llame este PRECIOSO SITIO foros mexico.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"frecuentemente","Miren yo viajo <strong>frecuentemente</strong> a BsAs y he tenido la suerte de ir a ver varias pelis a las salas IMAX, (Batman fue la ultima que vi ahi).","Mis padres me visitan frecuentemente.","Otro"
"tecnicamente","Bueno yo veo al futbol en la forma artistica...como la musica.....pueden haber jugadores <strong>tecnicamente</strong> bien dotados pero si no hay sentimiento para mi no sirve....como aficionado claro esta; como DT la perspectiva cambia.","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"varios","Durante este mes 13 personas fueron asesinadas en una reunión familiar en las montañas de Chihuahua, incluyendo a <strong>varios</strong> adolescentes a un niño de 4 años y a un bebé de 16 meses.","Tenemos varios servicios disponibles.","Otro"
"algunos","Y más cuando... En <strong>algunos</strong> casos... Algunos se hicieron pasar por padres biológicos(hablo de familias heterosexuales).","Algunos dicen que murió ahogado.","Otro"
"suena","<strong>suena</strong> un tanto absurdo, algo asi como ke en tu jardin tienes frutas y como tu familia tiene problemas y son desunidos, pues voy te saco la gran p.. y me kedo con tu jardin para administrarlo debidamente y dejandoles a ti y a tu famila la oportunidad de reflexionar.","Tu idea me suena bien.","Las bocinas suenan demasiado fuerte."
"probablemente ","<strong>probablemente </strong>ahi murieron futuros presidentes, parlamentarios, literatos.","Probablemente sea mejor que hablemos con tu familia.","Otro"
"parece","Pero me <strong>parece</strong> que no lo consigue (da de lado el asunto en los siguientes mensajes).","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"algun","como usted dice es un ahorro forzado,pero cada uno debería ahorrar pero porque yo tengo que sacar de la mia ?? O en <strong>algun</strong> momento se le descuenta al trabajador?","Algún lápiz habrá caído por la abertura.","Otro"
"aproximadamente","el Sr. Franco superintendente de la escuela, dijo que los colegios han absorbido <strong>aproximadamente</strong> 50 estudiantes de México desde el año pasado, un incremento del 10% en matrícula.. Muchos de los nuevos estudiantes no hablan inglés y están tratándose el trauma del asesinato de sus familiares","La pared mide aproximadamente 15 metros.","Otro"
"hay quien","-Ahora que la mujer trabaja, no <strong>hay quien</strong> se encargue de los ninos.","Hay quien dice que murió ahogado.","Otro"
"puede","Simpatía infalible pero no se <strong>puede</strong> volver atrás","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"virtualmente","En este nuevo programa todos lo proveedores son locales al lugar donde dan los alimentos y es <strong>virtualmente</strong> imposible controlar eso, conociendo como es el peruano típico de corrupto no faltan los funcionarios que compran cosas malogradas o vencidas para tirarse la plata, o los proveedores que por ahorrar costos producen cualquier cosa en condiciones antihigiénicas.","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"no se","<strong>no se</strong> porque tiene que ser seguidor de alguno de los tres mequetrefes para votar por uno?","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"podrias","Pero <strong>podrias</strong> comprar el KILLZONE TRILOGY que incluye el killzone 1,2 y 3.","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"raramente","No obstante, <strong>raramente</strong> se ha constatado en humanos la capacidad de producir óvulos y espermatozoides al mismo tiempo, ya que típicamente uno de los dos tipos no se desarrolla correctamente.","Raramente ceno en ese restaurante.","Otro"
"se ve","A ver qué pasa, lo que <strong>se ve</strong>, es que esperan mucho de Obama, en su gobierno, incluso ya países árabes y gobiernos bananeros, lo ven con buena cara.","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"podria","Q1: alguien me dijo que <strong>podria</strong> tener un problema en la placa","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"alguna","¿Usted ha visto a López Dóriga, a Loret, o al articulista que le guste de derecha “reconocer” <strong>alguna</strong> vez algo?","Alguna pluma habrá caído por la abertura.","Otro"
"diria","Hmmm... yo <strong>diria</strong> que estás calibrando el grosor de la piel de tus nalguitas.","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"podria","son tus gustos personales eso no quiere decir que ahi esten las mas bonitas, en todo caso no conosco todo el peru no <strong>podria</strong> decirte","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"parcialmente","Franco victorioso entra en Madrid a bordo de un Hispano-Suiza J12, <strong>parcialmente</strong> descapotado.","Lo que dices es parcialmente verdadero.","Otro"
"medio","Se me hace que debe ser <strong>medio</strong> difícil, para un hombre, poder entrar con la cajita en el bolsillo, hoy en día los de seguridad están cada vez peores y es fija que te van a hacer bardo, en cambio una mujer en la cartera la puede entrar a cualquier lugar re tranqui.","Juan está medio loco.","Mi asiento es el de en medio."
"hay quien","has visto a un gay estar cojiendo enla calle?? yo la verdad nunca, es mas te voy a contar algo, por donde vivo, se paran un chingo de trasvesti, lo que yo he visto es que <strong>hay quien</strong> los llega a buscar y en carro, la mayoria son mayores de edad y saben a lo que van, nollegan engañados.","Hay quien dice que murió ahogado.","Otro"
"siento","Lo <strong>siento</strong> por los foristas normales, pero se juntó la tribu de los....resentidos.....","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"quiza","Por el rostro, por el buen fisico, por tener todo en su sitio sin aparentemente tener alguna zona operada, por no tener manos de hombre... le veo un aire a Ana Karina Copello, <strong>quiza</strong> si se mantiene se vea como ella en algunos años mas adelante","Quizá sea mejor que hablemos con tu familia.","Otro"
"a veces","<strong>a veces</strong> veo que mucha gente se empecina en tener la razón.","A veces puedo ser un poco molesto.","Otro"
"siento","<strong>siento</strong> vergüenza ajena pobre chibolo paltomiel xD","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"debe","De cara está en <strong>debe</strong>, pero tiene actitud de traviesa y, sobre todo, buen anibal smith","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"algo","lo que mencionas en tu post es <strong>algo</strong> muy superficial y basico, hay diferentes variantes de los satanistas y satanicos.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"creo","Por otro lado, no <strong>creo</strong> que la legalizacion se de en Perú, donde la sociedad es muy prejuicosa.","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"probablemente ","<strong>probablemente </strong>estemos haciendo una el 15/11 con Schweizer y Vazquez.","Probablemente sea mejor que hablemos con tu familia.","Otro"
"ocasionalmente","En lugar de aceptar una recesión económica normal que <strong>ocasionalmente</strong> ocurre en cualquier sistema capitalista, el Gobierno de Estados Unidos decidió inflar el mercado inmobiliario.","Ocasionalmente visito a mis tíos en España.","Otro"
"entiendo","Vienes bien con un floro que no <strong>entiendo</strong>, que no capto, que no alucino.","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"encuentro","Ya no te <strong>encuentro</strong>","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"seguro","Hoy fue el examen de diagnóstico CEPREUNMSM, <strong>seguro</strong> mañana o el martes estarán vendiendo resuelto ese examen; pondré las preguntas que vinieron en Biología, porfa me corrigen o participen poniendo sus claves (solo pondré letras porque no tengo tiempo de subir imágenes en números)","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"podrias","Perdón mi estupidez, no entendí, <strong>podrias</strong> explicar mejor lo que has dicho?","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"algunos","Una pena que <strong>algunos</strong> alumnos le siguieran el juego :/.","Algunos dicen que murió ahogado.","Otro"
"especulo","Actualmente juega en el Consadole Sapporo, pero se <strong>especulo</strong> que fue fichado por equipos como el Manchester United, Yorkshire (CT3-SNES) y Napoli.","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"usualmente","-Lo de facilitar negocios, y logros,incluso políticos, viene aparejado a las relaciones que se pudieran adquirir al participar en esta sociedad, pero sería <strong>usualmente</strong> en forma extra-logia...","Usualmente no salgo los jueves por la tarde.","Otro"
"esencialmente","Lo que el masculismo o los criticos del feminismo repelen es que se trata al varón como un ser <strong>esencialmente</strong> violento con la mujer; así de simple.","La película es esencialmente una parodia.","Otro"
"por decir algo","Primero, es especies o es niveles de conciencia, no es lo mismo; si hubiera una especie como la humana pero con alas (<strong>por decir algo</strong>) sería probablemente más compleja en cuanto a especie pero no en cuanto a nivel de conciencia.","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"probablemente ","-Buena elección, La ropa <strong>probablemente </strong>no te hubiera quedado","Probablemente sea mejor que hablemos con tu familia.","Otro"
"encuentro","En el evento de estos dias he estado tan estresada que ya no <strong>encuentro</strong> la salida, como hacerle para que mi herman0 tenga una vida sin temores ni problemas, como entender que su vida no es la mia, y que no debería afectarme tanto como hasta ahora lo a hecho.","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"podria","Yo creo que Gisela se quedo sin piso, osea cuando jalo a Vania Bludau penso en que <strong>podria</strong> armar el circo con Cristian Dominguez, pero hasta ahora el chichero solo se presto una vez para la jugada (al parecer sin saberlo) cuando la busco pero de ahi que se metio con la Tarazona, que es del nueve, mas el programa que le prometen alli perdio la abuela...","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"frecuentemente","Yo no he ido nunca a interbank pero si al BCP y dejenme decirles que tengo muy mala experiencia con el banco de credito, yo siempre le tenia un cariño por ser uno de los mas importantes bancos y que sea peruano pero las colas interminables(esto es muy triste ya que el tiempo es oro) y sin solucion en muchas de sus agencias, no te solucionan los problemas adecuadamente en 2 ocasiones he visto como en ventanilla discuten por una tarjeta dañada por el mismo personal del bcp y el cliente tiene salir a hacer su llamada porque el proceso es via telefonico no en plataforma ni ventanilla y dentro del local no hay telefono para tal situacion que se presenta muy <strong>frecuentemente</strong> y uno esta obligado a salir y hacer su cola.","Mis padres me visitan frecuentemente.","Otro"
"un poco","Si investigas <strong>un poco</strong> veras que animes de colegialas hay muchos de esos años e incluso te daras cuenta que con lo respecta a ello no hubo mayor innovacion luego del 2000.","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"virtualmente","Digamos que <strong>virtualmente</strong> ya me empieza a preocupar.","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"puede","Como el toro no <strong>puede</strong> hablar ni defenderse en un lugar donde no es su habitat, entonces lo torturo y lo mato no?","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"poco","Si mi dinero allá es muy <strong>poco</strong>, quizas aquí sea mucho, o lo adecuado.","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"supongo","- No digo eso, a mí no me gustaba, <strong>supongo</strong> que es una cuestión personal.","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"bastantes","el pollo por mi rrioba esta 6.8 soles, el huevo 3.80, es verdad que ha subido las cosas, pero normalmente uno trabajando gana mas de 750 soles, por ejemplo por mi zona hay <strong>bastantes</strong> empresas textiles donde puedes ganar 250 a la semana facilmente y si eres mas habial hasta mas...","Hay bastantes cosas por hacer.","Otro"
"imagino","no lo escuche, pero me <strong>imagino</strong> como habra sido de agresiva esa feminista, esas tipas son achoradas","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"siento","En cuanto a perjudicar a mexas, lo <strong>siento</strong> por quienes venden articulos piratas, aunque no faltaran quienes sigan prefiriendo favorecer sus intereses personales que los del paìs, fui a ver al chinito del restaurant pero no pude hablar con èl porque tenia lleno el changarro hasta el tope NUNCA habia recibido tanta publicidad, TODA la ciudad coincidimos en que era un victima inocente y el bloqueo (QUE NO ORGANICÈ YO) solo durò media hora, creo que mañana saldra una entrevista que me hicieron en el nuevo periodico de la ciudad JUAREZ HOY","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"alguno","Que tal, a continuacion publico unos gundams que estoy trayendo me llegan en aproximadamente 3 semanas, si alguien desea <strong>alguno</strong> aviseme con anticipacion para separarlo sin adelantos ni nada, pero eso si solo si estan 100% interesados, los precios estan ya reajustados, cualquier cosa me comunican.","Pedro no dejó rastro alguno.","Otro"
"relativamente","Le ayuda que es joven, su boca es algo grande, eso es bueno (pa los que entienden el coment  ) pero creo que no impactaria mucho ya que tiene un biotipo <strong>relativamente</strong> conocido, asi que le doy un 7.5/10","Esto debería de ser relativamente sencillo.","Otro"
"tecnicamente","<strong>tecnicamente</strong> sería explorar un nuevo terreno en medio de un desastre, y podría empeorar.”","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"sugiero","""No creo que Dios quiera exactamente que seamos felices, quiere que seamos capaces de amar y de ser amados, quiere que maduremos, y yo <strong>sugiero</strong> que precisamente porque Dios nos ama nos concedió el don de sufrir; o por decirlo de otro modo: el dolor es el megáfono que Dios utiliza para despertar a un mundo de sordos; porque somos como bloques de piedra, a partir de los cuales el escultor poco a poco va formando la figura de un hombre, los golpes de su cincel que tanto daño nos hacen también nos hacen más perfectos.""","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"espero","una lastima lo que esta pasando con CUBA, despues de haber ganado casi todas las ediciones del torneo Norceca, hoy quedo relegado al 7mo lugar, claro es obvio que no es por falta jugadoras, por que jugadoras las tiene y de muy buen nivel, solo que por razones que ya sabemos no pueden integrar su seleccion, por eso Cuba tubo que armar una seleccion con puras novatas y menores!!!!!...una lastima <strong>espero</strong> que con esto los directivos cubanos cambien y hagan algo!!!!...","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"por decir algo","No tengo nada en contra de la física, o el sentido de la vista... <strong>por decir algo</strong>.","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"casi","Avila de leeejos, puede jugar en cualquiera de las posiciones de ataque y <strong>casi</strong> siempre lo hace bien.","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
