hedge,sentence,usage1,usage2
"necesariamente","Si, además, como dice Nikita, quienes te rodean no te proporcionan apoyo y cuestionan tus gustos y costumbres, la cosa tiene que ir <strong>necesariamente</strong> a peor.","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"no se","y hasta 550 con todo incluido bills.. asi que, <strong>no se</strong>.. que decir.. lo importante es estar bien,, y no en un cuchitril.. solo llegar.. vamos...","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"rara vez","Y, normalmente, las casas no alcanzan el asking price (<strong>rara vez</strong> lo sobrepasan...)","Rara vez ceno en ese restaurante.","Otro"
"supongo","<strong>supongo</strong> que uno la mayoría de nosotros no lo hubieramos entendido, pero con 6 te has garantizado el éxito.","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"basicamente","El rebote actual a 1,1 EUR = 1 GBP lo considero momentáneo y se explica <strong>basicamente</strong> debido al dato inesperado y realmente bajo de la inflación en la zona Euro, que eventualmente forzaria una bajada más pronunciada de los tipos en Europa.","La película es básicamente una parodia.","Otro"
"poco","<strong>poco</strong> después, cuando la cebolla, la chalota y el ajo empiecen a dorarse, vierte el agua y el vino blanco (uno rico!).","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"diria","No obstante, por la cara que me puso, yo <strong>diria</strong> que mínimo tendría que haber tenido trabajo ""full time"" y más de 100,000 euros, no es el caso, pero si lo fuera, no creo que yo y tantos más solicitaran en la lotería de visados en busca de un mejor porvenir de futuro, teniendo ""full time"" y esa cantidad de dinero, es de sentido común.","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"poco","pues porque hasta hace bien <strong>poco</strong> la foro que tenia salia su marido con ella...aparte de que ha dicho varias veces que es suizo, etc","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"sin duda","Si hubiera un campeonato mundial de frases estúpidas, <strong>sin duda</strong> sería ella nuestra atleta más importante.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"parcialmente","Entonces estamos <strong>parcialmente</strong> de acuerdo.","Lo que dices es parcialmente verdadero.","Otro"
"podria","Yo sólo digo que si al menos supiera que estoy excluída <strong>podria</strong> ir haciendo algo: reunir los papeles que me faltasen, etc. Pero estoy inscrita y nada más y así no hay manera de que una sepa los motivos de exclusión ni nada.","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"probablemente ","<strong>probablemente </strong>en otro país tuviera que haberse labrado un futuro por si mismo.","Probablemente sea mejor que hablemos con tu familia.","Otro"
"algunos","Es cierto que <strong>algunos</strong> no saben leer muy bien...","Algunos dicen que murió ahogado.","Otro"
"rara vez",", en ese mismo texto explica el contexto del ""trajine"": explica que las japonesas ""<strong>rara vez</strong> tienen relación sexual fuera del matrimonio con japoneses"" pero que con extranjeros sí.","Rara vez ceno en ese restaurante.","Otro"
"algo","Esto significa que la apuesta es DOBLE (en realidad, <strong>algo</strong>) o NADA (en realidad, menos de nada).","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"practicamente","Acaso, la cultura y costumbres del centro de Europa en los siglos XVI y XVII eran <strong>practicamente</strong> iguales a los del sur de Europa?","La película es prácticamente una parodia.","Otro"
"alguna","Ya lo siento Viajero, pero quizas podrias ir a <strong>alguna</strong> actividad, no se, cursos de algo, gimnasio, conferncias, no se.","Alguna pluma habrá caído por la abertura.","Otro"
"un poco","Prefiero pensar eso y comprar uno <strong>un poco</strong> mas caro.","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"deberia","Lo justo es que se necesitasen unos años de residencia antes de poder obtener las ayudas y <strong>deberia</strong> de ser lo mismo en toda Europa.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"tal vez","vivo en reims...llevo justo un año,<strong>tal vez</strong> sea un poco tarde,pero bueno,si os apetece un dia,podriams quedar,yo vivo con mi novia ella,es de aki.bueno un saludo...","Tal vez sea mejor que hablemos con tu familia.","Otro"
"deberia","<strong>deberia</strong> volverme a España?","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"un par","A lo que me vino a la cabeza la situación vivida hacía <strong>un par</strong> de minutos con el papel del Anmeldung por lo que se me escapó una ligera sonrisa.","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
"alguna","&lt;---- por si alguien sabe de <strong>alguna</strong> cosa y se kiere poner en contacto conmigo.","Alguna pluma habrá caído por la abertura.","Otro"
"virtualmente","¿Crees que en un futuro muy lejano podremos representarnos <strong>virtualmente</strong>?","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"considero","<strong>considero</strong> por tanto que la primera forma de ateísmo descrita si podría considerarse como una creencia.","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"entiendo","Ábrela cuando nazca tu hijo (o cuando estés lo suficientemente recuperada - sorry, no <strong>entiendo</strong> de tema postparto- para pegarle un buen lingotazo con tu marido).","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"hay quien","Aquí también <strong>hay quien</strong> recurre a ese más que tópico en estos día de hoy, sobre todo cuando los que más lo utilizan son todos con apellidos españoles, que siguen saqueando a sus conciudadanos, igual que hicieron sus tatarabuelos.","Hay quien dice que murió ahogado.","Otro"
"alguna","<strong>alguna</strong> vez has vivido con solo 6 horas de electricidad al día? alguna vez te has bañado con con cubos de agua?","Alguna pluma habrá caído por la abertura.","Otro"
"especulo","En serio que lamento que estes en esta situacion, pero cuando se compra una casa voluntariamente, no hay que presuponer que el mercado va a seguir subiendo indefinidamente y asi <strong>especulo</strong> aun mas.","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"sugiero","Por lo que yo <strong>sugiero</strong> los acompanantes:","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"entiendo","ahora <strong>entiendo</strong> lo de los escaparates! it makes sense!","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"frecuentemente","Pero además... ¡qué tremendo derroche de esfuerzo, energía y tiempo para tanta gente, <strong>frecuentemente</strong> jóvenes, que tan sólo terminará bien para unos pocos!.","Mis padres me visitan frecuentemente.","Otro"
"por decir algo","Quizas haya un fuerte sentimiento nacionalista por ejemplo en Mallorca (<strong>por decir algo</strong>), pero no creo que su idea sea dejar la orbita de España para pasar a la de Cataluña o X.","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"la mayoria","Cuando empezamos a escribir en un foro, no nos damos cuenta pero acabamos estableciendo relaciones más personales con gente a la que leemos a diario, y con la que nos cruzamos a diario...probablemente a algunos llegaremos a conocerlos algún día, pero a <strong>la mayoria</strong> no....pero es sorprendente ver que si tienes un problema, hay gente que te va a ayudar más que tus propios amigos.","La mayoría de ustedes me conoce.","Otro"
"gran parte","Antiguamente la mayoría de los turistas traían su divisa y la cambiaban en los hoteles, bancos... es decir, daban beneficios a trabajadores que ahora ya <strong>gran parte</strong> se han quedado sin trabajo, a parte de que se gastaban mucho más sin darse cuenta, por el tipo de cambio, te lo dice uno que trabajo con pesetas y euros, menudo cambio!!!","Una gran parte de ustedes me conoce.","Otro"
"seguro","Es suya, <strong>seguro</strong>.","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"bastante","Vivo cerca de Dinamarca y, si bien es cierto que los trámites son menores, sale <strong>bastante</strong> más caro... además del desplazamiento, etc","Hay bastante trabajo por hacer.","Otro"
"se ve","Ya. Eso <strong>se ve</strong>, que esta caida.","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"se ve","Yo creo que <strong>se ve</strong> perfectamente cuando vas despistado... La policía creo que suele ser más o menos comprensiva en estos casos, sobre todo si te ven que eres extranjero.","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"generalmente","Jaja, nico, <strong>generalmente</strong> los problemas se reducen a pagar más.","Generalmente no salgo los jueves por la tarde.","Otro"
"reducido","Si encima de utilizar un cambio <strong>reducido</strong>, te cobran comisión, pues al final acabas por los suelos de pérdidas.","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"medio","Qué bonito, estoy por comprar un pino en el carrefour y plantarlo en <strong>medio</strong> del parking.","Juan está medio loco.","Mi asiento es el de en medio."
"algun","A decir verdad, siento envidia por algunos individu@s que están metidos en todos los hilos comentando sobre todos los temas, no sé si es su forma de llamar la atención, querer demostrar al mundo lo que saben, una frustración,no se,como lo hacéis,de dnd obtenéis tanto tiempo libre.Yo no puedo seguiros el ritmo, yo trabajo,mantengo una familia,intento dedicarme al ocio cuando me sobra tiempo.<strong>algun</strong> día me contareis el secreto...","Algún lápiz habrá caído por la abertura.","Otro"
"relativamente","Hay trabajos que es cierto que es <strong>relativamente</strong> facil encontrar un puesto, pero yo soy educadora social, y de lo que más trabajo en españa es de camarera, y puedo decir que tengo suerte, porque conozco gente que no encuentra ni de eso, por ejemplo mi hermano, que por cierto, ahora ha comenzado a trabajar, y gana menos que cogiendo el paro, podria coger el 50% de paro y ha preferido pararlo, para cuando termine su contrato verse con dinero aunque sea un mes o dos más.","Esto debería de ser relativamente sencillo.","Otro"
"sin duda","Digo con datos porque igual que yo lo sabía <strong>sin duda</strong> lo sabían los medios pero no pueden publicar nada si no hay ""algo"" para respaldarlo.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"virtualmente","Soy estudiante de Ingeniería Informática (<strong>virtualmente</strong> licenciado, ya que solo me quedan por terminar las prácticas en empresa que las acabo en Marzo y desde entonces seré Ingeniero Informático Superior).","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"se ve","Por cierto acabo de escanera la web de spaniards donde se puede ver que si me has mandado el mensaje que niegas y de paso <strong>se ve</strong> como ya","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"aparentemente","Yo tengo la Sparkasse guiada por el movimiento masa de que <strong>aparentemente</strong> se ven más sucursales que de otras.","Aparentemente habrá un concierto esta tarde.","Otro"
"supongo","<strong>supongo</strong> que esto ya lo has visto, no?","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"imagino","<strong>imagino</strong> que allí no llegarán las chirigotas ( una lástima), pero quería saber si son más nocturnos, de fiesta en plan disfrazarse, beber y chin chin pum para la gente joven... O son más diurnos con actividades para padres y críos (desgraciadamente ese último es mi plan este año, ¿o quizás afortunadamente?, no lo se)","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"por decir algo","Con respecto al País Vasco, creo que te falta historia para entender por qué allí hay MIEDO.Sólo por ponerte un ejemplo, si naces en un pueblo donde el 80% <strong>por decir algo</strong> son terroristas y familiares de terroristas, qué vas a decir?.","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"algunos","No veo sentido por lo tanto a continuar en un foro de expatriados (postura no compartida por <strong>algunos</strong> spaniards que postean desde panderetalandia, aún y cuando sus posts son dignos de un programa de antena 3... Y no te des por aludida, borde girl...).","Algunos dicen que murió ahogado.","Otro"
"alguno","<strong>alguno</strong> tiene ya contratado el seguro medico?","Pedro no dejó rastro alguno.","Otro"
"reducido","; Tienes razon, es alucinante que se gaste y mucho en enseñar una lengua localizada en un territorio muy <strong>reducido</strong> en detrimento del castellano,siendo las dos lenguas oficiales.","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"particularmente","alevao la peli es Gainsbourg; yo <strong>particularmente</strong> nunca he sido una gran fan de este pavo......","Esto no es particularmente divertido.","Otro"
"de repente","Soy Victoria, hace un mes que estoy en Toulouse y <strong>de repente</strong> hoy pensando en que voy a hacer esta Nochevieja, pues hoy a estar aquí en Toulouse y no conozco a casi nadie, se me ha ocurrido buscar españoles en Toulouse.","De repente sentí muchas ganas de jugar futbol.","Otro"
"un poco","De paso, desintoxicar <strong>un poco</strong> los temas, en la medida de lo posible.","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"relativamente","De hecho, el Bomba es una cosa <strong>relativamente</strong> nueva... En Valencia siempre hemos usado ""el de Mercadona"" y bien buena que nos sale!!","Esto debería de ser relativamente sencillo.","Otro"
"no se","El hecho de que tenga padres espanoles cambia la situacion y <strong>no se</strong> si permite, en mi caso, tener dos.","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"no se","En cuanto al racismo, <strong>no se</strong>, creo que en todas partes cuecen habas.... en Barcelona por ejemplo no creáis que se ve con muy buenos ojos el número de marroquis, argelinos, sudamericanos... también se cree que son demasiados y que primero deberían ser los españoles y luego los de fuera.","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"no se","Valjean no estoy de acuerdo con que la verja <strong>no se</strong> debió de haber vuelto a abrir.","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"poco","Además si lo que pretendes es contribuir contando tus experiencias y anécdotas estas en el lugar indicado en caso contrario aquí lo que sobra es gente... Tu impertinencia hace flaco favor al foro y tu egocentrismo es <strong>poco</strong> contribuyente, espero puedas entender mis sanas palabras.","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"sugiero","<strong>sugiero</strong> que es mayor prueba de que algo no marcha bien en tu sesera si ves a Dios todos los días ;)","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"debe","Es subir por la tarde a casa los viernes y oirla, algo asi como Oishy,Oishy que <strong>debe</strong> ser rico,rico o lo que sea, y luego ahhh, ahhhh, ahhhh, y como que se rie, es un poco raro, pero es que no estoy familiarizada con los rituales de apareamiento japoneses, aunque su novio es alemán.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"deberia","En momentos así, y quizás en todo momento, un país <strong>deberia</strong> ser gobernado o dirigido como una empresa privada, algo que no es incompatible con el Estado de Bienestar, como alguno me dirá.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"algo","Para mí (casi) todos los temazos de Coldplay están en el segundo disco (""A Rush of blood to the head"" o <strong>algo</strong> así).","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"rara vez","Primera porque llamar invierno cuando <strong>rara vez</strong> en la ciudad la temperatura baja de los 7 grados casi es insultante para otros sitios de España y el mundo que sí tienen un invierno ""DE VERDAD"".","Rara vez ceno en ese restaurante.","Otro"
"particularmente","A mi, <strong>particularmente</strong>, me parece demasiado para el armador pero bueno, no tengo nada en lo que apoyarme.","Esto no es particularmente divertido.","Otro"
"mas o menos","También quisiera saber cuanto vamos a tener que pagar de seguridad social, me gustaría que me orientara <strong>mas o menos</strong> sobre cuanto dinero deberíamos de llevar el primer mes que vayamos para poder sobrellevar bien el mes sin ningún apuro económico y por ultimo dar las gracias a la gente que se moleste es ayudarme a aclarar todas mis dudas!","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"la mayoria","no me he leído todos los comentarios pero me gustaría añadir, que por mucho ingles que aprenda la gente Española en la ESO etc, el acento duele oírlo... en <strong>la mayoria</strong> de los casos.","La mayoría de ustedes me conoce.","Otro"
"asumo","<strong>asumo</strong> que USA tiene que ser muy grande (lo es) y diversa, asi que solo espero que a pie de calle la gente sea un poco diferente de como me la pintan por la tele, o de lo que me han contado amigos que han estado alli (que ya se que no es valido como criterio, pero es todo de lo que dispongo a dia de hoy).","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"especulo","Aqui no <strong>especulo</strong>, conozco un caso.","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
